feedback_strength	intervention	ifn_apc_readout_ratio_vs_control	ifn_apc_readout_log2fc_vs_control	hla_ii_cd74_readout_ratio_vs_control	hla_ii_cd74_readout_log2fc_vs_control	gilt_lysosomal_readout_ratio_vs_control	gilt_lysosomal_readout_log2fc_vs_control
0.0	ifngr_jak_70pct_suppression	0.46425167611900375	-1.1070209760584713	0.6427417584194023	-0.6376888887217607	0.6439395740907294	-0.6350027796060569
0.0	ifi30_70pct_suppression	0.9999999996230089	-5.438831977452728e-10	0.9999999991713185	-1.19553462868028e-09	0.7850200288059564	-0.349198631850729
0.0	ifi30_95pct_suppression	0.9999999995465906	-6.541315234897161e-10	0.9999999990046956	-1.435920714773733e-09	0.7082414678428609	-0.4976867782697805
0.0	ctss_70pct_suppression	1.0000000000299705	4.3238249234593916e-11	1.0000000000634917	9.159909778982625e-11	0.8086468402944222	-0.3064183217708471
0.0	ifi30_plus_ctss_70pct_suppression	1.0000000000350429	5.055615673967083e-11	1.0000000000707308	1.0204290887686275e-10	0.5936668697496372	-0.7522744907609993
0.25	ifngr_jak_70pct_suppression	0.4613459107576605	-1.116079225794876	0.6498555097746849	-0.6218091129062666	0.6510100568272743	-0.6192482645183135
0.25	ifi30_70pct_suppression	0.9800742564371044	-0.029037034093116292	0.9925160163140386	-0.010837711553279434	0.7791345134950831	-0.36005567135082245
0.25	ifi30_95pct_suppression	0.9622017959632674	-0.05558860265400653	0.9855547314270445	-0.02099210330825246	0.6980349190818702	-0.5186288860653857
0.25	ctss_70pct_suppression	0.9999999985701067	-2.0628999958290935e-09	0.99999999685188	-4.5417771003985715e-09	0.808717476579524	-0.306292306107926
0.25	ifi30_plus_ctss_70pct_suppression	0.9800742561306472	-0.029037034544229328	0.9925160156945061	-0.010837712453815549	0.589247497286074	-0.7630543689649746
0.5	ifngr_jak_70pct_suppression	0.46005412381742644	-1.12012449552283	0.6558906460174869	-0.608472794677014	0.6570125876174272	-0.6060070836711512
0.5	ifi30_70pct_suppression	0.9691191831620197	-0.04525399438282022	0.9887349034460384	-0.016344333003380656	0.776151945678376	-0.36558898136928203
0.5	ifi30_95pct_suppression	0.9376149144230796	-0.0929325763291201	0.9765131273267348	-0.03428865640572795	0.6916428705942114	-0.531900799538157
0.5	ctss_70pct_suppression	1.0000000000577443	8.330734862785435e-11	0.9999999988112881	-1.7149487738402245e-09	0.8087645104202905	-0.30620840348719536
0.5	ifi30_plus_ctss_70pct_suppression	0.9691191844690822	-0.045253992437040425	0.988734904870532	-0.016344330924856137	0.5870170878046199	-0.7685255947340283
1.0	ifngr_jak_70pct_suppression	0.4592838494194708	-1.1225420423803392	0.6650429372164147	-0.5884806064397633	0.66611968216908	-0.5861466843183339
1.0	ifi30_70pct_suppression	0.9596476456647719	-0.05942330693310612	0.9859116515601533	-0.020469723706856457	0.7739067066704814	-0.3697684328278363
1.0	ifi30_95pct_suppression	0.9089284818189526	-0.13776131310196485	0.9664830058453017	-0.04918372985722153	0.6845448228880245	-0.54678308497304
1.0	ctss_70pct_suppression	1.0000000000235756	3.401238090385396e-11	1.0000000005512908	7.953444897493821e-10	0.8088229093733236	-0.3061042336859969
1.0	ifi30_plus_ctss_70pct_suppression	0.9596476457550805	-0.05942330679733979	0.9859116545713542	-0.020469719300533974	0.5853568268864433	-0.7726117514873276
1.5	ifngr_jak_70pct_suppression	0.45930903741682183	-1.122462924417642	0.6714369363445919	-0.5746761917282212	0.6724841782769448	-0.5724277695079203
1.5	ifi30_70pct_suppression	0.9572645030437825	-0.06301048208318107	0.9855435627604825	-0.021008452548582156	0.7735929066657062	-0.37035352856941034
1.5	ifi30_95pct_suppression	0.8940477837668145	-0.16157615434996353	0.9616719730553577	-0.05638322121310711	0.6811328411807835	-0.5539919007280385
1.5	ctss_70pct_suppression	1.0000000008187693	1.181234371616987e-09	1.0000000009983372	1.4402961134304288e-09	0.8088576037526708	-0.30604235075097663
1.5	ifi30_plus_ctss_70pct_suppression	0.9572645032185915	-0.0630104818197262	0.9855435636905611	-0.021008451187079943	0.5851464348020297	-0.7731303858731163
2.0	ifngr_jak_70pct_suppression	0.4595361364400974	-1.1217497800258258	0.6760829737293094	-0.5647277796788321	0.6771095734061161	-0.5625387777515218
2.0	ifi30_70pct_suppression	0.957575104732041	-0.06254244965116679	0.9859875376970895	-0.020358682986234857	0.7739210408545768	-0.3697417116938558
2.0	ifi30_95pct_suppression	0.885990204514361	-0.17463734641934325	0.959332537661991	-0.05989710521512302	0.6794671794031195	-0.5575242293338812
2.0	ctss_70pct_suppression	0.9999999987662296	-1.7799544664189516e-09	1.0000000062035261	8.949796366442745e-09	0.8088805483455855	-0.30600142688406706
2.0	ifi30_plus_ctss_70pct_suppression	0.9575751041499808	-0.06254245052810617	0.9859875369848092	-0.020358684028441907	0.5854147606478909	-0.7724689725690509
5.0	ifngr_jak_70pct_suppression	0.460837866822766	-1.1176688276885485	0.6890254917634661	-0.5373707358178621	0.6899972681872613	-0.5353374448523421
5.0	ifi30_70pct_suppression	0.9678633493939062	-0.047124724110991854	0.9901337028529487	-0.01430474199947314	0.7771081736237812	-0.3638126588178526
5.0	ifi30_95pct_suppression	0.8815414470862694	-0.18189969312397322	0.9600138230450534	-0.05887291582963691	0.6798849030271876	-0.5566375601218883
5.0	ctss_70pct_suppression	1.000000000118206	1.705350506058088e-10	1.0000000000793454	1.1447124268278088e-10	0.8089370873266443	-0.30590058918045326
5.0	ifi30_plus_ctss_70pct_suppression	0.9678633509449721	-0.047124721798976275	0.9901337029743834	-0.014304741822534094	0.5878853034892767	-0.7663933823903359
10.0	ifngr_jak_70pct_suppression	0.46176391754510554	-1.1147726502563347	0.695512875206789	-0.5238508729666411	0.6964583407598435	-0.5218910354946581
10.0	ifi30_70pct_suppression	0.9789102039913604	-0.030751568253430995	0.9937893732694417	-0.008987979859317333	0.7799375033084388	-0.3585695699885218
10.0	ifi30_95pct_suppression	0.9000315243184069	-0.1519525610213415	0.9678980210820802	-0.047073043492340996	0.6853895530692431	-0.5450038928902969
10.0	ctss_70pct_suppression	0.9999999946586181	-7.705985188157834e-09	1.0000000063248964	9.124896619072354e-09	0.8089623541041342	-0.3058555279687939
10.0	ifi30_plus_ctss_70pct_suppression	0.9789102016282566	-0.03075157173611833	0.9937893740378657	-0.008987978743787714	0.5900581428420208	-0.7610709738757118
