pert_id	cmap_name	target	moa	compound_aliases	canonical_smiles
BRD-A95074085	BRD-A95074085			dibutyryl-cAMP-Na	CCCC(=O)Nc1ncnc2n(cnc12)[C@H]1O[C@H]2COP(O)(=O)O[C@@H]2[C@@H]1OC(=O)CCC
BRD-K75516118	BRD-K75516118			rolipram-R(-)	COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1
BRD-K65856711	BRD-K65856711			rolipram-S(+)	COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1
BRD-A06726973	dibutyrylcyclic-gmp				CCCC(=O)Nc1nc2n(cnc2c(=O)[nH]1)C3O[C@H]4COP(=O)(O)O[C@@H]4[C@@H]3OC(=O)CCC
BRD-A94624445	bucladesine	PRKACA	CAMP stimulant		CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC
BRD-A14652656	bucladesine	PRKACA	CAMP stimulant		CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2OP(O)(=O)OC[C@@H]2[C@H]1OC(=O)CCC
BRD-A15070535	bucladesine	PRKACA	CAMP stimulant		CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]3O[C@@H]4OP(=O)(O)OC[C@H]4[C@H]3OC(=O)CCC
BRD-A15931911	bucladesine	PRKACA	CAMP stimulant		CCCC(=O)Nc1ncnc2n(cnc12)C1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC
BRD-A04706586	bucladesine	PRKACA	CAMP stimulant		CCCC(=O)Nc1ncnc2n(cnc12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC
BRD-A94624445	bucladesine	PRKACA	Adenosine receptor agonist		CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC
BRD-A14652656	bucladesine	PRKACA	Adenosine receptor agonist		CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2OP(O)(=O)OC[C@@H]2[C@H]1OC(=O)CCC
BRD-A15070535	bucladesine	PRKACA	Adenosine receptor agonist		CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]3O[C@@H]4OP(=O)(O)OC[C@H]4[C@H]3OC(=O)CCC
BRD-A15931911	bucladesine	PRKACA	Adenosine receptor agonist		CCCC(=O)Nc1ncnc2n(cnc12)C1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC
BRD-A04706586	bucladesine	PRKACA	Adenosine receptor agonist		CCCC(=O)Nc1ncnc2n(cnc12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC
BRD-A55416093	colforsin	ADCY2	Adenylyl cyclase activator		CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C
BRD-A55416093	colforsin	ADCY5	Adenylyl cyclase activator		CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C
BRD-K77830450	forskolin	ADCY2	Adenylyl cyclase activator		CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C
BRD-K09602097	forskolin	ADCY2	Adenylyl cyclase activator		CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C
BRD-A70449690	forskolin	ADCY2	Adenylyl cyclase activator		CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C
BRD-K03015355	forskolin	ADCY2	Adenylyl cyclase activator		CN1CCN(CCCC(=O)O[C@H]2[C@@H](O)[C@H]3C(C)(C)CC[C@H](O)[C@]3(C)[C@@]4(O)C(=O)C[C@@](C)(O[C@]24C)C=C)CC1
BRD-A56987319	SQ-22536	ADCY1	Adenylyl cyclase inhibitor		Nc1ncnc2n(cnc12)C1CCCO1
BRD-K93208532	apremilast	PDE4A	Phosphodiesterase inhibitor		CCOc1cc(ccc1OC)[C@@H](CS(C)(=O)=O)N1C(=O)c2cccc(NC(C)=O)c2C1=O
BRD-K93208532	apremilast	PDE4B	Phosphodiesterase inhibitor		CCOc1cc(ccc1OC)[C@@H](CS(C)(=O)=O)N1C(=O)c2cccc(NC(C)=O)c2C1=O
