gene	approved_name	wave104_call	wave104_call_priority	wave104_score	wave104_missing_gates	route_hypothesis	manual_route_blocker	prior_or_safety	gate_ms_genetic	gate_cross_autoimmune_genetics	gate_lipid_state_or_recurrence	gate_directional_or_perturbation	gate_reachable_modality	ms_max_l2g_score	ms_max_relevant_qtl_h4	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	relevant_qtl_coloc_disease_count	strong_qtl_coloc_diseases	genetic_disease_count_union	genetic_diseases_union	local_positive_disease_count	local_positive_diseases	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_residual_disease_count	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	direct_perturbation	direct_perturbation_detail	foundation_support	model_support_contexts_w57	model_strong_contexts_w57	best_model_context	efferocytosis_screen_call	efferocytosis_contrast_lfc	efferocytosis_contrast_fdr	reachability_score	intervention_class	chembl_activity_count	chembl_target_id	wave62_score	wave62_call	wave83_call	wave91_call	wave103_call	closure_text
IFI30	IFI30 lysosomal thiol reductase	PARK_GENETICS_STATE_DIRECTION_NO_MODALITY	1	5.800000000000001	reachable_modality;prior_or_safety	lysosomal thiol reductase / antigen-processing node	host-defense and antigen-processing risk; prior waves already demoted cathepsin-like lysosomal inhibition	True	True	True	True	True	False	0.6501023173332214	0.9959013728724722	1	MS	3	3	Celiac;Crohn;MS	3	Celiac;Crohn;MS	3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	True	1	0	2	1	False		False	0.0	0.0		UNRESOLVED	-0.2446589434714685	0.920009505703422	0.0	intracellular_other	0		1.6470071574432383	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	NO_GO_PRIOR_OR_SAFETY_BLOCKED	direct_antigen_processing_host_defense_and_druggability |  | weak_reachability;manual_or_prior_blocker |  | weak_reachability;manual_or_prior_blocker |  | insufficient_independent_convergence_after_guardrails | NO_GO_DIRECT_ANTIGEN_PROCESSING_HOST_DEFENSE_AND_POOR_DRUGGABILITY | direct_antigen_processing_host_defense_and_druggability |  | host-defense and antigen-processing risk; prior waves already demoted cathepsin-like lysosomal inhibition
IL7R	interleukin 7 receptor	PARK_GENETICS_STATE_NEEDS_DIRECTION_OR_MODALITY	2	12.399999999999999	prior_or_safety	known autoimmune cytokine-receptor axis	prior-art crowded CD127/IL-7R autoimmune route	True	True	True	True	True	True	0.9447864890098572	0.9844688660839735	4	Crohn;MS;PBC;T1D	4	4	Crohn;MS;PBC;T1D	7	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	2	1	0	0	False		True	1.0	1.0	ra_myeloid_dendritic	UNRESOLVED	-0.1553618289551992	1.0	2.0	intracellular_other	0		6.446508829028122	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior_art_CD127_autoimmune_axis |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:cd127_axis_prior_art_and_cell_type_direction_conflict | cd127_axis_prior_art_and_cell_type_direction_conflict | weak_reachability;manual_or_prior_blocker;prior_branch_closed:cd127_axis_prior_art_and_cell_type_direction_conflict | cd127_axis_prior_art_and_cell_type_direction_conflict | prior_art_saturated_cytokine_axis |  | prior_art_CD127_autoimmune_axis |  | prior-art crowded CD127/IL-7R autoimmune route
SP140	SP140 nuclear body protein	PARK_GENETICS_STATE_NEEDS_DIRECTION_OR_MODALITY	2	8.5	prior_or_safety	myeloid chromatin/nuclear-body regulator; possible PROTAC or epigenetic reader-modulation route only if causal direction is established	nuclear protein with no mature selective autoimmune modality; disease genetics may reflect loss-of-function rather than inhibit-to-treat direction	True	True	True	True	True	True	0.8754889965057373	0.9868116204727	3	Crohn;MS;Psoriasis	3	3	Crohn;MS;Psoriasis	6	AS;Crohn;MS;Psoriasis;RA;UC	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	False	1	0	0	0	False		False	0.0	0.0	ra_nonclassical_monocyte	UNRESOLVED	1.0553304433165922	0.920009505703422	2.0	nuclear_regulatory	0	CHEMBL3108643	6.36468645455028	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_PRIOR_OR_SAFETY_BLOCKED	 |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:bromodomain_prior_art_weak_perturbation_selectivity | bromodomain_prior_art_weak_perturbation_selectivity | weak_reachability;manual_or_prior_blocker;prior_branch_closed:bromodomain_prior_art_weak_perturbation_selectivity | bromodomain_prior_art_weak_perturbation_selectivity | insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; no_druggability_route |  |  |  | nuclear protein with no mature selective autoimmune modality; disease genetics may reflect loss-of-function rather than inhibit-to-treat direction
GALC	galactosylceramidase	PARK_GENETICS_STATE_NEEDS_DIRECTION_OR_MODALITY	2	5.699999999999999	directional_or_perturbation_support;prior_or_safety	lysosomal sphingolipid enzyme; intervention would likely be enzyme restoration, substrate handling, or lipid-trafficking correction	loss of GALC causes Krabbe disease, so inhibition is biologically unsafe; activation/restoration modality for inflammatory autoimmune lesions is unproven	True	True	True	True	False	True	0.7024610638618469	0.9873343718864264	2	Crohn;MS	3	1	AS;Crohn;MS	5	AS;Crohn;MS;SLE;UC	3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0	IBD_myeloid	UNRESOLVED	-0.6411892122129084	0.9965506589785832	2.0	intracellular_other	0		6.189795435748273	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_PRIOR_OR_SAFETY_BLOCKED	 |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:lysosomal_enzyme_delivery_direction_blocker;no_high_confidence_directional_support | lysosomal_enzyme_delivery_direction_blocker | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:lysosomal_enzyme_delivery_direction_blocker;no_high_confidence_directional_support | lysosomal_enzyme_delivery_direction_blocker | insufficient_independent_convergence_after_guardrails |  |  |  | loss of GALC causes Krabbe disease, so inhibition is biologically unsafe; activation/restoration modality for inflammatory autoimmune lesions is unproven
CD58	CD58 molecule	PARK_GENETICS_STATE_NEEDS_DIRECTION_OR_MODALITY	2	2.3499999999999996	directional_or_perturbation_support;reachable_modality;prior_or_safety			True	True	True	True	False	False	0.9513845443725586	0.9944626523267264	1	MS	2	2	Crohn;MS	4	Crohn;MS;PBC;SLE	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0					0.0	intracellular_other	0		3.448185430270665	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_PRIOR_OR_SAFETY_BLOCKED	 |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:genetic_anchor_without_state_response_and_prior_art_cd2_axis;no_high_confidence_directional_support | genetic_anchor_without_state_response_and_prior_art_cd2_axis | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:genetic_anchor_without_state_response_and_prior_art_cd2_axis;no_high_confidence_directional_support | genetic_anchor_without_state_response_and_prior_art_cd2_axis | insufficient_independent_convergence_after_guardrails |  |  |  | 
PTGER4	prostaglandin E receptor 4	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	9.1	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety	EP4 receptor barrier/tolerance axis	directionality and prior-art conflicts across autoimmune indications	True	True	True	False	False	True	0.5558526515960693	0.9291922636901228	5	Crohn;MS;Psoriasis;T1D;UC	3	3	Crohn;MS;UC	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	2	Crohn disease;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0338403481132347	1.0	7.5	intracellular_other	2168	CHEMBL1836	4.24586032993851	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED		NO_GO_PRIOR_OR_SAFETY_BLOCKED	EP4_directionality_prior_art_conflicted | prior_branch_blocker_or_directionality_unresolved | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:ep4_directionality_prior_art_conflicted;no_high_confidence_directional_support | ep4_directionality_prior_art_conflicted | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:ep4_directionality_prior_art_conflicted;no_high_confidence_directional_support | ep4_directionality_prior_art_conflicted | No broad local credible-set/eQTL-backed genetic package; GWAS-only evidence is insufficient. |  | EP4_directionality_prior_art_conflicted |  | directionality and prior-art conflicts across autoimmune indications
STAT4	signal transducer and activator of transcription 4	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	8.76875	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety	broad Th1/Th17 transcriptional axis	not selectively druggable and prior-art crowded pathway	True	True	True	False	False	True	0.845672070980072	0.955404271318453	8	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	7	7	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren	9	AITD;Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	2	Crohn disease;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0	ra_myeloid_dendritic	UNRESOLVED	-0.0419731364238392	1.0	4.5625	receptor_or_ligand_axis	0	CHEMBL4523296	4.377520842140743	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED		NO_GO_PRIOR_OR_SAFETY_BLOCKED	STAT4_TF_not_selectively_druggable | prior_branch_blocker_or_directionality_unresolved | manual_or_prior_blocker;prior_branch_closed:broad_tf_jak_stat_axis_prior_art_no_selective_target | broad_tf_jak_stat_axis_prior_art_no_selective_target | manual_or_prior_blocker;prior_branch_closed:broad_tf_jak_stat_axis_prior_art_no_selective_target | broad_tf_jak_stat_axis_prior_art_no_selective_target | Genetics may be broad, but current modality is absent or wrong-direction restoration. |  | STAT4_TF_not_selectively_druggable |  | not selectively druggable and prior-art crowded pathway
CD40	CD40 molecule	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	7.700000000000001	lipid_state_or_recurrence;prior_or_safety			True	True	True	False	True	True	0.0	0.0	1	RA	6	6	Celiac;Crohn;PBC;Psoriasis;RA;T1D	11	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	2	Crohn disease;ulcerative colitis	False	0	0	0	0	False		True	1.0	0.0	t1d_ductal	UNRESOLVED	0.2247298171610834	1.0	3.0	intracellular_other	0	CHEMBL1250358	0.9509171346732832	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED		NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior_art_costimulation_axis |  | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety;no_high_confidence_directional_support | costimulation_axis_prior_art_and_systemic_safety | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety;no_high_confidence_directional_support | costimulation_axis_prior_art_and_systemic_safety | prior_art_saturated_costimulation |  | prior_art_costimulation_axis |  | 
TAGAP	T cell activation RhoGTPase activating protein	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	7.649999999999999	lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	True	True	False	False	False	0.8897240161895752	0.9951413234333548	6	Celiac;Crohn;MS;Psoriasis;RA;T1D	3	0	Celiac;Crohn;MS	9	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	1	Crohn disease	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.2809824254741528	1.0	0.0	intracellular_other	0		3.889210077917919	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_DIRECTIONAL_SUPPORT	 |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  | 
TIMMDC1	translocase of inner mitochondrial membrane domain containing 1	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	7.4	lipid_state_or_recurrence;directional_or_perturbation_support			False	True	True	False	False	True	0.4899875223636627	0.9897445585012262	1	PBC	3	3	MS;PBC;SLE	4	AITD;MS;PBC;SLE	2	psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.8706362208008852	0.920009505703422	2.0	intracellular_other	0		2.372772961973669	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_DIRECTIONAL_SUPPORT	 |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  | 
