gene	source_analysis	target_analysis	disease_name	target_module	positive_core_models	no_core_negative_nominal	m3_positive_perm_loo	m4_supportive	robust_positive	robust_negative	m3_slope	m3_p	m3_perm_p	m3_loo_positive_fraction	m4_slope	m4_p	model_signs	m3_p_q_all_contexts	m3_perm_q_all_contexts	m3_nominal_positive	m3_perm_positive	m3_perm_q_positive	m4_estimable	m4_positive	specificity_call	primary_positive_m3_count	control_positive_m3_count	primary_positive_m7_count	control_positive_m7_count	specific_primary_context	generic_context	strict_context_pass	provisional_context_pass
CD82	ibd_crohn_epithelial	ibd_crohn_myeloid	Crohn disease	lysosomal_apc	True	True	True	True	True	False	1.2113539787791785	0.0034901387055257	0.0019990004997501	1.0			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+	0.0314112483497313	0.0179910044977509	True	True	True	False	False	GENERIC_TARGET_ACTIVATION_COUPLING	3	2	0	0	False	True	False	False
CD82	ibd_crohn_epithelial	ibd_crohn_myeloid	Crohn disease	lipid_loader_repair	True	True	True	True	True	False	0.6412312321236047	0.0236208131023664	0.015992003998001	1.0			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+	0.09602733548475202	0.07196401799100449	True	True	False	False	False	GENERIC_TARGET_ACTIVATION_COUPLING	3	2	0	0	False	True	False	False
CD82	ibd_crohn_epithelial	ibd_crohn_myeloid	Crohn disease	complement_phagocytosis	True	True	True	True	True	False	1.0553950751455867	0.0426788157710009	0.0429785107446276	1.0			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-	0.09602733548475202	0.10164917541229379	True	True	False	False	False	GENERIC_TARGET_ACTIVATION_COUPLING	3	2	0	0	False	True	False	False
CD82	sjogren_gland_epithelial	sjogren_gland_apc	Sjogren syndrome	lysosomal_apc	True	True	True	True	True	False	0.4259414825086863	0.0383471421508279	0.0454772613693153	1.0	0.5669042741909343	0.0043311977976907	M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M4_ifn_hla_extension:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+	0.09602733548475202	0.10164917541229379	True	True	False	True	True	SPECIFIC_PRIMARY_OVER_CONTROLS_M3	1	0	0	1	True	False	False	True
CD82	sjogren_gland_epithelial	sjogren_gland_apc	Sjogren syndrome	complement_phagocytosis	True	True	False	True	False	False	0.6210147366690112	0.0613010733635099	0.056471764117941	1.0	0.8689861839875166	0.0185246648038567	M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M4_ifn_hla_extension:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+	0.11034193205431782	0.10164917541229379	False	False	False	True	True	SPECIFIC_PRIMARY_OVER_CONTROLS_M3	1	0	0	1	True	False	False	False
CD82	ibd_uc_epithelial	ibd_uc_myeloid	ulcerative colitis	lipid_loader_repair	True	True	False	True	False	False	0.1517658686007016	0.255396744494	0.272863568215892	1.0			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+	0.383095116741	0.40929535232383807	False	False	False	False	False	NO_PRIMARY_SIGNAL	0	0	0	0	False	False	False	False
CD82	sjogren_gland_epithelial	sjogren_gland_apc	Sjogren syndrome	lipid_loader_repair	True	True	False	False	False	False	0.228118827348704	0.3881643869255827	0.4287856071964018	1.0	0.3373085894724646	0.2601487131359842	M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M4_ifn_hla_extension:+;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-	0.4990684974757492	0.5512957806810881	False	False	False	True	True	SPECIFIC_PRIMARY_OVER_CONTROLS_M3	1	0	0	1	True	False	False	False
CD82	ibd_uc_epithelial	ibd_uc_myeloid	ulcerative colitis	complement_phagocytosis	False	True	False	True	False	False	-0.1121003053616249	0.5923258230645335	0.5757121439280359	0.0833333333333333			M0_raw:-;M1_case:-;M2_target_inflammation:+;M3_source_target_inflammation:-;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+	0.6663665509476002	0.6476761619190404	False	False	False	False	False	NO_PRIMARY_SIGNAL	0	0	0	0	False	False	False	False
CD82	ibd_uc_epithelial	ibd_uc_myeloid	ulcerative colitis	lysosomal_apc	True	True	False	True	False	False	0.0106264933132741	0.9604131099681764	0.96151924037981	0.5833333333333334			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+	0.9604131099681764	0.96151924037981	False	False	False	False	False	NO_PRIMARY_SIGNAL	0	0	0	0	False	False	False	False
CD82	ibd_crohn_stromal	ibd_crohn_myeloid	Crohn disease	complement_phagocytosis	False	False	False	True	False	False							M0_raw:-;M1_case:-;M2_target_inflammation:-;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-			False	False	False	False	False	NO_PRIMARY_SIGNAL	0	1	0	2	False	False	False	False
CD82	ibd_crohn_stromal	ibd_crohn_myeloid	Crohn disease	lipid_loader_repair	False	True	False	True	False	False							M0_raw:+;M1_case:+;M2_target_inflammation:-;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-			False	False	False	False	False	NO_PRIMARY_SIGNAL	0	1	0	2	False	False	False	False
CD82	ibd_crohn_stromal	ibd_crohn_myeloid	Crohn disease	lysosomal_apc	False	True	False	True	False	False							M0_raw:+;M1_case:-;M2_target_inflammation:-;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+			False	False	False	False	False	NO_PRIMARY_SIGNAL	0	1	0	2	False	False	False	False
CD82	ibd_uc_stromal	ibd_uc_myeloid	ulcerative colitis	complement_phagocytosis	False	True	False	True	False	False							M0_raw:-;M1_case:-;M2_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+			False	False	False	False	False	NO_PRIMARY_SIGNAL	0	0	0	0	False	False	False	False
CD82	ibd_uc_stromal	ibd_uc_myeloid	ulcerative colitis	lipid_loader_repair	False	True	False	True	False	False							M0_raw:+;M1_case:-;M2_target_inflammation:+;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-			False	False	False	False	False	NO_PRIMARY_SIGNAL	0	0	0	0	False	False	False	False
CD82	ibd_uc_stromal	ibd_uc_myeloid	ulcerative colitis	lysosomal_apc	False	True	False	True	False	False							M0_raw:+;M1_case:-;M2_target_inflammation:-;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+			False	False	False	False	False	NO_PRIMARY_SIGNAL	0	0	0	0	False	False	False	False
