gene	source	value
DAB2	wave81_rank	{'gene': 'DAB2', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 9, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 1, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 0, 'broad_positive_diseases': nan, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': 0.5378984279794476, 'ms_p': 0.0111306912319104, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
DAB2	wave37_crispr	{'gene_symbol': 'DAB2', 'n_sgrna': 4, 'median_efficient_lfc': 0.5406226648479175, 'median_noneater_lfc': 0.0816235422573664, 'median_efficient_minus_noneater_lfc': 0.6555390813258746, 's1_median_efficient_lfc': 0.4391072949141041, 's3_median_efficient_lfc': 0.5933553183944733, 's1_median_noneater_lfc': 0.2171884861384601, 's3_median_noneater_lfc': -0.0171344462612075, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.375, 'noneater_p_wilcoxon': 0.625, 'contrast_p_wilcoxon': 0.375, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.9052095024317248, 'noneater_fdr': 0.9889744952178532, 'contrast_fdr': 0.9965506589785832, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
DAB2	ms	{'gene': 'DAB2', 'mean_case': 11.154108783893136, 'mean_control': 10.616210355913688, 'delta_log2': 0.5378984279794476, 'hedges_g': 1.1936134884783862, 'welch_t': 2.8274736199827584, 'p': 0.0111306912319104, 'fdr': 0.8349413280632139, 'gene_norm': 'DAB2'}
DAB2	broad	{'gene': 'DAB2', 'positive_disease_count': 0, 'positive_diseases': nan, 'negative_disease_count': 3, 'negative_diseases': 'Crohn disease;type 1 diabetes mellitus;ulcerative colitis', 'best_p': 0.0026989827017581, 'max_abs_delta': 2.616269136034033}
DAB2	ibd	{'gene': 'DAB2', 'ibd_best_raw_p': 0.0836599691107984, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.047169838467308, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
DAB2	wave71	{'gene': 'DAB2', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.2, 'raw_channel_points': 0.317283, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY', 'evidence_summary': 'inhibit_or_reduce; 0.0; 0.5378984279794476; 0.9965506589785832', 'blockers': 'insufficient_directional_cross_disease_state_support; disease_state_direction_conflict; no_chembl_target; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'DAB2'}
DAB2	wave110	[{'candidate': 'DAB2', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 5.6, 'support_summary': 'score=9.0;direct=1;foundation=0;ms=1;genetics=0;broad=0.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}]
CD9	wave81_rank	{'gene': 'CD9', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 8, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 1, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 0, 'broad_positive_diseases': nan, 'ibd_response_nominal': 0, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': 1.1100295973517351, 'ms_p': 0.0019686305906988, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
CD9	wave37_crispr	{'gene_symbol': 'CD9', 'n_sgrna': 4, 'median_efficient_lfc': 0.648199136136992, 'median_noneater_lfc': -0.0379788957781506, 'median_efficient_minus_noneater_lfc': 0.7466880318269618, 's1_median_efficient_lfc': 0.6581535851623066, 's3_median_efficient_lfc': 0.4917880771527365, 's1_median_noneater_lfc': 0.0103372113875006, 's3_median_noneater_lfc': -0.0149494417462989, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.875, 'noneater_p_wilcoxon': 0.625, 'contrast_p_wilcoxon': 0.875, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 1.0, 'noneater_fdr': 0.9889744952178532, 'contrast_fdr': 1.0, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
CD9	ms	{'gene': 'CD9', 'mean_case': 11.760812351042658, 'mean_control': 10.650782753690924, 'delta_log2': 1.1100295973517351, 'hedges_g': 1.5008958517704267, 'welch_t': 3.5876300725249526, 'p': 0.0019686305906988, 'fdr': 0.8344760564031432, 'gene_norm': 'CD9'}
