analysis	dataset_path	disease_name	compartment	donor_id	disease	group	role	n_cells	cell_types	module	mean_score
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	endothelial_entry	0.07333536514623776
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	stromal_retention_fibrosis	0.11842732764917445
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	epithelial_chemokine_entry	-0.030620238495930045
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	tls_lymphoid_niche	0.7089450143149627
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	tl1a_comparator	0.14813560643823157
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_ifn_apc	0.8298671940947998
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_hla_ii_apc	0.0831594940745975
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_lysosomal_apc	0.20264520821540036
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_mif_cd74_receptor_state	0.16806972501720427
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_mixscale_validated_ifng_readout	0.7078549528393315
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_lipid_loader_repair	-0.00810220639623059
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_complement_phagocytosis	-0.411162760151742
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_hif_nampt_metabolic	0.6256955167285362
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	target	81	myeloid cell	target_inflammatory_nfkb	0.5452014953681757
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	target	38	myeloid cell	endothelial_entry	0.23713400092347475
