accession	sample_id	description	donor_id	group	disease_state	marker_compartment	compartment_source	gene	n_cells	mean_log_norm	detection_fraction
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	IFNG	1293	0.001134276251781844	0.0015467904098994587
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	IFNGR1	1293	0.1824118166770109	0.18174787316318639
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	IFNGR2	1293	0.41091872573083255	0.374323279195669
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	STAT1	1293	0.4956913640447485	0.39675174013921116
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	IRF1	1293	1.0789056635142664	0.6790409899458624
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	CXCL10	1293	0.0007574425956950294	0.0007733952049497294
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	CD74	1293	4.099715054450068	0.9853054911059551
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	HLA-DRA	1293	3.6021508966779305	0.9760247486465584
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	HLA-DRB1	1293	3.1453522967905014	0.9659706109822119
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	HLA-DPA1	1293	2.307025516807618	0.951276102088167
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	HLA-DPB1	1293	2.674084737608807	0.9590100541376644
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	CIITA	1293	0.7092061142587699	0.559938128383604
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	RFX5	1293	0.15951254327723155	0.16009280742459397
