dataset	organism	contrast	module	n_genes	genes_present	mean_log2fc	median_log2fc	negative_fraction	sig_negative_fdr10	sig_positive_fdr10
GSE162464	Mus musculus	Gsk3b_IFNg_induction_interaction	ciita_mhc2_cd74	9	Cd74,Ciita,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Eb1,Rfx5	-1.6269561745949623	-1.2209173905926827	1.0	0	0
GSE162464	Mus musculus	Gsk3b_IFNg_induction_interaction	mhc2_surface_core	7	Cd74,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Eb1	-1.9666086379322898	-1.8463735974112172	1.0	0	0
GSE162464	Mus musculus	Gsk3b_IFNg_induction_interaction	generic_ifn_core	18	B2m,Cxcl10,Cxcl9,Gbp2,Gbp5,Ifit1,Ifit2,Ifit3,Igtp,Irf1,Irf7,Irgm1,Isg15,Nlrc5,Oasl2,Stat1,Tap1,Tap2	-0.24975404654483788	-0.20177099479722171	0.6111111111111112	0	0
GSE162464	Mus musculus	Gsk3b_IFNg_induction_interaction	lysosomal_antigen_processing	8	Ctsb,Ctsd,Ctsl,Ctss,Ifi30,Lamp1,Lamp2,Lamp3	0.06987881642259444	0.1072825622218252	0.25	0	0
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	ciita_mhc2_cd74	9	Cd74,Ciita,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Eb1,Rfx5	-1.8561906549418719	-1.7906831632299038	1.0	7	0
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	mhc2_surface_core	7	Cd74,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Eb1	-1.984644811317953	-2.1392132246471727	1.0	6	0
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	generic_ifn_core	18	B2m,Cxcl10,Cxcl9,Gbp2,Gbp5,Ifit1,Ifit2,Ifit3,Igtp,Irf1,Irf7,Irgm1,Isg15,Nlrc5,Oasl2,Stat1,Tap1,Tap2	-0.48285857107089264	-0.309155961086125	0.7777777777777778	6	0
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	lysosomal_antigen_processing	8	Ctsb,Ctsd,Ctsl,Ctss,Ifi30,Lamp1,Lamp2,Lamp3	0.136743944363407	0.1830965119379743	0.25	0	0
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	ciita_mhc2_cd74	9	Cd74,Ciita,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Eb1,Rfx5	-0.22923448034690974	-0.62482303930538	0.7777777777777778	3	2
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	mhc2_surface_core	7	Cd74,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Eb1	-0.01803617338566304	-0.3741504963839617	0.7142857142857143	1	2
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	generic_ifn_core	18	B2m,Cxcl10,Cxcl9,Gbp2,Gbp5,Ifit1,Ifit2,Ifit3,Igtp,Irf1,Irf7,Irgm1,Isg15,Nlrc5,Oasl2,Stat1,Tap1,Tap2	-0.23310452452605482	-0.20994461735374337	0.6111111111111112	3	2
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	lysosomal_antigen_processing	8	Ctsb,Ctsd,Ctsl,Ctss,Ifi30,Lamp1,Lamp2,Lamp3	0.06686512794081256	-0.00284936294686311	0.5	1	2
