analysis	disease_name	compartment	role	gene	present
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	GSK3B	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	GSK3A	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MED16	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CIITA	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	RFX5	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CD74	True
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	GSK3B	True
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	GSK3A	True
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MED16	True
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CIITA	True
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	RFX5	True
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD74	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3B	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3A	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	MED16	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CIITA	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	RFX5	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD74	True
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	GSK3B	True
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	GSK3A	True
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	MED16	True
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	CIITA	True
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	RFX5	True
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	CD74	True
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	GSK3B	True
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	GSK3A	True
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	MED16	True
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	CIITA	True
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	RFX5	True
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	CD74	True
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	GSK3B	True
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	GSK3A	True
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	MED16	True
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	CIITA	True
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	RFX5	True
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	CD74	True
