gene	ensembl	ot_gwas_rows	ot_max_score	ot_diseases_any	ot_n_diseases_any	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_5	europepmc_total_hits_across_queries	clinical_trials_hit_count	interpretation
CTSH	ENSG00000103811	7	0.9744693040847778	multiple sclerosis;type 1 diabetes mellitus	2	multiple sclerosis;type 1 diabetes mellitus	2	4379	0.0	external gate only; Open Targets rows are locus-level and patents are URL queries
CD44	ENSG00000026508	9	0.8461219072341919	autoimmune thyroid disease;systemic lupus erythematosus;type 1 diabetes mellitus	3	systemic lupus erythematosus	1	168663	10.0	external gate only; Open Targets rows are locus-level and patents are URL queries
CTSB	ENSG00000164733	2	0.8172945976257324	autoimmune thyroid disease;type 1 diabetes mellitus	2	type 1 diabetes mellitus	1	33820	10.0	external gate only; Open Targets rows are locus-level and patents are URL queries
IFI30	ENSG00000216490	4	0.5828565955162048	multiple sclerosis	1	multiple sclerosis	1	8407	8.0	external gate only; Open Targets rows are locus-level and patents are URL queries
LGALS9	ENSG00000168961	7	0.21718017756938934	Crohn's disease;ankylosing spondylitis;psoriasis;ulcerative colitis	4		0	51382	10.0	external gate only; Open Targets rows are locus-level and patents are URL queries
RAB5A	ENSG00000144566	1	0.07950253784656525	systemic lupus erythematosus	1		0	4134	0.0	external gate only; Open Targets rows are locus-level and patents are URL queries
CTSS	ENSG00000163131	1	0.06206316128373146	Crohn's disease	1		0	13959	10.0	external gate only; Open Targets rows are locus-level and patents are URL queries
SNX10	ENSG00000086300	0	0.0		0		0	950	0.0	external gate only; Open Targets rows are locus-level and patents are URL queries
LAPTM5	ENSG00000162511	0	0.0		0		0	1951	0.0	external gate only; Open Targets rows are locus-level and patents are URL queries
VPS35	ENSG00000069329	0	0.0		0		0	4111	1.0	external gate only; Open Targets rows are locus-level and patents are URL queries
HLA-DMB	ENSG00000242574	0	0.0		0		0	7136	1.0	external gate only; Open Targets rows are locus-level and patents are URL queries
HLA-DMA	ENSG00000204257	0	0.0		0		0	7336	1.0	external gate only; Open Targets rows are locus-level and patents are URL queries
LIPA	ENSG00000107798	0	0.0		0		0	9925	10.0	external gate only; Open Targets rows are locus-level and patents are URL queries
CTSL	ENSG00000135047	0	0.0		0		0	19206	8.0	external gate only; Open Targets rows are locus-level and patents are URL queries
CTSD	ENSG00000117984	0	0.0		0		0	24603	10.0	external gate only; Open Targets rows are locus-level and patents are URL queries
LGALS3	ENSG00000131981	0	0.0		0		0	58508	10.0	external gate only; Open Targets rows are locus-level and patents are URL queries
