analysis	disease_name	compartment	role	gene	candidate_class	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	positive_fdr10	positive_trend	negative_trend
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	AP1S2	trafficking_sorting	mean_log_norm	6.0	6.0	0.02698067187095102	0.012741135599028291	0.01423953627192273	1.2599966246438274	2.364243018852434	0.051961319393085265	0.26349216027355943	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	AP1S2	trafficking_sorting	detection_fraction	6.0	6.0	0.02877078865421626	0.01415697332686186	0.0146138153273544	0.9843929086932851	1.8471034101728876	0.11751066143094482	0.3585304045027891	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	AP2M1	trafficking_sorting	mean_log_norm	6.0	6.0	0.19606531945496175	0.23899156671140087	-0.04292624725643912	-0.9491237365788495	-1.7809247456262027	0.11166473018102507	0.3585304045027891	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	AP2M1	trafficking_sorting	detection_fraction	6.0	6.0	0.186627877541641	0.20821022817489143	-0.021582350633250424	-0.28582756393954134	-0.5363235181925047	0.6035702942493232	0.7671192198708766	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ATP6V0D2	lysosome_endosome_lipid	mean_log_norm	6.0	6.0	0.0	0.0008985613834822211	-0.0008985613834822211	-1.2697583684527682	-2.3825598414539533	0.06296499897426111	0.2747518468218541	False	False	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ATP6V0D2	lysosome_endosome_lipid	detection_fraction	6.0	6.0	0.0	0.0005992196623021816	-0.0005992196623021816	-1.579681024247806	-2.9640951098954473	0.03137016631968533	0.21459136269199833	False	False	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ATP6V1B2	lysosome_endosome_lipid	mean_log_norm	6.0	6.0	0.05825206016934103	0.05027664428949627	0.00797541587984476	0.3618058500253011	0.6788882909460892	0.5211805113306266	0.7068448380875625	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ATP6V1B2	lysosome_endosome_lipid	detection_fraction	6.0	6.0	0.06731452515443113	0.052522157048227026	0.014792368106204108	0.4142088729135689	0.7772167139014867	0.4691906682749255	0.661481925764649	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	AXL	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	0.0011815705825196643	0.0005920214937006277	0.0005895490888190366	0.39122155981897627	0.7340835868413815	0.4892250631062723	0.6786025068893454	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	AXL	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.0005676552894343074	0.0006541635175143244	-8.650822808001701e-05	-0.12443164254672329	-0.23348208754018837	0.8206007944483074	0.9045926453166677	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QA	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	0.0	0.0	0.0					False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QA	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.0	0.0	0.0					False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QB	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	0.006527569296747894	0.006127692279185303	0.000399877017562591	0.06267765750545541	0.11760762790708702	0.9087531854339468	0.9359613646385561	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QB	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.005801793972177391	0.00487379302610597	0.0009280009460714209	0.17759029355453013	0.333228362314811	0.7464053359138422	0.8422698002007668	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QC	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	0.005832296489998644	0.0025482316637477887	0.0032840648262508552	0.7020911176414498	1.3173956112392928	0.22884813976346144	0.47423951854596824	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QC	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.0032380633936272044	0.0021807681212207505	0.001057295272406454	0.4576367191561559	0.8587042197365572	0.4124270578157885	0.6146534064504792	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C3AR1	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	0.0022161100594250884	0.0006613884327335015	0.0015547216266915869	0.5311617871993451	0.9966658026740499	0.35875169723592015	0.5881726035997231	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C3AR1	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.0015280571806872624	0.00029877321984672596	0.0012292839608405365	0.5776000969262381	1.0838021071940322	0.32532347941191947	0.5817949611672203	False	False	False
