analysis	disease_name	compartment	gene	candidate_class	present
ibd_crohn_myeloid	Crohn disease	colon myeloid	AP1S2	trafficking_sorting	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	AP2M1	trafficking_sorting	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	ATP6V0D2	lysosome_endosome_lipid	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	ATP6V1B2	lysosome_endosome_lipid	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	AXL	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	C1QA	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	C1QB	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	C1QC	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	C3AR1	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	C5AR1	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CALR	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD274	glycan_checkpoint_surface	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD44	glycan_checkpoint_surface	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD74	state_markers_positive_controls	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD83	glycan_checkpoint_surface	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD86	glycan_checkpoint_surface	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CIITA	state_markers_positive_controls	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CST3	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CSTA	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CSTB	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSB	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSD	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSH	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSL	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSS	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSZ	hla_ii_loading_editing	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	CXorf21	failed_or_crowded_comparators	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	EEA1	trafficking_sorting	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	FCGR2A	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	FCGR2B	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	FCGR3A	uptake_complement_phagocytosis	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	GPR65	failed_or_crowded_comparators	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	GSK3A	failed_or_crowded_comparators	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	GSK3B	failed_or_crowded_comparators	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	HGS	trafficking_sorting	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	HLA-DMA	hla_ii_loading_editing	True
