pert_id	cmap_name	target	moa	canonical_smiles	inchi_key	compound_aliases
BRD-K09991945	BRD-K09991945			Ic1cccc(CSc2nnc(o2)c3ccncc3)c1	ZRHRPGSSSVYBRG-UHFFFAOYSA-N	GSK-3-inhibitor-II
BRD-K04923131	BRD-K04923131			ON=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12	DDLZLOKCJHBUHD-UJZLGWIISA-N	GSK-3-inhibitor-IX
BRD-K19136521	BRD-K19136521			ON=C1c2ccccc2NC/1=C1C(=O)Nc2ccccc12	HBDSHCUSXQATPO-BGBJRWHRSA-N	indirubin-3-monoxime
BRD-A94523291	BRD-A94523291			C[C@]12C[C@H](O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)COP(O)(O)=O	JDOZJEUDSLGTLU-YDAVOWJHSA-N	prednisolone-sodium-phosphate
BRD-K75516118	BRD-K75516118			COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1	HJORMJIFDVBMOB-LBPRGKRZSA-N	rolipram-R(-)
BRD-K65856711	BRD-K65856711			COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1	HJORMJIFDVBMOB-GFCCVEGCSA-N	rolipram-S(+)
BRD-K19601669	S-ruxolitinib			N#CC[C@@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	HFNKQEVNSGCOJV-HNNXBMFYSA-N	
BRD-K76894938	CHIR-99021			Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cc2)C#N)nc1-c1ccc(Cl)cc1Cl	IXZLFTLUEAWYGO-UHFFFAOYSA-N	
BRD-K16189898	CHIR-99021			Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	AQGNHMOJWBZFQQ-UHFFFAOYSA-N	
BRD-M74254599	lithium-chloride			[Li].Cl	PZLXYMQOCNYUIO-UHFFFAOYSA-N	
BRD-K70504303	prednisolone			C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@H]1CC[C@]2(O)C(=O)CO	OIGNJSKKLXVSLS-YZNLNAKGSA-N	
BRD-A27887842	prednisolone			C[C@]12C[C@H](O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)CO	OIGNJSKKLXVSLS-YDAVOWJHSA-N	
BRD-K82481048	prednisolone			C[C@H]1C[C@H]2[C@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@H]2[C@@]2(C)C=CC(=O)C=C12	VHRSUDSXCMQTMA-PAXYEMDESA-N	
BRD-K53972329	ruxolitinib			N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	HFNKQEVNSGCOJV-OAHLLOKOSA-N	
BRD-K28418330	GSK-343					
BRD-K87932577	NSC-693868	GSK3A	CDK inhibitor	Nc1n[nH]c2nc3ccccc3nc12	DWHVZCLBMTZRQM-UHFFFAOYSA-N	
BRD-K17894950	indirubin	CDK5	CDK inhibitor	O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=O	CRDNMYFJWFXOCH-YPKPFQOOSA-N	
BRD-K17894950	indirubin	GSK3A	CDK inhibitor	O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=O	CRDNMYFJWFXOCH-YPKPFQOOSA-N	
BRD-K17894950	indirubin	CDK1	CDK inhibitor	O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=O	CRDNMYFJWFXOCH-YPKPFQOOSA-N	
BRD-K53959060	indirubin	CDK5	CDK inhibitor	ON=C1C(=C2C(=O)Nc3ccccc23)Nc4ccccc14	HBDSHCUSXQATPO-UHFFFAOYSA-N	
BRD-K53959060	indirubin	GSK3A	CDK inhibitor	ON=C1C(=C2C(=O)Nc3ccccc23)Nc4ccccc14	HBDSHCUSXQATPO-UHFFFAOYSA-N	
BRD-K53959060	indirubin	CDK1	CDK inhibitor	ON=C1C(=C2C(=O)Nc3ccccc23)Nc4ccccc14	HBDSHCUSXQATPO-UHFFFAOYSA-N	
BRD-K37312348	kenpaullone	CDK5	CDK inhibitor	Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1	QQUXFYAWXPMDOE-UHFFFAOYSA-N	
BRD-K37312348	kenpaullone	GSK3B	CDK inhibitor	Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1	QQUXFYAWXPMDOE-UHFFFAOYSA-N	
BRD-K37312348	kenpaullone	CDK1	CDK inhibitor	Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1	QQUXFYAWXPMDOE-UHFFFAOYSA-N	
BRD-K31268420	NSC-693868	GSK3A	CDK inhibitor	Nc1nnc2[nH]c3ccccc3nc12	DWHVZCLBMTZRQM-UHFFFAOYSA-N	
BRD-K88378636	withaferin-a	NAMPT	IKK inhibitor	C[C@@H]([C@H]1CC[C@H]2[C@@H]3C[C@H]4O[C@]45[C@@H](O)C=CC(=O)[C@]5(C)[C@H]3CC[C@]12C)[C@H]6CC(=C(CO)C(=O)O6)C	DBRXOUCRJQVYJQ-CKNDUULBSA-N	
BRD-K88378636	withaferin-a	IKBKB	IKK inhibitor	C[C@@H]([C@H]1CC[C@H]2[C@@H]3C[C@H]4O[C@]45[C@@H](O)C=CC(=O)[C@]5(C)[C@H]3CC[C@]12C)[C@H]6CC(=C(CO)C(=O)O6)C	DBRXOUCRJQVYJQ-CKNDUULBSA-N	
BRD-A52193669	withaferin-a	NAMPT	IKK inhibitor	CC([C@H]1CC[C@@H]2[C@H]3C[C@H]4O[C@@]44[C@@H](O)C=CC(=O)[C@@]4(C)C3CC[C@@]12C)[C@@H]1CC(C)=C(CO)C(=O)O1	DBRXOUCRJQVYJQ-MZNHJNIISA-N	
BRD-A52193669	withaferin-a	IKBKB	IKK inhibitor	CC([C@H]1CC[C@@H]2[C@H]3C[C@H]4O[C@@]44[C@@H](O)C=CC(=O)[C@@]4(C)C3CC[C@@]12C)[C@@H]1CC(C)=C(CO)C(=O)O1	DBRXOUCRJQVYJQ-MZNHJNIISA-N	
BRD-K53581288	baricitinib	JAK1	JAK inhibitor	CCS(=O)(=O)N1CC(CC#N)(C1)n1cc(cn1)-c1ncnc2[nH]ccc12	XUZMWHLSFXCVMG-UHFFFAOYSA-N	
BRD-K53581288	baricitinib	JAK2	JAK inhibitor	CCS(=O)(=O)N1CC(CC#N)(C1)n1cc(cn1)-c1ncnc2[nH]ccc12	XUZMWHLSFXCVMG-UHFFFAOYSA-N	
BRD-K16803204	filgotinib	JAK1	JAK inhibitor	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	RIJLVEAXPNLDTC-UHFFFAOYSA-N	
BRD-K16803204	filgotinib	JAK2	JAK inhibitor	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	RIJLVEAXPNLDTC-UHFFFAOYSA-N	
BRD-K31283835	tofacitinib	JAK1	JAK inhibitor	C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N	UJLAWZDWDVHWOW-YPMHNXCESA-N	
BRD-K31283835	tofacitinib	JAK2	JAK inhibitor	C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N	UJLAWZDWDVHWOW-YPMHNXCESA-N	
BRD-K31283835	tofacitinib	JAK3	JAK inhibitor	C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N	UJLAWZDWDVHWOW-YPMHNXCESA-N	
BRD-K36280065	tofacitinib	JAK1	JAK inhibitor	C[C@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N	UJLAWZDWDVHWOW-AAEUAGOBSA-N	
BRD-K36280065	tofacitinib	JAK2	JAK inhibitor	C[C@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N	UJLAWZDWDVHWOW-AAEUAGOBSA-N	
BRD-K36280065	tofacitinib	JAK3	JAK inhibitor	C[C@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N	UJLAWZDWDVHWOW-AAEUAGOBSA-N	
BRD-K12343256	trametinib	MAP2K1	MEK inhibitor	CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O	LIRYPHYGHXZJBZ-UHFFFAOYSA-N	
