dataset	organism	contrast	gene	case_column	control_column	log2fc	p	fdr	note
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	ATF4	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.143493208860212			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	BAX	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.38635379728247266			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	CASP3	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.5458031475740608			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	CD74	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.0071674190623803			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	CIITA	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.9542673318116277			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	CTSS	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.042733575784497546			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	CXCL10	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-4.199526168969792			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	DDIT3	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.1627127352021147			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	DNAJB1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.07425830862974436			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	FOS	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.5496393441795959			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	GADD45A	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.1435557582325906			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	GBP1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-5.052613897615008			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HLA-DMA	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.9148903562980575			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HLA-DMB	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.0434012108047934			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HLA-DPA1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.1858714320992991			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HLA-DPB1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.963215950920782			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HLA-DQA1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.529059820563834			single processed CPM column per condition/timepoint; descriptive only
