molecule_chembl_id	CTSB	CTSH	CTSL	CTSS	CTSZ	best_non_ctsh_nM	has_any_non_ctsh_record	best_selectivity_ratio_non_ctsh_over_ctsh	ctsh_sub_1000nM	ctsh_sub_100nM	selectivity_10x_by_observed_records
CHEMBL114161	460.0	40.0	740.0			460.0	True	11.5	True	True	True
CHEMBL5848986		110.0			10000.0	10000.0	True	90.9090909090909	True	False	True
CHEMBL5095230		560.0			10000.0	10000.0	True	17.857142857142858	True	False	True
CHEMBL371420	1.3	0.46	0.79			0.79	True	1.7173913043478262	True	True	False
CHEMBL190121	0.077	1.4	0.025			0.025	True	0.01785714285714286	True	True	False
CHEMBL481611	1034.0	10.0	2995.0	45.0	10.0	10.0	True	1.0	True	True	False
CHEMBL113948	27.0	18.0	12.0			12.0	True	0.6666666666666666	True	True	False
CHEMBL183812	2.4	40.0	0.71			0.71	True	0.01775	True	True	False
CHEMBL567341	10715.19	125.89		15.85	933.25	15.85	True	0.12590356660576693	True	False	False
CHEMBL514348	1100.0	137.0		5.5		5.5	True	0.040145985401459854	True	False	False
CHEMBL492175	14.2	145.0				14.2	True	0.09793103448275861	True	False	False
CHEMBL203663	18.0	190.0	12.0			12.0	True	0.06315789473684211	True	False	False
CHEMBL374508	10.0	190.0	13.0	7.0		7.0	True	0.03684210526315789	True	False	False
CHEMBL204605	270.0	230.0	540.0			270.0	True	1.173913043478261	True	False	False
CHEMBL185097	500.0	500.0	330.0	5.2		5.2	True	0.0104	True	False	False
CHEMBL196896	500.0	500.0	410.0	13.0		13.0	True	0.026	True	False	False
CHEMBL5783659		560.0					False		True	False	False
CHEMBL180839	310.0	580.0	130.0			130.0	True	0.22413793103448276	True	False	False
CHEMBL567134		645.65		104.71	316.23	104.71	True	0.16217765042979942	True	False	False
CHEMBL4287663		1300.0					False		False	False	False
CHEMBL486232	64.0	1400.0		0.1		0.1	True	7.142857142857143e-05	False	False	False
CHEMBL5870472		1550.0					False		False	False	False
CHEMBL184329	2000.0	2000.0	1600.0	34.0		34.0	True	0.017	False	False	False
CHEMBL187687	2000.0	2000.0	1300.0	17.0		17.0	True	0.0085	False	False	False
CHEMBL195963	2000.0	2000.0	660.0	79.0		79.0	True	0.0395	False	False	False
CHEMBL390474	1.0	2653.0	22.0	16.0		1.0	True	0.0003769317753486619	False	False	False
CHEMBL212521	10.0	3700.0	10000.0	10.0		10.0	True	0.002702702702702703	False	False	False
CHEMBL180528	5000.0	5000.0	680.0	27.0		27.0	True	0.0054	False	False	False
CHEMBL182775	5000.0	5000.0	1200.0	20.0		20.0	True	0.004	False	False	False
CHEMBL184403	5000.0	5000.0	2200.0	11.0		11.0	True	0.0022	False	False	False
CHEMBL186650	5000.0	5000.0	5000.0	130.0		130.0	True	0.026	False	False	False
CHEMBL197509	5000.0	5000.0	2600.0	16.0		16.0	True	0.0032	False	False	False
CHEMBL366268	3600.0	5000.0	1300.0	20.0		20.0	True	0.004	False	False	False
CHEMBL426611	5000.0	5000.0	3000.0	270.0		270.0	True	0.054	False	False	False
CHEMBL230474	5.0	6591.0	26.0	17.0		5.0	True	0.0007586102260658474	False	False	False
CHEMBL4292287		7000.0					False		False	False	False
CHEMBL183660	680.0	8300.0	81.0			81.0	True	0.009759036144578313	False	False	False
CHEMBL191881	9.4	9200.0	2.5			2.5	True	0.0002717391304347826	False	False	False
CHEMBL450997	2940.0	9800.0	29500.0	50000.0		2940.0	True	0.3	False	False	False
CHEMBL230478	8.0	10000.0	230.0	298.0		8.0	True	0.0008	False	False	False
CHEMBL390475	2.0	10000.0	263.0	174.0		2.0	True	0.0002	False	False	False
CHEMBL461619	30000.0	10000.0		4.0		4.0	True	0.0004	False	False	False
CHEMBL567893	10000.0	10000.0		10000.0	10000.0	10000.0	True	1.0	False	False	False
CHEMBL5751174		10000.0					False		False	False	False
CHEMBL5764494		10000.0					False		False	False	False
CHEMBL5817878		10000.0			10000.0	10000.0	True	1.0	False	False	False
CHEMBL5986403		10000.0					False		False	False	False
CHEMBL6007410		10000.0					False		False	False	False
CHEMBL362134	12000.0	12000.0	3000.0	430.0		430.0	True	0.035833333333333335	False	False	False
CHEMBL117658	810.0	13000.0	2000.0			810.0	True	0.06230769230769231	False	False	False
CHEMBL189149	2600.0	13000.0	1500.0			1500.0	True	0.11538461538461539	False	False	False
CHEMBL193582	12000.0	13000.0	1700.0	30.0		30.0	True	0.002307692307692308	False	False	False
CHEMBL194068	1400.0	13000.0	150.0	18.0		18.0	True	0.0013846153846153845	False	False	False
CHEMBL195301	13000.0	13000.0	6800.0	290.0		290.0	True	0.022307692307692306	False	False	False
CHEMBL196240	13000.0	13000.0	460.0	280.0		280.0	True	0.021538461538461538	False	False	False
CHEMBL196298	13000.0	13000.0	1000.0	19.0		19.0	True	0.0014615384615384616	False	False	False
CHEMBL205173	32000.0	13000.0	11000.0			11000.0	True	0.8461538461538461	False	False	False
CHEMBL371749	13000.0	13000.0	4400.0	63.0		63.0	True	0.004846153846153846	False	False	False
CHEMBL381715	35000.0	13000.0	14000.0			14000.0	True	1.0769230769230769	False	False	False
CHEMBL426308	1800.0	13000.0	3400.0			1800.0	True	0.13846153846153847	False	False	False
CHEMBL96875	32000.0	13000.0	8900.0			8900.0	True	0.6846153846153846	False	False	False
CHEMBL567785		14454.4		6456.54	6456.54	6456.54	True	0.4466833628514501	False	False	False
CHEMBL568171	10000.0	16218.1		5623.41	3162.28	3162.28	True	0.19498461595378005	False	False	False
CHEMBL3900409		20000.0			20000.0	20000.0	True	1.0	False	False	False
CHEMBL448143	30000.0	29000.0	25500.0			25500.0	True	0.8793103448275862	False	False	False
CHEMBL212604	30000.0	30000.0	30000.0	32.0	30000.0	32.0	True	0.0010666666666666667	False	False	False
CHEMBL230473	46.0	30000.0	1270.0	473.0		46.0	True	0.0015333333333333334	False	False	False
CHEMBL541700		30000.0					False		False	False	False
