gene	source_key	evidence_type	url	note
SNX10	SNX10_colitis_pmid_26856241	mouse disease perturbation/prior art	https://pubmed.ncbi.nlm.nih.gov/26856241/	SNX10 as macrophage-polarization regulator in experimental mouse colitis.
SNX10	SNX10_phagosome_pmc_5589552	host-defense safety	https://pmc.ncbi.nlm.nih.gov/articles/PMC5589552/	SNX10 promotes macrophage phagosome maturation and Listeria control.
SNX10	SNX10_osteoclast_pmid_22174188	repair/bone safety	https://pubmed.ncbi.nlm.nih.gov/22174188/	SNX10 required for osteoclast formation and resorption.
C15ORF48	C15ORF48_sciadv_pmid_34878835	macrophage inflammation prior art	https://pubmed.ncbi.nlm.nih.gov/34878835/	Inflammation-induced C15orf48/MOCCI cytochrome-c-oxidase remodeling.
C15ORF48	MOCCI_natcomm_pmc_8035321	mechanism prior art	https://pmc.ncbi.nlm.nih.gov/articles/PMC8035321/	Coding and non-coding roles of MOCCI/C15ORF48 in host inflammation and immunity.
DAP	DAP_ifng_pmid_7828849	IFN/death prior art	https://pubmed.ncbi.nlm.nih.gov/7828849/	Original IFN-gamma-induced DAP/DAPK cell-death mediator paper.
DAP	DAP1_autophagy_pmc_4249318	autophagy safety	https://pmc.ncbi.nlm.nih.gov/articles/PMC4249318/	DAP1 as autophagy/apoptosis regulator.
FMNL2	FMNL2_crohn_plosone_2021	human Crohn adjacent prior art	https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0252428	Functional characterization of FMNL2 L136P from a pediatric Crohn disease case.
FMNL2	FMNL2_actin_pmc_3765947	cytoskeleton safety	https://pmc.ncbi.nlm.nih.gov/articles/PMC3765947/	FMNL2 drives actin protrusion and migration downstream of Cdc42.
TNFAIP8L1	TIPE_family_pmid_30274259	family-level immune prior art	https://pubmed.ncbi.nlm.nih.gov/30274259/	TIPE/TNFAIP8 family review covering immunity, inflammation, cell death, autophagy and lipid messengers.
PPIL3	nuclear_cyclophilins_pmid_30518120	spliceosome/nuclear cyclophilin biology	https://pubmed.ncbi.nlm.nih.gov/30518120/	Human nuclear cyclophilin review includes PPIL3.
NCK1	TCR_NCK_inhibitor_pmid_28003549	small-molecule prior art	https://pubmed.ncbi.nlm.nih.gov/28003549/	First-in-class TCR-Nck inhibitor framed for autoimmune diseases.
NCK1	AX024_reassessment_pmid_32317279	modality caveat	https://pubmed.ncbi.nlm.nih.gov/32317279/	AX-024 biology reassessment: T-cell proliferation effects may be independent of CD3epsilon/Nck1 interaction.
PLEK2	PLEK2_review_frontiers_2021	cytoskeleton safety	https://www.frontiersin.org/articles/10.3389/fcell.2021.768238/full	Pleckstrin-2 roles in actin/cell spreading and hematopoietic contexts.
SEL1L3	SEL1L3_hpa	expression/resource	https://www.proteinatlas.org/ENSG00000091490-SEL1L3/tissue	Human Protein Atlas tissue-expression resource for undercharacterized SEL1L3.
AQR	AQR_spliceosome_pmid_25599396	core splicing safety	https://pubmed.ncbi.nlm.nih.gov/25599396/	Aquarius RNA helicase recruitment to spliceosomes.
CHI3L1	YKL40_autoimmune_review_pmc_9254466	crowded prior art	https://pmc.ncbi.nlm.nih.gov/articles/PMC9254466/	Comprehensive review of YKL-40/CHI3L1 in autoimmune diseases.
LTA4H	LTA4H_colitis_inhibitor_pmc_2267273	direct disease intervention prior art	https://pmc.ncbi.nlm.nih.gov/articles/PMC2267273/	Selective LTA4H inhibitor attenuated inflammatory rat colitis.
SDC4	SDC4_EAE_pmid_24516197	adjacent survivor prior art	https://pubmed.ncbi.nlm.nih.gov/24516197/	DC-HIL/syndecan-4 pathway regulates autoimmune responses through MDSCs.
