gene	wave34_score	wave34_call	failed_gates	gwas_catalog_trait_count	gwas_catalog_min_p	gwas_catalog_traits	local_positive_disease_count	local_negative_disease_count	positive_diseases	residual_retained_disease_count	ms_anchor	ms_wm_delta_log2	ms_wm_p	genetics_ready_score	ot_n_diseases_score_ge_0_5	gtex_n_relevant_tissues_with_significant_cis_eqtl	druggable_activity_count	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_best_nM	clinicaltrials_autoimmune_count	europepmc_autoimmune_hit_count	perturbation_or_model_support	foundation_rescue_recommendation	foundation_real_perturbation_alignment_call	manual_blocker_class	manual_blocker_text_wave34	proxy_call	primary_blocker
PTPN2	31.6	NO_GO_GENETIC_DRUGGABLE_PRIOR_ART_BLOCKED	gate_not_prior_art_blocked	27	8e-28	Age of onset of type 1 diabetes;Autoimmune thyroid disease;Celiac disease;Celiac disease and Rheumatoid arthritis;Celiac disease or Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease x sex interaction (2df);Graves' disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Inflammatory bowel disease (Tractor method with European ancestry);Inflammatory bowel disease x sex interaction (2df);Inflammatory skin disease;Psoriasis;Psoriasis (PheCode 696.4);Psoriasis and related disorder (PheCode 696);Psoriasis vulgaris (PheCode 696.41);Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Rheumatoid arthritis or type 1 diabetes;Systemic lupus erythematosus (MTAG);Type 1 diabetes	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	3.0	False	-0.0059418057306839	0.9843569990044077	9.0	8.0	3.0	1279.0	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	3.0	1.0	1570.0	True	triage_only_gse162463_not_promotion_grade	model_and_gse162463_screen_align_relative_to_ctsh	wrong_direction	therapeutic direction is restoration/activation; current chemical matter mainly inhibits phosphatases	COLOC_NEEDED_NOT_CLAIMABLE	no_target_resolved_coloc_or_mr
IRF5	25.6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	21	2e-143	COVID-19 hospitalization or rheumatoid arthritis (MTAG);COVID-19 hospitalization or systemic lupus erythematosus (MTAG);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);ICD10 K50, K51: inflammatory bowel disease;Inflammatory bowel disease;Multiple sclerosis;Primary biliary cholangitis;Primary biliary cirrhosis;Primary sclerosing cholangitis (MTAG);Psoriasis;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (MTAG);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Sjögren's syndrome;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Systemic lupus erythematosus and Systemic sclerosis;Systemic lupus erythematosus or rheumatoid arthritis;Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies);Ulcerative colitis	0.0	0.0		0.0	False	-0.160335979633075	0.5711412387155418	9.0	9.0	9.0	0.0					1.0	4348.0	False	do_not_promote	no_rescue			NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
CLEC16A	25.4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	16	4e-95	Atopic dermatitis;Celiac disease;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Extraintestinal manifestations in inflammatory bowel disease (primary sclerosing cholangitis);Graves' disease;Multiple sclerosis;Multiple sclerosis (MTAG);Primary biliary cholangitis;Primary biliary cirrhosis;Primary sclerosing cholangitis;Primary sclerosing cholangitis (MTAG);Psoriasis;Rheumatoid arthritis or type 1 diabetes;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Type 1 diabetes	1.0	0.0	Crohn disease	0.0	False	0.1097171053941039	0.5873801680223918	7.0	7.0	7.0	0.0					0.0	793.0	False	do_not_promote	no_rescue			NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
SH2B3	24.1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_not_prior_art_blocked	22	1e-142	Ankylosing spondylitis;Autoimmune thyroid disease;Celiac disease;Celiac disease and Rheumatoid arthritis;Celiac disease or Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Hashimoto thyroiditis;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Multiple sclerosis;Primary biliary cholangitis;Primary biliary cirrhosis;Primary sclerosing cholangitis;Primary sclerosing cholangitis (MTAG);Psoriasis;Rheumatoid arthritis;Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Systemic lupus erythematosus;Type 1 diabetes;Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event);Vitiligo	1.0	0.0	ulcerative colitis	0.0	False	-0.150958184932211	0.5634203150143879	8.25	10.0	3.0	0.0					0.0	1241.0	True	do_not_promote_from_foundation_model	model_only_no_real_perturbation_alignment	wrong_direction	LNK restoration is not a current selective drug modality	NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
TNFAIP3	24.099999999999998	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_not_prior_art_blocked	26	3e-84	Celiac disease;Celiac disease and Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Cutaneous psoriasis;Inflammatory bowel disease;Inflammatory skin disease;Multiple sclerosis;Primary biliary cholangitis;Primary sclerosing cholangitis;Psoriasis;Psoriasis (PheCode 696.4);Psoriasis and related disorder (PheCode 696);Psoriasis or type 2 diabetes (trans-disease meta-analysis);Psoriasis or type 2 diabetes (trans-disease meta-analysis)(opposite effect);Psoriasis vulgaris;Psoriasis vulgaris (PheCode 696.41);Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Sjögren's syndrome;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Systemic lupus erythematosus and Systemic sclerosis;Systemic lupus erythematosus or rheumatoid arthritis;Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	3.0	1.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	False	0.328353196360478	0.3606610619177491	8.0	7.0	0.0	0.0	CHEMBL4523200	Tumor necrosis factor alpha-induced protein 3	SINGLE PROTEIN		0.0	5022.0	True	do_not_promote_from_foundation_model	model_only_no_real_perturbation_alignment	wrong_direction	A20 restoration/editing is not a current selective drug modality	NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
CFB	23.5	NO_GO_GENETIC_DRUGGABLE_PRIOR_ART_BLOCKED	gate_not_prior_art_blocked	10	2e-165	Crohn's disease (Tractor method with European ancestry);Extraintestinal manifestations in inflammatory bowel disease (ocular manifestations);Inflammatory bowel disease;Inflammatory bowel disease (Tractor method with European ancestry);Inflammatory bowel disease x sex interaction (2df);Primary sclerosing cholangitis (MTAG);Rheumatoid arthritis or type 1 diabetes;Systemic lupus erythematosus;Type 1 diabetes and autoimmune thyroid diseases;Ulcerative colitis	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	4.0	False	-0.9822682065524936	0.2868607768107353	0.0	0.0	0.0	341.0	CHEMBL5731	Complement factor B	SINGLE PROTEIN	1.0	32.0	2567.0	True	do_not_promote_from_foundation_model	model_only_no_real_perturbation_alignment			NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
SBNO2	23.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	9	7e-25	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease (Tractor method with European ancestry);Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Inflammatory bowel disease (Tractor method with European ancestry);Systemic lupus erythematosus;Ulcerative colitis;Ulcerative colitis (Tractor method with European ancestry)	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	3.0	False	-0.3898123533746496	0.3337161519905203	0.0	0.0	0.0	0.0					0.0	200.0	False					NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
SP140	21.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	8	3e-33	Cholangiocarcinoma in primary sclerosing cholangitis (time to event);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Colorectal cancer vs inflammatory bowel disease;Crohn's disease;Inflammatory bowel disease;Multiple sclerosis;Multiple sclerosis (MTAG);Psoriasis	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	1.0	False	-0.0867628128456026	0.7262224269643743				0.0	CHEMBL3108643	Nuclear body protein SP140	SINGLE PROTEIN		0.0	338.0	False						
FADS1	19.5	PARK_GENETIC_DRUGGABLE_NEEDS_CELL_STATE	gate_local_cell_state;gate_perturbation_or_model	9	8e-16	Atopic dermatitis;Bipolar disorder or inflammatory bowel disease (MTAG);Crohn's disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Rheumatoid arthritis;Type 1 diabetes;Ulcerative colitis;Vitiligo	2.0	0.0	psoriasis;ulcerative colitis	0.0	False	-0.5582998002248747	0.0302817182679143				61.0	CHEMBL5840	Acyl-CoA (8-3)-desaturase	SINGLE PROTEIN	0.52	0.0	840.0	False						
CCDC88B	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	15	2e-13	Crohn's disease;Crohn's disease or Leprosy (opposite effect);Inflammatory bowel disease;Lymphocytic thyroiditis;Multiple sclerosis;Primary biliary cholangitis;Primary biliary cirrhosis;Primary sclerosing cholangitis;Primary sclerosing cholangitis (MTAG);Psoriasis;Psoriasis or type 2 diabetes (trans-disease meta-analysis);Psoriasis vulgaris;Rheumatoid arthritis;Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Type 1 diabetes	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	0.0	False	-0.4485293766780085	0.0137066414280347				0.0					0.0	128.0	False						
