dataset	contrast	contrast_type	case_group	control_group	module	delta_case_minus_control	hedges_g	p	n_case	n_control	statistical_status	note	fdr
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	fibrosis_profibrotic	-0.005439520924949051			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	generic_ifn	0.5834826374536392			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	lipid_lysosomal_apc	-0.32626898154185574			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	resolution_efferocytosis	-0.7751610160436148			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	stress_cytotoxicity	-0.07748389550627804			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	fibrosis_profibrotic	-0.6040499349915408			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	generic_ifn	-0.6817353665670004			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	lipid_lysosomal_apc	-0.23631368541153863			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	resolution_efferocytosis	-0.7004809303458266			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	stress_cytotoxicity	-0.5055071104405635			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	fibrosis_profibrotic	-1.280366720528485			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	generic_ifn	-1.4165342200682045			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	lipid_lysosomal_apc	-0.3561799472283261			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	resolution_efferocytosis	-0.7985489669474586			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	stress_cytotoxicity	-0.47972071037381303			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	fibrosis_profibrotic	-1.6923658440364884			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	generic_ifn	0.04763688057149551			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	lipid_lysosomal_apc	0.6735061556821131			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition	
