gene	target_chembl_id	target_name	target_type	organism	target_status	target_mode	activity_status	activity_mode	activity_rows_bounded	best_nM_bounded
IL7R					200	live			0	
SP140	CHEMBL3108643	Nuclear body protein SP140	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	0	
CD40	CHEMBL1250358	Tumor necrosis factor receptor superfamily member 5	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	3	50.0
STAT4	CHEMBL4523296	Signal transducer and activator of transcription 4	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	5	10.0
BACH2	CHEMBL5069364	Transcription regulator protein BACH2	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	0	
INAVA					200	live			0	
PRDM1	CHEMBL5214860	PR domain zinc finger protein 1	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	0	
PUS10					200	live			0	
SPRED2					200	live			0	
TAGAP					200	live			0	
IL12B	CHEMBL3580484	Interleukin-12 subunit beta	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	0	
ANKRD55					200	live			0	
BANK1					200	live			0	
CCL20					200	live			0	
CDKAL1	CHEMBL6196100	Threonylcarbamoyladenosine tRNA methylthiotransferase	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	0	
ELMO1	CHEMBL5725199	Engulfment and cell motility protein 1	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	1	10000.0
IRF4	CHEMBL6196090	Interferon regulatory factor 4	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	51	1280.0
JAZF1	CHEMBL2189118	Polycomb protein SUZ12	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	0	
TNFSF15					200	live			0	
IL12A	CHEMBL2364153	Interleukin-12	PROTEIN COMPLEX	Homo sapiens	200	live	200.0	live	0	
CARMIL1					200	live			0	
DENND1B					200	live			0	
GALC	CHEMBL3713095	Galactocerebrosidase	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	100	79.4
HHEX					200	live			0	
IFIH1	CHEMBL4739862	Interferon-induced helicase C domain-containing protein 1	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	0	
PARK7	CHEMBL5169188	Parkinson disease protein 7	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	36	19.0
PRKCB	CHEMBL3045	Protein kinase C beta type	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	100	1.31
RGS1					200	live			0	
RUNX3					200	live			0	
SKAP2					200	live			0	
