source	analysis	dataset	disease_name	compartment	axis_family	module	metric	compartment_plausible	n_case	n_control	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
GSE111972	GSE111972_all	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	all microglia	C1Q_COMPLEMENT	c1q_core	mean_score	True	15	16	-0.38760691980280904	0.3633814873151349	-0.750988407117944	-0.8012448123309192	-2.280315433958474	0.03038253692808875	0.14178517233108084
GSE111972	GSE111972_all	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	all microglia	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	True	15	16	-0.12617572961020385	0.1182897465095655	-0.24446547611976935	-0.42517251457327104	-1.190758944530373	0.24744587645009047	0.5463268283726327
GSE111972	GSE111972_all	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	all microglia	OSM_OSMR	osm_ligand_inflammatory	mean_score	True	15	16	-0.017308921252238547	0.016227113673973836	-0.033536034926212384	-0.04563516792781339	-0.13007011923595668	0.8974258667080424	0.9518153131751965
GSE111972	GSE111972_all	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	all microglia	OSM_OSMR	osm_osmr_core	mean_score	True	15	16	-0.0069982467603281195	0.006560856337809735	-0.013559103098137855	-0.02581997182349826	-0.07362623868745931	0.9418209997776897	0.9695216174182101
GSE111972	GSE111972_all	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	all microglia	OSM_OSMR	osmr_receptor_response	mean_score	False	15	16	0.023608511731991005	-0.022132979748739998	0.045741491480731006	0.07506917677689184	0.21249065709791368	0.8333836745857562	0.9332781338248799
GSE111972	GSE111972_grey_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	grey matter microglia	C1Q_COMPLEMENT	c1q_core	mean_score	True	5	5	0.2857757098448457	0.8498238176358829	-0.5640481077910372	-0.5944485182063504	-1.0406098097601477	0.3301275328919305	0.6334416057282953
GSE111972	GSE111972_grey_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	grey matter microglia	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	True	5	5	-0.05335605720758254	0.14511569776670116	-0.1984717549742837	-0.5938617343015327	-1.0395826172130034	0.33542539030999363	0.6334416057282953
GSE111972	GSE111972_grey_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	grey matter microglia	OSM_OSMR	osm_ligand_inflammatory	mean_score	True	5	5	-0.6809854374148497	-0.7711547490416122	0.09016931162676245	0.1255172105274276	0.21972372134542148	0.8335944601258123	0.9332781338248799
GSE111972	GSE111972_grey_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	grey matter microglia	OSM_OSMR	osm_osmr_core	mean_score	True	5	5	-0.41887030494961686	-0.567777234855393	0.14890692990577614	0.36245543517303946	0.6344951158764937	0.5458861065859265	0.7705963490887286
GSE111972	GSE111972_grey_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	grey matter microglia	OSM_OSMR	osmr_receptor_response	mean_score	False	5	5	-0.6708388181120875	-0.716366616837243	0.045527798725155555	0.0909197473534246	0.15915925113643786	0.8798892497645449	0.9475730382079713
GSE111972	GSE111972_white_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	white matter microglia	C1Q_COMPLEMENT	c1q_core	mean_score	True	10	11	-0.7242982346266365	0.14227133716934046	-0.8665695717959769	-0.9993470993798387	-2.361208248692142	0.029944003403524922	0.14178517233108084
GSE111972	GSE111972_white_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	white matter microglia	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	True	10	11	-0.16258556581151454	0.10609613230177656	-0.2686816981132911	-0.3897896076916475	-0.9010147912072733	0.3842422391380201	0.6508975924356487
GSE111972	GSE111972_white_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	white matter microglia	OSM_OSMR	osm_ligand_inflammatory	mean_score	True	10	11	0.31452933682906703	0.37412796036287654	-0.059598623533809514	-0.13010921798305267	-0.3107141590820912	0.759415648410246	0.9085085325143891
GSE111972	GSE111972_white_matter	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	multiple sclerosis	white matter microglia	OSM_OSMR	osm_osmr_core	mean_score	True	10	11	0.19893778233431622	0.26762362506199283	-0.06868584272767661	-0.17137649645304925	-0.40122422610160485	0.6936512291955164	0.9034762746509679
