study_id	feature_id	analysis_id	analysis_summary	metabolite_name	refmet_name	feature_label	units	metabolite_class
ST002732	ME705573	AN004429	HILIC POSITIVE ION MODE	Cer(18:0;O2/18:0)	Cer 18:0;O2/18:0	Cer 18:0;O2/18:0	relative difference	ceramide
ST002732	ME705574	AN004429	HILIC POSITIVE ION MODE	Cer(18:0;O2/20:0)	Cer 18:0;O2/20:0	Cer 18:0;O2/20:0	relative difference	ceramide
ST002732	ME705575	AN004429	HILIC POSITIVE ION MODE	Cer(18:0;O2/23:0)	Cer 18:0;O2/23:0	Cer 18:0;O2/23:0	relative difference	ceramide
ST002732	ME705576	AN004429	HILIC POSITIVE ION MODE	Cer(18:0;O2/24:0)	Cer 18:0;O2/24:0	Cer 18:0;O2/24:0	relative difference	ceramide
ST002732	ME705577	AN004429	HILIC POSITIVE ION MODE	Cer(18:0;O2/24:1)	Cer 18:0;O2/24:1	Cer 18:0;O2/24:1	relative difference	ceramide
ST002732	ME705578	AN004429	HILIC POSITIVE ION MODE	Cer(18:0;O2/26:0)	Cer 18:0;O2/26:0	Cer 18:0;O2/26:0	relative difference	ceramide
ST002732	ME705579	AN004429	HILIC POSITIVE ION MODE	Cer(18:0;O2/26:1)	Cer 18:0;O2/26:1	Cer 18:0;O2/26:1	relative difference	ceramide
ST002732	ME705580	AN004429	HILIC POSITIVE ION MODE	Cer(18:0;O2/26:2)	Cer 18:0;O2/26:2	Cer 18:0;O2/26:2	relative difference	ceramide
ST002732	ME705581	AN004429	HILIC POSITIVE ION MODE	Cer(18:1;O2/14:0)	Cer 18:1;O2/14:0	Cer 18:1;O2/14:0	relative difference	ceramide
ST002732	ME705582	AN004429	HILIC POSITIVE ION MODE	Cer(18:1;O2/15:0)	Cer 18:1;O2/15:0	Cer 18:1;O2/15:0	relative difference	ceramide
ST002732	ME705583	AN004429	HILIC POSITIVE ION MODE	Cer(18:1;O2/16:0)	Cer 18:1;O2/16:0	Cer 18:1;O2/16:0	relative difference	ceramide
ST002732	ME705584	AN004429	HILIC POSITIVE ION MODE	Cer(18:1;O2/18:0)	Cer 18:1;O2/18:0	Cer 18:1;O2/18:0	relative difference	ceramide
