module	n_genes_defined	n_genes_present	genes_present	genes_missing
ifn_apc	8	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	
hla_ii_apc	7	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5	
lysosomal_apc	14	14	LAMP1,LAMP2,CTSB,CTSD,CTSS,LIPA,IFI30,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74,PSAP,NPC2	
mif_cd74_receptor_state	7	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1	
mixscale_validated_ifng_readout	8	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5	
lipid_loader_repair	14	14	APOE,APOC1,TREM2,GPNMB,LPL,SPP1,LGALS3,FABP5,CD9,AXL,MERTK,LIPA,LAMP1,CTSD	
complement_phagocytosis	12	12	C1QA,C1QB,C1QC,C3,TYROBP,FCGR3A,FCGR2A,ITGAM,ITGB2,AIF1,VSIG4,MRC1	
hif_nampt_metabolic	8	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	
inflammatory_nfkb	9	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	
tnf_autocrine_nfkb	12	12	TNF,TNFAIP3,NFKBIA,NFKBIZ,RELB,IL1B,IL6,CCL2,CCL3,CCL4,CXCL8,PTGS2	
host_defense_cost	8	8	IL1B,TNF,IL6,CXCL8,NOS2,PTGS2,TLR2,TLR4	
