candidate_node	connected_anchor_count	connected_anchors	connection_roles	connection_weight_sum	connection_weight_max	source_database_count	top_source_databases	best_enrichr_tf_library	best_enrichr_tf_term	best_enrichr_tf_adjusted_p	best_enrichr_tf_overlap	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_activity_rows	chembl_scanned_activity_rows	chembl_best_nM	chembl_mechanism_rows	chembl_mechanism_molecules	chembl_target_status	chembl_activity_status	chembl_mechanism_status	chembl_target_mode	chembl_activity_mode	chembl_mechanism_mode	clinicaltrials_hits	europepmc_prior_hits	wave62_score	wave62_call	wave62_manual_blocker	wave62_prior_context_blocker	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	wave62_ms_max_relevant_qtl_h4	efferocytosis_screen_call	efferocytosis_median_lfc	efferocytosis_fdr	wave57_call	wave57_model_priority_score	wave61_call	wave61_manual_blocker	has_chembl_activity	has_chembl_mechanism	has_tf_enrichment_hint	manual_blocker	any_blocker	controller_score	wave69_call	wave69_call_priority
PRKDC	2	NCF1;RGS14	incoming_to_anchor	12.125557753384756	6.9880380431873	2	KEA;NetworKIN_KEA					CHEMBL3142	DNA-dependent protein kinase catalytic subunit	SINGLE PROTEIN	Homo sapiens	3093.0	100.0	20.0	1.0	CHEMBL3586573:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	676.0	0.0				0.0	0.0	0.0	UNRESOLVED	-0.0550328695489363	1.0		0.0			True	True	False		False	18.028834961021648	PARK_DRUGGABLE_CONTROLLER_SCOUT_NEEDS_DIRECT_VALIDATION	0
BLK	2	FCGR2A;FCGR2B	incoming_to_anchor	9.507205782755307	5.448518847279617	19	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper					CHEMBL2250	Tyrosine-protein kinase Blk	SINGLE PROTEIN	Homo sapiens	1174.0	99.0	0.21	0.0		200.0	200.0	200.0	cache	cache	cache	5.0	0.0	2.3716888771675437	NO_GO_WAVE62_TARGET_RESOLUTION			2.0	2.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3763039238517932	0.9971256078463696		0.0			True	False	False		False	16.118130157563485	PARK_DRUGGABLE_CONTROLLER_SCOUT_NEEDS_DIRECT_VALIDATION	0
JAK1	2	CD274;IL7R	incoming_to_anchor;manual_seed_controller;outgoing_from_anchor	33.90820588034238	7.303112295349752	14	HPRD;InnateDB;NetPath;PhosphoPoint;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SPIKE;SPIKE_LC;Sparser_ProtMapper					CHEMBL2835	Tyrosine-protein kinase JAK1	SINGLE PROTEIN	Homo sapiens	19812.0	100.0	1.7	17.0	CHEMBL1795071:INHIBITOR;CHEMBL4116008:INHIBITOR;CHEMBL3545249:INHIBITOR;CHEMBL3655081:INHIBITOR;CHEMBL2106468:INHIBITOR;CHEMBL3301607:INHIBITOR;CHEMBL3301606:INHIBITOR;CHEMBL3622820:INHIBITOR;CHEMBL3545225:INHIBITOR;CHEMBL1078178:INHIBITOR;CHEMBL2105759:INHIBITOR;CHEMBL4297477:INHIBITOR;CHEMBL4577523:INHIBITOR;CHEMBL4298167:INHIBITOR;CHEMBL5315119:INHIBITOR;CHEMBL4594382:INHIBITOR;CHEMBL6068336:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	8081.0	2.30292946100235	NO_GO_WAVE62_TARGET_RESOLUTION			1.0	0.0	0.0	UNRESOLVED	0.0294760225567655	1.0		0.0	NO_GO_WAVE61_GUARDRAIL	generic_JAK_collapse	True	True	False	generic_JAK_STAT_axis_prior_art_host_defense	True	27.13404466328152	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
JAK2	2	CD274;STAT4	incoming_to_anchor;manual_seed_controller	22.939415375567624	8.46999043921053	10	KEGG-MEDICUS;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SignaLink3;Sparser_ProtMapper;Wang;iPTMnet;manual_seed_from_immediate_known_biology					CHEMBL2971	Tyrosine-protein kinase JAK2	SINGLE PROTEIN	Homo sapiens	24544.0	100.0	0.2	25.0	CHEMBL1795071:INHIBITOR;CHEMBL3545241:INHIBITOR;CHEMBL2035185:INHIBITOR;CHEMBL5095023:INHIBITOR;CHEMBL1944698:INHIBITOR;CHEMBL3545328:INHIBITOR;CHEMBL495727:INHIBITOR;CHEMBL1231124:INHIBITOR;CHEMBL3545215:INHIBITOR;CHEMBL2107823:INHIBITOR;CHEMBL4303389:INHIBITOR;CHEMBL603469:INHIBITOR;CHEMBL1078178:INHIBITOR;CHEMBL2105759:INHIBITOR;CHEMBL1287853:INHIBITOR;CHEMBL2035187:INHIBITOR;CHEMBL4297216:INHIBITOR;CHEMBL5095049:INHIBITOR;CHEMBL5095049:INHIBITOR;CHEMBL3301607:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	10122.0	2.344184671673439	NO_GO_WAVE62_TARGET_RESOLUTION			2.0	2.0	0.0	UNRESOLVED	-0.3296702475797999	0.920009505703422		0.0	NO_GO_WAVE61_GUARDRAIL	generic_JAK_collapse	True	True	False	generic_JAK_STAT_axis_prior_art_host_defense	True	25.049012441163672	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
JAK3	1	IL7R	incoming_to_anchor;manual_seed_controller;outgoing_from_anchor	21.909336886049257	7.303112295349752	10	HPRD;InnateDB;NetPath;PhosphoPoint;ProtMapper;SPIKE;SPIKE_LC;Sparser_ProtMapper;Wang;manual_seed_from_immediate_known_biology									0.0			0.0								0.0	0.0	0.0				0.0	0.0	0.0	UNRESOLVED	-0.0664720072714192	0.9971256078463696		0.0			False	False	False	generic_JAK_STAT_axis_prior_art_host_defense	True	20.409336886049257	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
FYN	3	FCGR2A;FCGR2B;LPP	incoming_to_anchor	16.529308597920572	7.0221028151652645	25	DOMINO;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA					CHEMBL1841	Tyrosine-protein kinase Fyn	SINGLE PROTEIN	Homo sapiens	3572.0	99.0	1.0	1.0	CHEMBL3109738:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	1978.0	0.0				0.0	0.0	0.0	UNRESOLVED	0.4186300452819976	0.9971256078463696		0.0			True	True	False	broad_SRC_family_kinase_prior_art_selectivity_safety	True	20.316121524177152	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
SRC	3	FCGR2A;FCGR2B;LPP	incoming_to_anchor	16.529308597920572	7.0221028151652645	10	DOMINO;KEGG-MEDICUS;Li2012;PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;Reactome_ProtMapper;SPIKE_LC;dbPTM					CHEMBL267	Proto-oncogene tyrosine-protein kinase Src	SINGLE PROTEIN	Homo sapiens	8363.0	98.0	1.3	8.0	CHEMBL288441:INHIBITOR;CHEMBL24828:INHIBITOR;CHEMBL5314408:INHIBITOR;CHEMBL3109738:INHIBITOR;CHEMBL3545196:INHIBITOR;CHEMBL426161:INHIBITOR;CHEMBL571546:INHIBITOR;CHEMBL217092:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	12029.0	0.0				0.0	0.0	0.0	UNRESOLVED	-0.0320921288834976	1.0		0.0	NO_GO_WAVE61_GUARDRAIL		True	True	False	broad_SRC_family_kinase_prior_art_selectivity_safety	True	20.12016656589379	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
PDCD1	2	CD274;FCGR2A	manual_seed_controller;outgoing_from_anchor	17.44738784157274	5.999434497146563	23	BioGRID;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;Guide2Pharma;HINT;HPRD;ICELLNET;InnateDB					CHEMBL3307223	Programmed cell death protein 1	SINGLE PROTEIN	Homo sapiens	9.0	9.0	3.1	26.0	CHEMBL3137343:INHIBITOR;CHEMBL2108738:INHIBITOR;CHEMBL2108680:INHIBITOR;CHEMBL4297723:INHIBITOR;CHEMBL4298124:ANTAGONIST;CHEMBL4297715:ANTAGONIST;CHEMBL4594550:ANTAGONIST;CHEMBL4298037:ANTAGONIST;CHEMBL4297831:ANTAGONIST;CHEMBL4298191:ANTAGONIST;CHEMBL4297829:ANTAGONIST;CHEMBL4297877:ANTAGONIST;CHEMBL4594456:INHIBITOR;CHEMBL4297843:ANTAGONIST;CHEMBL4594355:INHIBITOR;CHEMBL4298001:INHIBITOR;CHEMBL4297571:INHIBITOR;CHEMBL4297840:INHIBITOR;CHEMBL4297856:INHIBITOR;CHEMBL4650472:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	11157.0	0.4833135527514787	NO_GO_WAVE62_TARGET_RESOLUTION	checkpoint_axis_safety_prior_art		0.0	8.0	0.9587479572161116	UNRESOLVED	-0.92680645214109	0.920009505703422		0.0			False	True	False	PD_1_checkpoint_prior_art_and_autoimmune_safety_direction_risk	True	17.54641562711233	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
GSK3B	3	ARHGAP31;CD274;NCF1	incoming_to_anchor	16.951753511769745	5.999434497146563	9	KEA;NetworKIN_KEA;PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper					CHEMBL6067425	GSK3B-interacting protein	SINGLE PROTEIN	Homo sapiens	4.0	4.0	24.35	0.0		200.0	200.0	200.0	cache	cache	cache	5.0	825.0	0.0				0.0	0.0	0.0	UNRESOLVED	-0.2857529702888866	0.920009505703422		0.0	NO_GO_WAVE61_GUARDRAIL	pleiotropic_neuroimmune_metabolic	False	False	False	GSK3_family_pleiotropic_neuroimmune_metabolic	True	17.333432874747828	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
SYK	2	FCGR2A;FCGR2B	incoming_to_anchor;manual_seed_controller	14.955724630034924	5.448518847279617	27	BioGRID;CellTalkDB;HINT;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;LRdb;Li2012;MIMP					CHEMBL2599	Tyrosine-protein kinase SYK	SINGLE PROTEIN	Homo sapiens	8906.0	99.0	5.0	14.0	CHEMBL4116008:INHIBITOR;CHEMBL5095034:INHIBITOR;CHEMBL3545138:INHIBITOR;CHEMBL5314384:INHIBITOR;CHEMBL4594253:INHIBITOR;CHEMBL3265032:INHIBITOR;CHEMBL515271:INHIBITOR;CHEMBL3545159:INHIBITOR;CHEMBL2170582:INHIBITOR;CHEMBL475251:INHIBITOR;CHEMBL2103830:INHIBITOR;CHEMBL3989516:INHIBITOR;CHEMBL4594275:INHIBITOR;CHEMBL3986824:INHIBITOR	200.0	200.0	200.0	cache	cache	cache	5.0	4655.0	0.5538840889930725	NO_GO_WAVE62_TARGET_RESOLUTION			0.0	0.0	0.0	UNRESOLVED	-0.7477322783490581	0.9971256078463696		0.0			True	True	False	SYK_prior_art_broad_immunosuppression	True	17.149645761932643	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2
