gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	supporting_contexts	strong_supporting_contexts	geneformer_remission_priority_score
FCGR2A	6	3	2	1	GSE282122_Mono_macro_post_nonremission_to_remission	12	1.0568239060008964	0.03413613583672688	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_Mono_macro_post_nonremission_to_remission	9.75
JAK1	6	3	1	1	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.719032330134307	0.029622853392760995	GSE282122_DC_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_CD_only	7.75
IL7R	6	2	1	1	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.3475858023767018	0.06214263699690087	GSE282122_DC_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_UC_only	7.5
CD80	6	2	1	1	GSE282122_DC_post_nonremission_to_remission_UC_only	3	0.5011429582620628	0.007050273378586603	GSE282122_DC_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_UC_only	7.5
NCF1	6	4	3	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	0.46179303554560275	0.04651311957924109	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		7.0
SRC	6	6	1	0	GSE282122_DC_post_nonremission_to_remission	8	0.0996221609779181	0.005747269861684699	GSE282122_DC_post_nonremission_to_remission		3.5
SYK	6	3	1	0	GSE282122_DC_post_nonremission_to_remission	3	0.41724187796489204	0.015360495098219771	GSE282122_DC_post_nonremission_to_remission		2.75
CD274	6	2	1	0	GSE282122_DC_post_nonremission_to_remission_CD_only	4	0.2644216920959175	0.02692569478790069	GSE282122_DC_post_nonremission_to_remission_CD_only		2.5
JAK2	6	1	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	0.22657970232034785	0.015127694604193997	GSE282122_DC_post_nonremission_to_remission_UC_only		2.25
FCGR2B	6	4	0	0	GSE282122_DC_post_nonremission_to_remission	5	0.8278829329338027	-0.022843998834206205			1.0
PRKDC	6	1	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	1	1.1463393728851727	0.0002941383365800392			0.25
STAT4	6	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.4903460250566796	-0.01721704727258637			0.25
TNFSF15	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	1	0.8324543870079212	0.018887724594161326			0.0
FYN	6	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	1	0.5592898615323384	0.009438001920676065			0.0
GSK3B	6	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	1	0.46163144028690367	-0.014064968438793181			0.0
MAPK14	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	2	0.29177355995394877	0.013250453264400776			0.0
SP140	6	0	0	0	GSE282122_DC_post_nonremission_to_remission	1	-0.3570072808525479	-0.024080578215135675			0.0
RGS14	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	-0.45124061156377776	0.017450251390821195			0.0
BLK	6	0	0	0	GSE282122_DC_post_nonremission_to_remission	0					0.0
