dataset	gene	endpoint	comparison	n	effect	p	model_status	supportive_suppression_response	fdr
GSE198520_RA_synovium_antiTNF	CD58	baseline_pre	good_vs_moderate_none	42	0.9258450417918873	0.002055187131713975	ok	False	0.02055187131713975
GSE198520_RA_synovium_antiTNF	SEL1L3	baseline_pre	good_vs_moderate_none	42	-0.856787450701207	0.0058121069267746735	ok	False	0.029060534633873366
GSE198520_RA_synovium_antiTNF	P4HB	baseline_pre	good_vs_moderate_none	42	0.6155133533322068	0.03455891507554197	ok	False	0.11519638358513991
GSE198520_RA_synovium_antiTNF	P4HB	delta_post_minus_pre	good_vs_moderate_none	42	0.5379168892041414	0.0911746969984501	ok	False	0.19733519579571904
GSE198520_RA_synovium_antiTNF	SPNS1	delta_post_minus_pre	good_vs_moderate_none	42	0.4524510069297757	0.09866759789785952	ok	False	0.19733519579571904
GSE198520_RA_synovium_antiTNF	CD58	delta_post_minus_pre	good_vs_moderate_none	42	0.5142243318799437	0.12494585639828079	ok	False	0.20824309399713467
GSE198520_RA_synovium_antiTNF	SPNS1	baseline_pre	good_vs_moderate_none	42	-0.4528329117234186	0.16691060684461032	ok	False	0.23844372406372905
GSE198520_RA_synovium_antiTNF	SEL1L3	delta_post_minus_pre	good_vs_moderate_none	42	-0.3947662991826433	0.1974004371155499	ok	False	0.24675054639443736
GSE198520_RA_synovium_antiTNF	IFI30	baseline_pre	good_vs_moderate_none	42	-0.3281216921284942	0.3712991578342557	ok	False	0.4125546198158397
GSE198520_RA_synovium_antiTNF	IFI30	delta_post_minus_pre	good_vs_moderate_none	42	0.049009228348321866	0.8800710067677235	ok	False	0.8800710067677235
