gene	wave81_call	score	direct_perturbation	direct_table_presence	direct_perturbation_detail	foundation_model_support	foundation_table_presence	foundation_model_detail	ms_anchor	genetics_or_target_resolution	broad_positive_disease_count	broad_positive_diseases	ibd_response_nominal	ibd_response_fdr10	modality_channel	prior_not_blocked	blocker	sources	wave62_call	ms_delta_log2	ms_p	wave71_call	decision_reason
DAB2	PARK_PERTURBATION_FIRST_CANDIDATE	9	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		1	0	0		1	0	0	1		wave37_efferocytosis_crispr		0.5378984279794476	0.0111306912319104	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
CD9	PARK_PERTURBATION_FIRST_CANDIDATE	8	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		1	0	0		0	0	0	1		wave37_efferocytosis_crispr		1.1100295973517351	0.0019686305906988	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PARK7	PARK_PERTURBATION_FIRST_CANDIDATE	8	0	1		1	1	wave57:support=2,strong=0,token_contexts=3	0	1	2	psoriasis;ulcerative colitis	1	0	1	1		wave57_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.1710418567143854	0.4469378955677691	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PSAP	PARK_PERTURBATION_FIRST_CANDIDATE	7	0	1		1	1	wave57:support=1,strong=0,token_contexts=6	1	0	0		0	0	0	1		wave57_geneformer		0.4733416802617221	0.0222704205658317		perturbation/model support exists but critical MS/genetics/modality/direction gates fail
AXIN1	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		1	0	0	1		wave37_efferocytosis_crispr		-0.1472896811219346	0.4522029876896532	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
BEAN1	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		1	0	0	1		wave37_efferocytosis_crispr		1.895895312215054	0.0520248248522866	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
BLK	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	1		0	0	1	Sjogren syndrome	0	0	1	1		wave69d_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION			NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
CCDC121	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	2	psoriasis;type 1 diabetes mellitus	1	0	0	1		wave37_efferocytosis_crispr		0.4429917115479078	0.2380875945504296	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
CHST11	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	2	Crohn disease;Sjogren syndrome	1	0	0	1		wave37_efferocytosis_crispr	NO_GO_WAVE62_TARGET_RESOLUTION	-0.2506943649676447	0.1533386150844086	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
CLEC7A	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	3	Crohn disease;psoriasis;ulcerative colitis	0	0	0	1		wave37_efferocytosis_crispr	NO_GO_WAVE62_TARGET_RESOLUTION	-0.3549463925802421	0.128706751389563	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
