gene	n_patients	n_responders	n_nonresponders	effect_responder_minus_non	hedges_g_responder_minus_non	auc_high_expression_nonresponse	p	nonresponse_high_direction	system	cohort	series	primary_independent_context	disease_scope	tissue_scope	fdr_all	fdr_within_cohort
C15ORF48	22	12	10	0.3327072761365442	0.3165205319504858	0.43333333333333335	0.4703093676038864	False	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.5685471132988098	0.4703093676038865
CD200	22	12	10	-0.4012846683093011	-0.379624586009065	0.5916666666666667	0.3839506171643027	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.5612208437992425	0.4703093676038865
CD300A	22	12	10	-1.3346023089133734	-1.6716544290018809	0.9083333333333333	0.0007478364952676087	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.010469710933746523	0.0044870189716056524
CD300C	22	12	10	-1.136944870885158	-1.2807362074521993	0.8333333333333334	0.004341903814918181	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.03647199204531272	0.013025711444754543
CD300LB	22	12	10	-0.38841544495624203	-0.3724927831652613	0.6	0.37215940585733576	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.5612208437992425	0.4703093676038865
CD300LF	22	12	10	-0.4557737796818996	-0.4507275418647353	0.6166666666666667	0.2835851948602155	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.4962740910053771	0.4703093676038865
CD300LG	22	12	10	-0.3423245047042055	-0.3281477180722257	0.6166666666666667	0.43796831282681675	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.565989819653117	0.4703093676038865
CHI3L1	22	12	10	-1.3138861530087782	-1.740158358305704	0.9333333333333333	0.00046982060292948913	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.009866232661519272	0.0044870189716056524
NRCAM	22	12	10	-1.2395097221788456	-1.5678209293545526	0.8333333333333334	0.0036724740048767407	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.03647199204531272	0.013025711444754543
PLEK2	22	12	10	0.4130629167625476	0.39908930584159	0.3666666666666667	0.37930680395586786	False	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.5612208437992425	0.4703093676038865
ROMO1	22	12	10	0.36487435269191315	0.3410150315619423	0.33333333333333337	0.4246490770401727	False	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.5612208437992425	0.4703093676038865
SEL1L3	22	12	10	-0.3373624436230772	-0.36237731765646536	0.6583333333333333	0.38051789972040273	True	IBD_external_antitnf	GSE12251_UC_ACT1_baseline	GSE12251	True	UC	colon	0.5612208437992425	0.4703093676038865
C15ORF48	24	8	16	0.7147429510188698	0.7188466496444537	0.3515625	0.03458219657839717	False	IBD_external_antitnf	GSE14580_UC_Leuven_baseline	GSE14580	True	UC	colon	0.0968301504195121	0.08299727178815322
CD200	24	8	16	-1.0345305666573887	-1.1266585619119396	0.8125	0.021932917374443747	True	IBD_external_antitnf	GSE14580_UC_Leuven_baseline	GSE14580	True	UC	colon	0.06823574294271388	0.06579875212333124
CD300A	24	8	16	0.11192407850887658	0.1058431296689564	0.4375	0.7862558828060221	False	IBD_external_antitnf	GSE14580_UC_Leuven_baseline	GSE14580	True	UC	colon	0.8054328555573884	0.7862558828060221
CD300C	24	8	16	-0.34861842346851823	-0.3339375967925349	0.5859375	0.488493727512923	True	IBD_external_antitnf	GSE14580_UC_Leuven_baseline	GSE14580	True	UC	colon	0.5685471132988098	0.532902248195916
