system	gene	n_contexts	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_10	weighted_mean_hedges_g_responder_minus_non	median_auc_high_expression_nonresponse	min_p
IBD_external_antitnf	C15ORF48	4	0	4	0	0.5474184376035727	0.36328125	0.03458219657839717
RA_GSE198520_baseline_synovium	C15ORF48	1	0	1	0	0.28863436475741105	0.4040178571428571	0.2797859039764499
psoriasis_GSE85034_baseline_skin	C15ORF48	1	1	0	0	-0.373994754288628	0.5777777777777777	0.5465373442685846
IBD_external_antitnf	CD200	4	4	0	2	-0.736350957913828	0.7125	0.019935440402175854
RA_GSE198520_baseline_synovium	CD200	1	1	0	1	-0.8153369254037557	0.7232142857142857	0.010016993110532032
psoriasis_GSE85034_baseline_skin	CD200	1	0	1	0	0.8109673931189776	0.28888888888888886	0.16465647604058564
IBD_external_antitnf	CD300A	4	3	1	1	-0.6165814695662036	0.6285714285714286	0.0007478364952676087
RA_GSE198520_baseline_synovium	CD300A	1	0	1	0	0.011617098260960367	0.4553571428571429	0.9663004657767423
psoriasis_GSE85034_baseline_skin	CD300A	1	1	0	0	-0.6577175865359111	0.7111111111111111	0.14096476109621126
IBD_external_antitnf	CD300C	4	4	0	2	-0.8159620367392231	0.7394345238095239	0.004341903814918181
RA_GSE198520_baseline_synovium	CD300C	1	1	0	0	-0.13843197142545421	0.515625	0.6332440482835947
psoriasis_GSE85034_baseline_skin	CD300C	1	0	1	0	0.06519203611631028	0.5555555555555556	0.881543673227965
RA_GSE198520_baseline_synovium	CD300E	1	1	0	0	-0.3533839954961491	0.6383928571428572	0.2745391923961562
psoriasis_GSE85034_baseline_skin	CD300E	1	0	1	0	0.7995588908397493	0.33333333333333337	0.08773546995654717
IBD_external_antitnf	CD300LB	4	1	3	0	0.40452217408781715	0.3828125	0.014230252725969837
RA_GSE198520_baseline_synovium	CD300LB	1	1	0	0	-0.24867668440743282	0.5647321428571428	0.45521046768824563
psoriasis_GSE85034_baseline_skin	CD300LB	1	0	1	0	0.20062449546387093	0.37777777777777777	0.7262372488966119
IBD_external_antitnf	CD300LF	4	4	0	2	-0.737904012941447	0.6595238095238095	0.017115854637871738
RA_GSE198520_baseline_synovium	CD300LF	1	1	0	0	-0.10197387948259543	0.5267857142857143	0.713425939446693
psoriasis_GSE85034_baseline_skin	CD300LF	1	0	1	0	0.18103538971164368	0.48888888888888893	0.689294641823888
IBD_external_antitnf	CD300LG	4	2	2	0	0.008544257209665502	0.5208333333333334	0.2525784630931751
RA_GSE198520_baseline_synovium	CD300LG	1	1	0	1	-0.6077967181949765	0.6852678571428572	0.04351591871608469
psoriasis_GSE85034_baseline_skin	CD300LG	1	1	0	0	-0.5617175624485536	0.7111111111111111	0.23544133397772515
IBD_external_antitnf	CHI3L1	4	4	0	4	-1.6110871488112497	0.8885416666666667	2.136664467046997e-06
RA_GSE198520_baseline_synovium	CHI3L1	1	0	1	0	0.82430845075918	0.2834821428571429	0.0032625892767870887
psoriasis_GSE85034_baseline_skin	CHI3L1	1	1	0	0	-0.5895174779444039	0.7333333333333334	0.20539616270284408
IBD_external_antitnf	NRCAM	4	4	0	3	-1.2295481641288684	0.8190104166666667	0.0036724740048767407
RA_GSE198520_baseline_synovium	NRCAM	1	1	0	1	-0.7143234664490771	0.7321428571428572	0.009550747276709551
psoriasis_GSE85034_baseline_skin	NRCAM	1	1	0	0	-0.8404582547666236	0.7333333333333334	0.13297213093610644
IBD_external_antitnf	PLEK2	4	2	2	0	-0.0658437241899376	0.5264880952380953	0.19507083612288154
RA_GSE198520_baseline_synovium	PLEK2	1	1	0	0	-0.32310269537865477	0.59375	0.3058335158286277
psoriasis_GSE85034_baseline_skin	PLEK2	1	0	1	0	0.14281683748291113	0.48888888888888893	0.8047176674342259
IBD_external_antitnf	ROMO1	4	1	3	0	0.16120935334467193	0.44717261904761907	0.4246490770401727
RA_GSE198520_baseline_synovium	ROMO1	1	0	1	0	1.1494128427412433	0.2098214285714286	0.0015598660549158885
psoriasis_GSE85034_baseline_skin	ROMO1	1	0	1	0	0.505325566488388	0.3555555555555555	0.4202754301624001
IBD_external_antitnf	SEL1L3	4	3	1	0	-0.28821154925659903	0.6208333333333333	0.1280022456294191
RA_GSE198520_baseline_synovium	SEL1L3	1	1	0	1	-0.6035523789654254	0.6852678571428572	0.07309097424520805
psoriasis_GSE85034_baseline_skin	SEL1L3	1	1	0	0	-0.057423760687104156	0.48888888888888893	0.9229772416500343
