gene	present	role
EGLN1	TRUE	target
GPNMB	TRUE	state_definition_mims2
APOE	TRUE	state_definition_mims2
P2RY12	TRUE	state_definition_hmg
CX3CR1	TRUE	state_definition_hmg
TMEM119	TRUE	state_definition_hmg
SALL1	TRUE	state_definition_hmg
LPL	TRUE	withheld_state_control
SPP1	TRUE	withheld_state_control
TREM2	TRUE	withheld_state_control
CTSD	TRUE	withheld_state_control
PLIN2	TRUE	withheld_state_control
LGALS3	TRUE	withheld_state_control
PPARG	TRUE	reported_only
FTL	TRUE	reported_only
HSPB1	TRUE	reported_only
MGLL	TRUE	reported_only
TBXAS1	TRUE	reported_only
