gene	paired_donors	mean_delta_active_minus_inactive	paired_dz	positive_fraction	wilcoxon_p	inference_boundary
ABHD6	3	0.6883685537727405	0.5850260667036665	0.6666666666666666	0.5	descriptive targeted validation: n is too small for exclusionary inference
APOE	3	0.7939234610955008	14.465807656075876	1.0	0.25	descriptive targeted validation: n is too small for exclusionary inference
C1QA	3	-0.22982939362134522	-0.35411736629286156	0.3333333333333333	0.5	descriptive targeted validation: n is too small for exclusionary inference
CTSD	3	0.0		0.0	1.0	descriptive targeted validation: n is too small for exclusionary inference
GPNMB	3	1.7406784310086232	1.401125076066889	1.0	0.25	descriptive targeted validation: n is too small for exclusionary inference
LIPA	3	0.6871218446055062	0.7313781095228238	0.6666666666666666	0.5	descriptive targeted validation: n is too small for exclusionary inference
LPL	3	0.7906242858054006	1.1816436967121078	1.0	0.25	descriptive targeted validation: n is too small for exclusionary inference
MGLL	3	0.832892998427789	0.8020949007410627	0.6666666666666666	0.5	descriptive targeted validation: n is too small for exclusionary inference
PLA2G7	3	0.41698771716025745	0.6261675136581428	0.6666666666666666	0.5	descriptive targeted validation: n is too small for exclusionary inference
TREM2	3	0.39465593677398303	2.1077127855519473	1.0	0.25	descriptive targeted validation: n is too small for exclusionary inference
