feature	n_samples	n_donors	spearman_rho	spearman_p	gee_coef_pla2g7	gee_se	gee_p	model	model_status	fdr_bh_lpc_family
LPC(16:1)	25	18	-0.025384615384615387	0.9041313354468479	-1.6627954048648628	0.5671763319545224	0.0033710351116658134	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.053936561786653014
LPC(17:1)	25	18	0.09384615384615384	0.6554564771802143	0.9127192366043562	0.4287981511459934	0.03329132902241601	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.26633063217932806
LPC(24:1)	25	18	-0.22692307692307692	0.27534511466374456	-0.2819713005519089	0.22389311563328254	0.20788538843892723	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.7054108972503328
LPC(20:4)	25	18	0.18846153846153846	0.3669574194662061	0.16677211448616164	0.13668769572237682	0.22242847451875447	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.7054108972503328
LPC(22:1)	25	18	-0.05846153846153846	0.7813348550958149	-0.15724940380889965	0.14474355123120342	0.27730203177991875	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.7054108972503328
LPC(18:2)	25	18	-0.04384615384615385	0.8351456850006211	0.0717199265786422	0.06821447888142733	0.2930801418835389	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.7054108972503328
LPC(20:1)	25	18	-0.008461538461538461	0.9679797010687115	0.10624115134642956	0.1043998887401246	0.3088506710583083	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.7054108972503328
LPC(20:3)	25	18	0.24923076923076923	0.2295852432198183	0.22943244328609097	0.24687292809398245	0.3527054486251664	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.7054108972503328
LPC(24:0)	25	18	-0.2553846153846154	0.21790928375396254	-0.1255754288630468	0.18297968187335564	0.49253610085980604	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.8242937044507469
LPC(26:1)	25	18	-0.3353846153846154	0.10122592017885002	-0.1249369629475755	0.2339939541602406	0.5933882769110665	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.8242937044507469
LPC(26:0)	25	18	-0.19307692307692306	0.3551204559765637	-0.09937490449968044	0.1943951840120261	0.6092107073845812	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.8242937044507469
LPC(23:0)	25	18	-0.09461538461538462	0.6528051126847747	-0.09197888412621974	0.21583452864031688	0.6699951734593954	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.8242937044507469
LPC(16:0)	25	18	-0.013076923076923076	0.9505312934668323	-0.03336667953397962	0.0892424114160088	0.7084875378323986	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.8242937044507469
LPC(22:0)	25	18	-0.026153846153846153	0.9012399090142549	-0.071221781261273	0.19962416515023002	0.7212569913944036	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.8242937044507469
LPC(18:0)	25	18	0.04076923076923076	0.8465752162712104	-0.009814883344043672	0.09613962676969	0.918685330465168	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.9799310191628459
LPC(18:1)	25	18	0.006923076923076924	0.9737994035133074	-0.0031372247252760554	0.48886333465681336	0.9948797019256149	lipid_value ~ pla2g7_activity + foamy + C(lesion_group)	ok	0.9948797019256149
