geo_accession	module	score	n_genes_present	genes_present	title	state
GSM434504	mif_cd74_receptor_state	11.50230708119643	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	DD1 preMS	pre_pregnancy_ms
GSM434505	mif_cd74_receptor_state	10.99388624882738	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	RP1 preMS	pre_pregnancy_ms
GSM434506	mif_cd74_receptor_state	10.972954750982144	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SDC1 preMS	pre_pregnancy_ms
GSM434507	mif_cd74_receptor_state	11.311054827958332	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SF1 preMS	pre_pregnancy_ms
GSM434509	mif_cd74_receptor_state	10.85099982457738	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	VB1 preMS	pre_pregnancy_ms
GSM434513	mif_cd74_receptor_state	11.047558422464288	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	01 preMS	pre_pregnancy_ms
GSM434514	mif_cd74_receptor_state	11.449108183535715	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	06 preMS	pre_pregnancy_ms
GSM434516	mif_cd74_receptor_state	11.08111896232738	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	11 preMS	pre_pregnancy_ms
GSM434725	mif_cd74_receptor_state	11.24307255272619	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	04_CP4 GRA9p	month9_pregnancy_ms
GSM434726	mif_cd74_receptor_state	11.320282661666665	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	09_MA4 GRA9p	month9_pregnancy_ms
GSM434727	mif_cd74_receptor_state	11.354620832869047	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	14_AR4 GRA9p	month9_pregnancy_ms
GSM434728	mif_cd74_receptor_state	11.094976536053574	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	19_LL4 GRA9p	month9_pregnancy_ms
GSM434729	mif_cd74_receptor_state	11.301129880315475	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	DD4 GRA9p	month9_pregnancy_ms
GSM434730	mif_cd74_receptor_state	11.430913780107144	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	RP4 GRA9p	month9_pregnancy_ms
GSM434731	mif_cd74_receptor_state	11.221497974232141	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SDC4 GRA9p	month9_pregnancy_ms
GSM434732	mif_cd74_receptor_state	11.266184617636906	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SF4 GRA9p	month9_pregnancy_ms
GSM434733	mif_cd74_receptor_state	11.224965641720237	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	VB4 GRA9p	month9_pregnancy_ms
GSM434504	hla_ii_only	12.075256536833333	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	DD1 preMS	pre_pregnancy_ms
GSM434505	hla_ii_only	11.437241080583332	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	RP1 preMS	pre_pregnancy_ms
GSM434506	hla_ii_only	11.41821701425	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SDC1 preMS	pre_pregnancy_ms
GSM434507	hla_ii_only	11.556136341166667	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SF1 preMS	pre_pregnancy_ms
GSM434509	hla_ii_only	10.8330752315	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	VB1 preMS	pre_pregnancy_ms
GSM434513	hla_ii_only	11.428446459	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	01 preMS	pre_pregnancy_ms
GSM434514	hla_ii_only	11.62580689025	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	06 preMS	pre_pregnancy_ms
GSM434516	hla_ii_only	11.089349206166666	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	11 preMS	pre_pregnancy_ms
GSM434725	hla_ii_only	11.586163319916666	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	04_CP4 GRA9p	month9_pregnancy_ms
GSM434726	hla_ii_only	11.571514889249999	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	09_MA4 GRA9p	month9_pregnancy_ms
GSM434727	hla_ii_only	11.584938952666668	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	14_AR4 GRA9p	month9_pregnancy_ms
GSM434728	hla_ii_only	11.215906345	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	19_LL4 GRA9p	month9_pregnancy_ms
GSM434729	hla_ii_only	11.470051571583333	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	DD4 GRA9p	month9_pregnancy_ms
GSM434730	hla_ii_only	11.805328924500001	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	RP4 GRA9p	month9_pregnancy_ms
GSM434731	hla_ii_only	11.495698932	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SDC4 GRA9p	month9_pregnancy_ms
GSM434732	hla_ii_only	11.692849853666667	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SF4 GRA9p	month9_pregnancy_ms
GSM434733	hla_ii_only	11.389556265666666	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	VB4 GRA9p	month9_pregnancy_ms
GSM434504	ifn_apc	10.161118257095238	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	DD1 preMS	pre_pregnancy_ms
GSM434505	ifn_apc	9.85388962597619	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	RP1 preMS	pre_pregnancy_ms
