samplegroup	module	contrast	test_timepoint	reference_timepoint	n_test	n_reference	mean_test	mean_reference	delta_test_minus_reference
HEALTHY	hif_nampt_metabolic	postpartum_6wk_t4_vs_late_t3	4	3	18	19	11.471640169588573	11.81939766049946	-0.3477574909108867
HEALTHY	hif_nampt_metabolic	postpartum_6mo_t5_vs_late_t3	5	3	18	19	11.545748844322988	11.81939766049946	-0.27364881617647185
HEALTHY	hif_nampt_metabolic	late_t3_vs_early_t1	3	1	19	19	11.81939766049946	11.604857059206207	0.21454060129325292
HEALTHY	hla_ii_only	postpartum_6wk_t4_vs_late_t3	4	3	18	19	11.468421337813615	11.484487611025294	-0.016066273211679416
HEALTHY	hla_ii_only	postpartum_6mo_t5_vs_late_t3	5	3	18	19	11.650169668280604	11.484487611025294	0.16568205725531016
HEALTHY	hla_ii_only	late_t3_vs_early_t1	3	1	19	19	11.484487611025294	11.147771561439322	0.3367160495859718
HEALTHY	ifn_apc	postpartum_6wk_t4_vs_late_t3	4	3	18	19	10.145531128539918	10.14248678321674	0.0030443453231789874
HEALTHY	ifn_apc	postpartum_6mo_t5_vs_late_t3	5	3	18	19	10.041121352144975	10.14248678321674	-0.10136543107176443
HEALTHY	ifn_apc	late_t3_vs_early_t1	3	1	19	19	10.14248678321674	9.760817717440457	0.3816690657762827
HEALTHY	lysosomal_apc	postpartum_6wk_t4_vs_late_t3	4	3	18	19	11.397572780606648	11.603215436006716	-0.20564265540006765
HEALTHY	lysosomal_apc	postpartum_6mo_t5_vs_late_t3	5	3	18	19	11.53605885830541	11.603215436006716	-0.06715657770130612
HEALTHY	lysosomal_apc	late_t3_vs_early_t1	3	1	19	19	11.603215436006716	11.356496206905229	0.2467192291014868
HEALTHY	mif_cd74_receptor_state	postpartum_6wk_t4_vs_late_t3	4	3	18	19	11.285740916018831	11.301097298000823	-0.015356381981991518
HEALTHY	mif_cd74_receptor_state	postpartum_6mo_t5_vs_late_t3	5	3	18	19	11.421709274413994	11.301097298000823	0.12061197641317101
HEALTHY	mif_cd74_receptor_state	late_t3_vs_early_t1	3	1	19	19	11.301097298000823	10.970482975133528	0.3306143228672944
SLE	hif_nampt_metabolic	late_pregnancy_t3_vs_pre_t0	3	0	16	5	11.796401107263911	10.860545153190198	0.9358559540737126
SLE	hif_nampt_metabolic	postpartum_6wk_t4_vs_late_t3	4	3	17	16	11.196711443799092	11.796401107263911	-0.5996896634648188
SLE	hif_nampt_metabolic	postpartum_6mo_t5_vs_late_t3	5	3	17	16	11.224251596382588	11.796401107263911	-0.5721495108813226
SLE	hif_nampt_metabolic	postpartum_12mo_t6_vs_late_t3	6	3	12	16	11.194824871973767	11.796401107263911	-0.6015762352901444
SLE	hif_nampt_metabolic	late_t3_vs_early_t1	3	1	16	16	11.796401107263911	11.736742514947192	0.059658592316718995
SLE	hla_ii_only	late_pregnancy_t3_vs_pre_t0	3	0	16	5	11.285315000735661	11.228021175562295	0.057293825173365676
SLE	hla_ii_only	postpartum_6wk_t4_vs_late_t3	4	3	17	16	10.968342570103394	11.285315000735661	-0.31697243063226743
SLE	hla_ii_only	postpartum_6mo_t5_vs_late_t3	5	3	17	16	11.168036976129422	11.285315000735661	-0.11727802460623948
SLE	hla_ii_only	postpartum_12mo_t6_vs_late_t3	6	3	12	16	10.971009424370587	11.285315000735661	-0.31430557636507395
SLE	hla_ii_only	late_t3_vs_early_t1	3	1	16	16	11.285315000735661	11.332878166658434	-0.047563165922772654
SLE	ifn_apc	late_pregnancy_t3_vs_pre_t0	3	0	16	5	10.925641492708081	10.228484789756582	0.6971567029514993
SLE	ifn_apc	postpartum_6wk_t4_vs_late_t3	4	3	17	16	10.39274107729506	10.925641492708081	-0.532900415413021
SLE	ifn_apc	postpartum_6mo_t5_vs_late_t3	5	3	17	16	10.341915791736264	10.925641492708081	-0.5837257009718169
SLE	ifn_apc	postpartum_12mo_t6_vs_late_t3	6	3	12	16	10.316787326411253	10.925641492708081	-0.6088541662968279
SLE	ifn_apc	late_t3_vs_early_t1	3	1	16	16	10.925641492708081	10.776906766999794	0.14873472570828739
SLE	lysosomal_apc	late_pregnancy_t3_vs_pre_t0	3	0	16	5	11.674311309859636	11.038085610683945	0.6362256991756912
SLE	lysosomal_apc	postpartum_6wk_t4_vs_late_t3	4	3	17	16	11.225812787795395	11.674311309859636	-0.44849852206424146
SLE	lysosomal_apc	postpartum_6mo_t5_vs_late_t3	5	3	17	16	11.287629011069551	11.674311309859636	-0.38668229879008464
SLE	lysosomal_apc	postpartum_12mo_t6_vs_late_t3	6	3	12	16	11.355581837919404	11.674311309859636	-0.31872947194023205
SLE	lysosomal_apc	late_t3_vs_early_t1	3	1	16	16	11.674311309859636	11.762044431090338	-0.08773312123070198
