analysis	sample	donor	group	n_cells	panel_total	ACSL1_count	ACSL1_log10k	ACSL1_detect	NAMPT_count	NAMPT_log10k	NAMPT_detect	CTSD_count	CTSD_log10k	CTSD_detect	GPNMB_count	GPNMB_log10k	GPNMB_detect	LAMP1_count	LAMP1_log10k	LAMP1_detect
pathological_vs_homeostatic	ms11r1	ms11	pathological	2882	210141	1422	6.101583917043153	0.3532269257460097	6	0.362354948519804	0.002081887578070784	406	4.344854133779076	0.12768910478834142	4187	7.645638059010374	0.6006245662734212	671	5.041371858891792	0.20229007633587787
pathological_vs_homeostatic	ms11r1	ms11	homeostatic	1366	73807	378	5.706382861756776	0.22767203513909223	3	0.49207417608647325	0.0021961932650073207	122	4.131720962413441	0.08565153733528551	359	5.633442046929894	0.2342606149341142	247	5.107087755714019	0.16471449487554904
t_near_vs_t_far_pathological	ms11r1	ms11	t_near	690	47322	333	6.157224876326424	0.34057971014492755	1	0.27657789848874276	0.0014492753623188406	93	4.368251014165886	0.12608695652173912	1011	7.745793318715022	0.6260869565217392	176	5.255198706911721	0.21594202898550724
t_near_vs_t_far_pathological	ms11r1	ms11	t_far	2192	162819	1089	6.085001499608842	0.3572080291970803	5	0.38635789386658137	0.002281021897810219	313	4.3379822435170485	0.1281934306569343	3176	7.615175183373266	0.5926094890510949	495	4.972777985380673	0.197992700729927
pathological_vs_homeostatic	ms15r0	ms15	pathological	94	2438	5	4.426842630745467	0.05319148936170213	0	0.0	0.0	3	3.733914840302214	0.031914893617021274	22	6.511561334470277	0.1276595744680851	10	5.392909054954732	0.07446808510638298
pathological_vs_homeostatic	ms15r0	ms15	homeostatic	44	1102	2	4.259183611775305	0.045454545454545456	0	0.0	0.0	1	3.332623469190425	0.022727272727272728	0	0.0	0.0	4	5.221012467315418	0.09090909090909091
t_near_vs_t_far_pathological	ms15r0	ms15	t_near	51	1256	4	5.03769558130759	0.0784313725490196	0	0.0	0.0	1	3.1637858643449057	0.0196078431372549	14	6.8133318743926745	0.17647058823529413	6	5.607942793079926	0.09803921568627451
t_near_vs_t_far_pathological	ms15r0	ms15	t_far	43	1182	1	3.2418763094517296	0.023255813953488372	0	0.0	0.0	2	4.163536874096809	0.046511627906976744	8	6.1018579420847745	0.06976744186046512	4	5.122711955393961	0.046511627906976744
pathological_vs_homeostatic	ms15r1	ms15	pathological	828	49079	122	4.692532215387839	0.12439613526570048	8	1.39507654709352	0.00966183574879227	35	3.0234966055101093	0.04106280193236715	736	7.238044552496636	0.44323671497584544	73	3.9885918685050945	0.0821256038647343
pathological_vs_homeostatic	ms15r1	ms15	homeostatic	207	9729	20	4.430091027235578	0.08695652173913043	1	1.0199544026831688	0.004830917874396135	7	3.0347411446048205	0.033816425120772944	32	5.082845444340572	0.14492753623188406	16	4.124797750952069	0.06763285024154589
t_near_vs_t_far_pathological	ms15r1	ms15	t_near	135	7677	23	4.952315842131993	0.15555555555555556	1	1.2032588995517886	0.007407407407407408	8	3.513583881958092	0.05925925925925926	118	7.273384171475207	0.4444444444444444	10	3.8100236622217096	0.07407407407407407
t_near_vs_t_far_pathological	ms15r1	ms15	t_far	693	41402	99	4.6387624765150886	0.11832611832611832	7	1.4280027670467097	0.010101010101010102	27	2.9110058436848663	0.03751803751803752	618	7.231395458279062	0.443001443001443	63	4.019404468034989	0.0836940836940837
pathological_vs_homeostatic	ms1r1	ms1	pathological	204	15909	20	3.762508322817889	0.09803921568627451	0	0.0	0.0	26	4.116277457953287	0.10784313725490197	196	6.956529540951751	0.37745098039215685	60	5.274802150347551	0.22549019607843138
pathological_vs_homeostatic	ms1r1	ms1	homeostatic	287	24708	33	3.8435817279247955	0.10801393728222997	1	0.49028999847197663	0.003484320557491289	29	3.670963712056028	0.08710801393728224	25	3.4748487840303697	0.08013937282229965	90	5.225947729082296	0.23693379790940766
t_near_vs_t_far_pathological	ms1r1	ms1	t_near	148	10744	15	3.903161772909122	0.10135135135135136	0	0.0	0.0	17	4.072344641099072	0.0945945945945946	151	7.145102292055147	0.39864864864864863	43	5.358337814783607	0.22297297297297297
t_near_vs_t_far_pathological	ms1r1	ms1	t_far	56	5165	5	3.4169129703844185	0.08928571428571429	0	0.0	0.0	9	4.203590819217305	0.14285714285714285	45	6.461477466281946	0.32142857142857145	17	5.083802377205831	0.23214285714285715
pathological_vs_homeostatic	ms1r2	ms1	pathological	989	84631	94	3.597774422149914	0.08796764408493428	0	0.0	0.0	86	3.480492762512067	0.08493427704752275	216	4.729148272679495	0.10717896865520728	405	5.610428556271181	0.31445904954499493
pathological_vs_homeostatic	ms1r2	ms1	homeostatic	1097	96566	121	3.7581208738929663	0.10300820419325434	0	0.0	0.0	93	3.410167255163119	0.07930720145852324	72	3.07998227425846	0.05742935278030994	445	5.557118166765389	0.3108477666362808
t_near_vs_t_far_pathological	ms1r2	ms1	t_near	401	32176	31	3.410681681824277	0.06733167082294264	0	0.0	0.0	32	3.4522397042376864	0.0798004987531172	59	4.273265853134285	0.08478802992518704	146	5.535288912440521	0.28428927680798005
t_near_vs_t_far_pathological	ms1r2	ms1	t_far	588	52455	63	3.7015817182770654	0.10204081632653061	0	0.0	0.0	54	3.4975533762050524	0.08843537414965986	157	4.950954357573846	0.12244897959183673	259	5.654654796289235	0.33503401360544216
pathological_vs_homeostatic	ms4r1	ms4	pathological	291	44985	47	3.5170144833995423	0.14432989690721648	1	0.28959407976190393	0.003436426116838488	47	3.5170144833995423	0.140893470790378	147	5.0737156763651114	0.140893470790378	207	5.555059598276134	0.43986254295532645
pathological_vs_homeostatic	ms4r1	ms4	homeostatic	298	56040	73	3.8100738693293494	0.19798657718120805	1	0.23688316448243985	0.003355704697986577	43	3.116546188396106	0.13087248322147652	43	3.116546188396106	0.087248322147651	212	5.279104310479926	0.4798657718120805
t_near_vs_t_far_pathological	ms4r1	ms4	t_near	166	23406	33	3.9163762243462266	0.1686746987951807	0	0.0	0.0	24	3.4923378991240064	0.13253012048192772	114	5.635332435245406	0.1686746987951807	109	5.571957548411565	0.43373493975903615
t_near_vs_t_far_pathological	ms4r1	ms4	t_far	125	21579	14	2.904539791921156	0.112	1	0.5493374767160646	0.008	23	3.543311586417578	0.152	33	4.026148985064163	0.104	98	5.536504398703451	0.448
pathological_vs_homeostatic	ms4r2	ms4	pathological	949	235502	1548	6.06030523465617	0.6111696522655427	56	1.7561262457188134	0.0505795574288725	125	2.6571393304557933	0.12223393045310854	459	4.356867817572174	0.14857744994731295	417	4.225495204249701	0.31822971548998946
pathological_vs_homeostatic	ms4r2	ms4	homeostatic	28	1256	8	6.015565977232722	0.17857142857142858	0	0.0	0.0	1	3.1637858643449057	0.03571428571428571	7	5.826103129816184	0.17857142857142858	1	3.1637858643449057	0.03571428571428571
t_near_vs_t_far_pathological	ms4r2	ms4	t_near	484	113787	781	6.121782453186727	0.6322314049586777	29	1.8272587223334396	0.05165289256198347	60	2.6491578849912183	0.10950413223140495	359	5.024593487105474	0.19421487603305784	185	4.109230811452822	0.27479338842975204
t_near_vs_t_far_pathological	ms4r2	ms4	t_far	465	121715	767	6.000362028475448	0.589247311827957	27	1.6862973997905786	0.04946236559139785	65	2.664561173121334	0.13548387096774195	100	3.2041272894246706	0.1010752688172043	232	4.326315936997962	0.3634408602150538
pathological_vs_homeostatic	ms5r1	ms5	pathological	708	39735	634	7.326942344238065	0.4872881355932203	8	1.5913626817347255	0.009887005649717515	239	5.9342448196570485	0.2598870056497175	527	7.062085705673766	0.4293785310734463	162	5.384398758782615	0.19915254237288135
pathological_vs_homeostatic	ms5r1	ms5	homeostatic	318	14391	220	7.265599328922261	0.3742138364779874	0	0.0	0.0	82	5.857484846099802	0.22012578616352202	48	5.102413729864968	0.13522012578616352	51	5.187404174648987	0.14465408805031446
t_near_vs_t_far_pathological	ms5r1	ms5	t_near	163	7505	118	7.305865800752356	0.4662576687116564	2	1.8737699260246394	0.006134969325153374	64	6.430895451187185	0.2883435582822086	141	7.561286036846049	0.49079754601226994	37	5.65249987078352	0.20245398773006135
t_near_vs_t_far_pathological	ms5r1	ms5	t_far	545	32230	516	7.331806293133037	0.4935779816513762	6	1.5168319094523879	0.011009174311926606	175	5.789135532652089	0.25137614678899084	386	6.916048965878421	0.41100917431192663	125	5.314107069962261	0.1981651376146789
pathological_vs_homeostatic	ms6r0	ms6	pathological	455	62886	1061	7.406995752525821	0.6373626373626373	23	2.2195284559178123	0.041758241758241756	598	6.586355042629289	0.5142857142857142	4997	9.635922084247094	0.7824175824175824	392	5.984931503815292	0.45714285714285713
pathological_vs_homeostatic	ms6r0	ms6	homeostatic	211	15847	176	6.8081537306688515	0.41232227488151657	0	0.0	0.0	80	5.686016967189068	0.27488151658767773	158	6.653968782021532	0.3222748815165877	90	5.852824949698782	0.27488151658767773
t_near_vs_t_far_pathological	ms6r0	ms6	t_near	399	53366	919	7.436353619423196	0.631578947368421	20	2.2472301529744567	0.040100250626566414	535	6.661793717316686	0.5087719298245614	4136	9.59995987217379	0.7719298245614035	327	5.9605804950777985	0.44611528822055135
t_near_vs_t_far_pathological	ms6r0	ms6	t_far	56	9520	142	7.230353515567256	0.6785714285714286	3	2.053549468276734	0.05357142857142857	63	6.069884094112504	0.5535714285714286	861	9.822430242519703	0.8571428571428571	65	6.114311026231313	0.5357142857142857
