analysis	gene	informative_donors	mean_delta_log10k	sd_delta_log10k	paired_dz	positive_direction_fraction	wilcoxon_p	fdr_bh	registered_gate_pass	candidate_spatial_support
pathological_vs_homeostatic	ACSL1	6	0.17092770055703385	0.28965292654498065	0.5901121131275372	0.6666666666666666	0.3125	0.3125	False	False
pathological_vs_homeostatic	NAMPT	6	0.7546677605923658	0.997163622620842	0.756814371756638	0.6666666666666666	0.21875	0.2734375	False	False
pathological_vs_homeostatic	CTSD	6	0.2649975239253177	0.3310310902353188	0.8005215574674269	0.8333333333333334	0.0625	0.15625	False	False
pathological_vs_homeostatic	GPNMB	6	2.3494319961602863	1.3476950324236474	1.7432964725967346	1.0	0.03125	0.15625	False	True
pathological_vs_homeostatic	LAMP1	6	0.16685755221001777	0.26221878778471447	0.6363295079642055	0.8333333333333334	0.15625	0.2604166666666667	False	False
t_near_vs_t_far_pathological	ACSL1	6	0.32854535308889254	0.4107661539009917	0.7998355024354876	0.8333333333333334	0.0625	0.3125	False	False
t_near_vs_t_far_pathological	NAMPT	6	0.020713115843012192	0.21387595750601857	0.0968463967831883	0.3333333333333333	1.0	1.0	False	False
t_near_vs_t_far_pathological	CTSD	6	0.15731390231568912	0.3641358053216421	0.43201986735891945	0.5	0.84375	1.0	False	False
t_near_vs_t_far_pathological	GPNMB	6	0.4413181905522228	0.69236898329279	0.6374031783650793	0.8333333333333334	0.15625	0.390625	False	False
t_near_vs_t_far_pathological	LAMP1	6	0.09862946601352562	0.19638118529717216	0.5022348035239497	0.6666666666666666	0.4375	0.7291666666666666	False	False
