analysis	gene	donor	delta_log10k
pathological_vs_homeostatic	SOAT1	ms1	-0.12039831142245738
pathological_vs_homeostatic	SOAT1	ms11	0.20678890599386346
pathological_vs_homeostatic	SOAT1	ms15	-0.7913074687244914
pathological_vs_homeostatic	SOAT1	ms4	0.19919052108336066
pathological_vs_homeostatic	SOAT1	ms5	-0.06672616223891126
pathological_vs_homeostatic	SOAT1	ms6	1.659574756677273
pathological_vs_homeostatic	LIPA	ms1	0.4737890037557375
pathological_vs_homeostatic	LIPA	ms11	0.4057093059015937
pathological_vs_homeostatic	LIPA	ms15	-1.7981143263505877
pathological_vs_homeostatic	LIPA	ms4	-1.0402381480744967
pathological_vs_homeostatic	LIPA	ms5	0.5925909211239939
pathological_vs_homeostatic	LIPA	ms6	1.0710960147942488
pathological_vs_homeostatic	PLIN2	ms1	-0.06714161556611209
pathological_vs_homeostatic	PLIN2	ms11	1.429442354053867
pathological_vs_homeostatic	PLIN2	ms15	1.9549056617413125
pathological_vs_homeostatic	PLIN2	ms4	-0.43086467267067396
pathological_vs_homeostatic	PLIN2	ms5	1.3401318155083866
pathological_vs_homeostatic	PLIN2	ms6	0.6170816981769849
pathological_vs_homeostatic	ABCA1	ms1	0.9607711223860074
pathological_vs_homeostatic	ABCA1	ms11	0.41643411332263547
pathological_vs_homeostatic	ABCA1	ms15	0.41400419863861426
pathological_vs_homeostatic	ABCA1	ms4	-0.3564603313751391
pathological_vs_homeostatic	ABCA1	ms5	0.08342155770059989
pathological_vs_homeostatic	ABCA1	ms6	0.05077542270812163
pathological_vs_homeostatic	ABCG1	ms1	0.1992564243639463
pathological_vs_homeostatic	ABCG1	ms11	-0.5026348400178877
pathological_vs_homeostatic	ABCG1	ms15	-0.4616593663506341
pathological_vs_homeostatic	ABCG1	ms4	0.12299868599937452
pathological_vs_homeostatic	ABCG1	ms5	0.4564721253056767
pathological_vs_homeostatic	ABCG1	ms6	-0.026788665129997113
pathological_vs_homeostatic	NR1H3	ms1	0.47518058602393487
pathological_vs_homeostatic	NR1H3	ms11	-0.005371768272390831
pathological_vs_homeostatic	NR1H3	ms15	0.4299897542995192
pathological_vs_homeostatic	NR1H3	ms4	0.8311667243891615
pathological_vs_homeostatic	NR1H3	ms5	-0.7473282467009952
pathological_vs_homeostatic	NR1H3	ms6	0.8509561330736073
pathological_vs_homeostatic	LAMP1	ms1	0.051082405385523
pathological_vs_homeostatic	LAMP1	ms11	-0.06571589682222712
pathological_vs_homeostatic	LAMP1	ms15	0.017845352596169706
pathological_vs_homeostatic	LAMP1	ms4	0.6688323138505021
pathological_vs_homeostatic	LAMP1	ms5	0.1969945841336287
pathological_vs_homeostatic	LAMP1	ms6	0.1321065541165103
pathological_vs_homeostatic	CTSD	ms1	0.25781962662310365
pathological_vs_homeostatic	CTSD	ms11	0.2131331713656346
pathological_vs_homeostatic	CTSD	ms15	0.1950234160085389
pathological_vs_homeostatic	CTSD	ms4	-0.053089119442838006
pathological_vs_homeostatic	CTSD	ms5	0.0767599735572464
pathological_vs_homeostatic	CTSD	ms6	0.9003380754402208
pathological_vs_homeostatic	GPNMB	ms1	2.565423377671208
pathological_vs_homeostatic	GPNMB	ms11	2.01219601208048
