cell_type	donor	gene	active_edge_log2_cpm1	inactive_edge_log2_cpm1	delta_active_minus_inactive	active_edge_n_cells	inactive_edge_n_cells
astrocytes	09_034	ALOX5AP	1.7204833866761253	0.0	1.7204833866761253	240	322
astrocytes	09_034	APOE	8.39291128033752	8.444282436599288	-0.05137115626176758	240	322
astrocytes	09_034	C1QA	2.4830898600187417	1.7292210094082408	0.7538688506105009	240	322
astrocytes	09_034	GPNMB	2.9793676493689305	0.0	2.9793676493689305	240	322
astrocytes	09_034	PTGS1	0.0	0.0	0.0	240	322
astrocytes	09_034	PTGS2	0.0	0.0	0.0	240	322
astrocytes	09_034	TBXA2R	0.0	1.1095235380833193	-1.1095235380833193	240	322
astrocytes	09_034	TBXAS1	4.093245473582219	4.52338199127093	-0.43013651768871064	240	322
astrocytes	09_034	TREM2	0.0	0.0	0.0	240	322
astrocytes	12_078	ALOX5AP	1.6239675054455303	0.0	1.6239675054455303	785	169
astrocytes	12_078	APOE	9.385807571412592	7.952527026493092	1.4332805449194996	785	169
astrocytes	12_078	C1QA	2.3686091328906613	0.0	2.3686091328906613	785	169
astrocytes	12_078	GPNMB	3.798022828883263	3.309953963023572	0.4880688658596908	785	169
astrocytes	12_078	PTGS1	1.4145533983625769	0.0	1.4145533983625769	785	169
astrocytes	12_078	PTGS2	0.8741170606332225	0.0	0.8741170606332225	785	169
astrocytes	12_078	TBXA2R	0.5022725485681	0.0	0.5022725485681	785	169
astrocytes	12_078	TBXAS1	2.857313227223822	0.0	2.857313227223822	785	169
astrocytes	12_078	TREM2	1.169494697539247	0.0	1.169494697539247	785	169
astrocytes	13_047	ALOX5AP	1.821634848713868	2.073927864994863	-0.2522930162809951	3007	155
astrocytes	13_047	APOE	8.929387791276127	8.44175702360877	0.48763076766735836	3007	155
astrocytes	13_047	C1QA	3.174233059793665	0.0	3.174233059793665	3007	155
astrocytes	13_047	GPNMB	2.8187262811387033	4.552881082724004	-1.7341548015853006	3007	155
astrocytes	13_047	PTGS1	0.7690230115801934	0.0	0.7690230115801934	3007	155
astrocytes	13_047	PTGS2	0.19007506709836308	0.0	0.19007506709836308	3007	155
astrocytes	13_047	TBXA2R	0.3579980012268638	0.0	0.3579980012268638	3007	155
astrocytes	13_047	TBXAS1	4.239133006058967	3.790902999077801	0.44823000698116644	3007	155
astrocytes	13_047	TREM2	2.1308497677035705	0.0	2.1308497677035705	3007	155
immune	09_034	ALOX5AP	6.221912424326518	5.611909653994582	0.6100027703319357	312	290
immune	09_034	APOE	9.435863631037726	8.705303651116012	0.7305599799217148	312	290
immune	09_034	C1QA	6.311876465275259	6.848434740463114	-0.536558275187855	312	290
immune	09_034	GPNMB	8.726695207308616	6.390813415229044	2.3358817920795723	312	290
immune	09_034	PTGS1	6.576728455057137	6.258188700906777	0.3185397541503603	312	290
immune	09_034	PTGS2	0.0	0.0	0.0	312	290
immune	09_034	TBXA2R	0.0	0.0	0.0	312	290
immune	09_034	TBXAS1	10.699350237297121	10.888050228163838	-0.1886999908667164	312	290
immune	09_034	TREM2	6.820991394215529	6.5410961978927045	0.27989519632282445	312	290
immune	12_078	ALOX5AP	5.893345070821533	4.827211420400736	1.066133650420797	742	84
immune	12_078	APOE	9.274553878667993	8.447989838561945	0.8265640401060477	742	84
