gene	disease	mean_delta	mean_hedges_g	min_p	positive_all	positive_any_nominal	negative_any_nominal	n_contrasts
ACSL1	IBD_active_vs_inactive	1.1663782006603092	1.2159874543993303	1.478706957429093e-15	True	True	False	2
ACSL1	RA	2254.7038444444424	0.5335348832358705	0.2051195219741815	True	False	False	1
ACSL1	lupus_nephritis	0.0234542218489571	0.0477942723195265	0.6722691340583673	False	False	False	2
ACSL1	psoriasis	-0.4804375344827587	-0.9227804919970168	6.1024680963345e-08	False	False	True	1
APOE	IBD_active_vs_inactive	0.3334898534373867	1.1431608785338627	7.903362224510102e-12	True	True	False	2
APOE	RA	-40236.81357777778	-7.099064769393018	0.000338579491628	False	False	True	1
APOE	lupus_nephritis	-0.44536258446279925	-0.5486077606792851	0.0022984185023392	False	False	True	2
APOE	psoriasis	-0.9704338965517242	-1.9316430227851753	3.5060510731588664e-11	False	False	True	1
ASAH1	IBD_active_vs_inactive	0.04088030524055419	0.24093829471675646	0.0026649423296967	False	True	True	2
ASAH1	RA	-31781.543555555545	-10.00841480916316	2.0677624861860715e-05	False	False	True	1
ASAH1	lupus_nephritis	0.07556504777976245	0.36917605577016305	0.0432104709254926	True	True	False	2
ASAH1	psoriasis	-0.3013075	-1.9856868660364777	3.5060510731588664e-11	False	False	True	1
C1QA	IBD_active_vs_inactive	0.7099981586163686	1.2384802720488164	1.1499598403415512e-06	True	True	False	2
C1QA	RA	-3023.2879555555573	-0.5977595891819237	0.1716734503789096	False	False	False	1
C1QA	lupus_nephritis	2.7108607990806544	2.3834956019790274	1.507682738789436e-15	True	True	False	2
C1QA	psoriasis	0.4221849827586207	0.7506696752276898	2.758991944461462e-06	True	True	False	1
C1QB	IBD_active_vs_inactive	0.7965206229033814	1.0985514992286458	5.817882911691206e-07	True	True	False	2
C1QB	RA	5229.757288888889	0.8271566386380785	0.0634582709845116	True	False	False	1
C1QB	lupus_nephritis	2.3434797955172626	1.8160486096123878	2.6887710947869946e-12	True	True	False	2
