gene	selection_reasons	discovery_priority_score	positive_disease_count	negative_disease_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	top_positive_compartments
IFITM3	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	30.0	5.0	0.0	11.0	0.0	2.0	False	-0.4945365481899664	0.2965069179161008	0.9075477698307116	False	t1d_acinar_cell:1.25,p=7e-05;ibd_uc_epithelial:2.46,p=0.0005;ibd_uc_myeloid:1.99,p=0.002;t1d_ductal_cell:0.646,p=0.0042;ibd_crohn_epithelial:1.6,p=0.0064;psoriasis_keratinocyte:2.83,p=0.0075;sjogren_gland_apc:0.741,p=0.01;ibd_uc_stromal:0.448,p=0.016
IFITM2	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	29.0	5.0	0.0	10.0	0.0	2.0	False	-0.5240543955909676	0.2031260631187718	0.8993702893651148	False	t1d_acinar_cell:2.4,p=4.8e-06;ibd_uc_myeloid:2.05,p=1.5e-05;t1d_ductal_cell:0.993,p=0.0013;ibd_crohn_myeloid:2.06,p=0.0017;ibd_uc_epithelial:2.16,p=0.0022;t1d_endothelial_cell:0.686,p=0.017;t1d_stellate_cell:0.788,p=0.029;ibd_crohn_epithelial:1.29,p=0.031
PSME2	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	27.06715336283678	5.0	0.0	10.0	0.0	1.0	False	-0.2525338557141818	0.4970034386143676	0.9275874758277628	False	ibd_uc_myeloid:1.49,p=0.0005;psoriasis_keratinocyte:1.82,p=0.0032;ibd_uc_stromal:0.635,p=0.0072;psoriasis_skin_apc:1.69,p=0.014;ibd_crohn_myeloid:1.17,p=0.016;psoriasis_skin_stromal:0.978,p=0.038;sjogren_gland_epithelial:0.27,p=0.039;sjogren_gland_stromal:0.335,p=0.041
EEF1E1	five_disease;four_disease_low_contradiction;top_rank	24.0	5.0	0.0	7.0	0.0	1.0	False	-1.1784102252943471	0.2145941794042359	0.8993702893651148	False	ibd_uc_stromal:0.971,p=0.0005;t1d_acinar_cell:0.539,p=0.00065;ibd_crohn_stromal:0.874,p=0.0057;sjogren_gland_apc:0.786,p=0.0057;ibd_uc_epithelial:0.832,p=0.018;sjogren_gland_epithelial:0.492,p=0.027;psoriasis_keratinocyte:0.54,p=0.038
POMP	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	24.0	5.0	0.0	7.0	0.0	1.0	False	-0.0430089608388559	0.762824900529835	0.9720939505346544	False	ibd_uc_stromal:0.856,p=0.00091;ibd_uc_myeloid:0.649,p=0.0079;t1d_acinar_cell:0.359,p=0.021;sjogren_gland_epithelial:0.31,p=0.024;ibd_crohn_stromal:0.481,p=0.032;psoriasis_skin_stromal:0.78,p=0.038;ibd_crohn_myeloid:0.385,p=0.042
PSME1	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	23.080492267647816	5.0	0.0	8.0	0.0	0.0	False	-0.2037368565985371	0.3993275020823	0.9157809859344704	False	t1d_acinar_cell:1.09,p=0.0071;t1d_ductal_cell:0.504,p=0.0071;ibd_uc_myeloid:0.818,p=0.0095;sjogren_gland_apc:0.492,p=0.012;t1d_endothelial_cell:0.771,p=0.016;psoriasis_keratinocyte:0.585,p=0.022;psoriasis_skin_apc:0.884,p=0.022;ibd_crohn_myeloid:0.633,p=0.025
NME1	five_disease;four_disease_low_contradiction;top_rank	23.015845455587073	5.0	0.0	6.0	0.0	1.0	False	-0.386249849366223	0.3480428652732463	0.9141270983319502	False	ibd_uc_stromal:1.32,p=0.001;ibd_uc_epithelial:1.06,p=0.0027;t1d_endothelial_cell:0.386,p=0.0087;psoriasis_keratinocyte:1.07,p=0.022;ibd_crohn_stromal:0.684,p=0.042;sjogren_gland_stromal:0.547,p=0.049
TMEM167A	five_disease;four_disease_low_contradiction;top_rank	23.0	5.0	0.0	6.0	0.0	1.0	False	-0.0593616890394788	0.7752687424411747	0.973344149072204	False	ibd_uc_myeloid:0.931,p=0.0002;ibd_uc_stromal:0.638,p=0.0044;ibd_crohn_myeloid:0.666,p=0.0085;sjogren_gland_apc:0.428,p=0.027;psoriasis_keratinocyte:0.659,p=0.039;t1d_acinar_cell:0.296,p=0.04
CARD16	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	23.0	5.0	0.0	6.0	0.0	1.0	False	0.427054014710313	0.494819097605486	0.9274484982877348	False	ibd_uc_myeloid:1.31,p=0.00098;ibd_crohn_myeloid:1.34,p=0.0012;sjogren_gland_apc:0.729,p=0.0075;ibd_crohn_epithelial:0.544,p=0.026;psoriasis_keratinocyte:0.658,p=0.031;t1d_endothelial_cell:2.16,p=0.032
LRRC59	five_disease;four_disease_low_contradiction;top_rank	22.094557647894835	5.0	0.0	7.0	0.0	0.0	False	0.0422703381969409	0.8419061527165945	0.9761732664217524	False	ibd_crohn_epithelial:0.87,p=0.0018;ibd_crohn_stromal:1.1,p=0.002;t1d_stellate_cell:0.365,p=0.014;t1d_endothelial_cell:0.649,p=0.018;psoriasis_skin_stromal:0.77,p=0.035;sjogren_gland_stromal:0.484,p=0.046;ibd_uc_stromal:0.676,p=0.049
FAM136A	five_disease;four_disease_low_contradiction;top_rank	22.0	5.0	0.0	7.0	0.0	0.0	False	-0.3296785879844943	0.3541914497691751	0.9141270983319502	False	psoriasis_keratinocyte:0.631,p=0.0017;ibd_uc_stromal:0.681,p=0.012;ibd_crohn_stromal:0.469,p=0.017;ibd_uc_epithelial:0.551,p=0.026;sjogren_gland_stromal:0.276,p=0.027;ibd_crohn_epithelial:0.457,p=0.034;t1d_endothelial_cell:1.11,p=0.05
