module	n_diseases_tested	n_strong_diseases	n_supportive_or_strong_diseases	n_trend_or_better_diseases	n_negative_trend_diseases	mean_positive_delta	median_positive_hedges_g	supporting_diseases
mif_cd74_receptor_state	10	2	6	7	0	0.596352609980423	1.5885489189538626	Crohn disease;Hashimoto thyroiditis;MS;Sjogren syndrome;celiac disease;type 1 diabetes mellitus;ulcerative colitis
ifn_apc	10	1	4	7	0	0.43312558460796907	1.553769953622447	Crohn disease;Hashimoto thyroiditis;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis
hla_ii_apc	9	1	4	6	0	0.5795175954269817	1.4746524775781351	Crohn disease;Hashimoto thyroiditis;Sjogren syndrome;celiac disease;type 1 diabetes mellitus;ulcerative colitis
mixscale_validated_ifng_readout	9	2	4	6	0	0.3826852621334323	2.1679548340474177	Crohn disease;Hashimoto thyroiditis;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis
lysosomal_apc	10	0	3	5	0	0.3332843163642599	1.660122892299652	Hashimoto thyroiditis;MS;psoriasis;type 1 diabetes mellitus;ulcerative colitis
lipid_loader_repair	8	1	2	4	0	0.2212643281590369	1.4503807051083615	Crohn disease;MS;celiac disease;type 1 diabetes mellitus
hif_nampt_metabolic	8	0	2	3	0	0.31027135030570224	2.2042513819690743	Crohn disease;type 1 diabetes mellitus;ulcerative colitis
inflammatory_nfkb	7	1	2	3	0	0.4715152928016529	3.3298491315490826	Crohn disease;type 1 diabetes mellitus;ulcerative colitis
complement_phagocytosis	8	0	0	0	0			
mif_ligand_axis	1	0	0	0	0			
