analysis	gene	group	n_cells	mean_log_norm	detection_fraction
ibd_crohn_myeloid	ACSL1	case	1933	0.5497541412540269	0.23435075012933265
ibd_crohn_myeloid	ACSL1	control	677	0.052654541919619005	0.05760709010339734
ibd_crohn_myeloid	APOE	case	1933	0.33662759347161036	0.1288153129849974
ibd_crohn_myeloid	APOE	control	677	0.15661660011513176	0.1137370753323486
ibd_crohn_myeloid	B2M	case	1933	4.654740250739407	0.9803414381789963
ibd_crohn_myeloid	B2M	control	677	4.23495689355527	0.9852289512555391
ibd_crohn_myeloid	C1QA	case	1933	1.2372234833403288	0.35230212105535436
ibd_crohn_myeloid	C1QA	control	677	1.5749798382665008	0.4254062038404727
ibd_crohn_myeloid	C1QB	case	1933	1.1419862560270302	0.338851526125194
ibd_crohn_myeloid	C1QB	control	677	1.411686995044056	0.4150664697193501
ibd_crohn_myeloid	C1QC	case	1933	0.8779530596815122	0.30056906363166064
ibd_crohn_myeloid	C1QC	control	677	1.2391876300904232	0.40029542097488924
ibd_crohn_myeloid	CCL2	case	1933	0.08450176367236964	0.04035178479048112
ibd_crohn_myeloid	CCL2	control	677	0.18227394582919193	0.09010339734121123
ibd_crohn_myeloid	CCL3	case	1933	1.1919760771421137	0.3150543197102949
ibd_crohn_myeloid	CCL3	control	677	0.4105107523358712	0.17872968980797638
ibd_crohn_myeloid	CCL4	case	1933	1.3055382344780546	0.31712364200724263
ibd_crohn_myeloid	CCL4	control	677	0.4638002749301668	0.1831610044313146
ibd_crohn_myeloid	CD36	case	1933	0.1649003472442165	0.12157268494568028
ibd_crohn_myeloid	CD36	control	677	0.29601349587929987	0.21565731166912852
ibd_crohn_myeloid	CD44	case	1933	1.4750566132547485	0.5416451112260735
ibd_crohn_myeloid	CD44	control	677	1.2782377659344888	0.5923190546528804
ibd_crohn_myeloid	CD68	case	1933	0.7551835125213415	0.37040869115364716
ibd_crohn_myeloid	CD68	control	677	0.9298727518031922	0.43131462333825704
ibd_crohn_myeloid	CD74	case	1933	2.1402948791353933	0.5732022762545267
ibd_crohn_myeloid	CD74	control	677	2.150497396753128	0.534711964549483
ibd_crohn_myeloid	CIITA	case	1933	0.14705558213042622	0.1314019658561821
ibd_crohn_myeloid	CIITA	control	677	0.16179652779158504	0.1536189069423929
ibd_crohn_myeloid	CTSB	case	1933	1.0114237732411602	0.4014485256078634
ibd_crohn_myeloid	CTSB	control	677	1.1910232981840922	0.4505169867060561
ibd_crohn_myeloid	CTSD	case	1933	0.9807807304507328	0.4180031039834454
ibd_crohn_myeloid	CTSD	control	677	1.5508022611364263	0.6100443131462334
ibd_crohn_myeloid	CTSS	case	1933	1.5740214952982152	0.5737196068287636
ibd_crohn_myeloid	CTSS	control	677	1.0813656310688806	0.4357459379615953
ibd_crohn_myeloid	CXCL10	case	1933	0.21545427769651856	0.08949818934299017
ibd_crohn_myeloid	CXCL10	control	677	0.055274323016876965	0.025110782865583457
ibd_crohn_myeloid	CXCL8	case	1933	2.4899866730609626	0.5007759958613555
ibd_crohn_myeloid	CXCL8	control	677	0.5602229276195652	0.1831610044313146
ibd_crohn_myeloid	CXCR4	case	1933	0.7067918327014118	0.2922917744438696
ibd_crohn_myeloid	CXCR4	control	677	0.3450158930279707	0.1964549483013294
ibd_crohn_myeloid	FABP5	case	1933	0.32814965284602676	0.18210036213140196
ibd_crohn_myeloid	FABP5	control	677	0.24056478992823152	0.1536189069423929
ibd_crohn_myeloid	GBP1	case	1933	0.8412817150768822	0.3398861872736679
ibd_crohn_myeloid	GBP1	control	677	0.1112493499598043	0.08567208271787297
ibd_crohn_myeloid	GPNMB	case	1933	0.27962791416329885	0.1355406104500776
ibd_crohn_myeloid	GPNMB	control	677	0.5542085346606584	0.2363367799113737
ibd_crohn_myeloid	HIF1A	case	1933	1.0401538112780646	0.4640455250905329
ibd_crohn_myeloid	HIF1A	control	677	0.49628384300135786	0.32644017725258495
ibd_crohn_myeloid	HK2	case	1933	0.13880374446870083	0.10346611484738748
ibd_crohn_myeloid	HK2	control	677	0.05118185010182356	0.047267355982274745
ibd_crohn_myeloid	HLA-DPA1	case	1933	1.9634460175203465	0.5550957061562338
ibd_crohn_myeloid	HLA-DPA1	control	677	1.8250187334610062	0.5243722304283605
ibd_crohn_myeloid	HLA-DPB1	case	1933	1.994752380572345	0.5545783755819969
ibd_crohn_myeloid	HLA-DPB1	control	677	1.7801300701544278	0.5096011816838996
ibd_crohn_myeloid	HLA-DRA	case	1933	2.5356111622512834	0.587170201758924
ibd_crohn_myeloid	HLA-DRA	control	677	2.142981738883506	0.5140324963072378
ibd_crohn_myeloid	HLA-DRB1	case	1933	1.8325479348091056	0.5271598551474392
ibd_crohn_myeloid	HLA-DRB1	control	677	1.7869366888295912	0.4977843426883309
ibd_crohn_myeloid	IFI30	case	1933	0.34585239674458607	0.2033109156751164
ibd_crohn_myeloid	IFI30	control	677	0.19222953503166754	0.15214180206794684
ibd_crohn_myeloid	IL1B	case	1933	1.7857713796403483	0.4578375581996896
ibd_crohn_myeloid	IL1B	control	677	0.46108390256294085	0.1935007385524372
ibd_crohn_myeloid	IRF1	case	1933	0.9016613691881449	0.3957578892912571
ibd_crohn_myeloid	IRF1	control	677	0.5106466085052094	0.31610044313146235
ibd_crohn_myeloid	LAMP1	case	1933	0.3619806005682704	0.21883083290222452
ibd_crohn_myeloid	LAMP1	control	677	0.3380058576685028	0.23929098966026588
ibd_crohn_myeloid	LAMP2	case	1933	0.38882456472482146	0.24418003103983446
ibd_crohn_myeloid	LAMP2	control	677	0.32626169790882503	0.23042836041358936
ibd_crohn_myeloid	LAMP3	case	1933	0.09376665334454662	0.05794102431453699
ibd_crohn_myeloid	LAMP3	control	677	0.011677330725827054	0.0103397341211226
ibd_crohn_myeloid	LDHA	case	1933	0.7043000089439937	0.35592343507501295
ibd_crohn_myeloid	LDHA	control	677	0.5353091298839586	0.34416543574593794
ibd_crohn_myeloid	LIPA	case	1933	0.30332461496857926	0.1800310398344542
ibd_crohn_myeloid	LIPA	control	677	0.6777351883049142	0.32644017725258495
ibd_crohn_myeloid	LPL	case	1933	0.014886843763245153	0.01189860320744956
ibd_crohn_myeloid	LPL	control	677	0.0	0.0
ibd_crohn_myeloid	MERTK	case	1933	0.04703538247753897	0.04345576823590274
ibd_crohn_myeloid	MERTK	control	677	0.07003585484955267	0.07533234859675036
ibd_crohn_myeloid	MSR1	case	1933	0.08637860328608903	0.0636316606311433
ibd_crohn_myeloid	MSR1	control	677	0.18548531986942807	0.14180206794682423
ibd_crohn_myeloid	NAMPT	case	1933	2.3656592288480653	0.6492498706673564
ibd_crohn_myeloid	NAMPT	control	677	1.0485795423501307	0.48301329394387
ibd_crohn_myeloid	NFKBIA	case	1933	1.8729941405928872	0.6057941024314537
ibd_crohn_myeloid	NFKBIA	control	677	1.5039161530961083	0.5642540620384048
ibd_crohn_myeloid	NLRC5	case	1933	0.06738852246531939	0.059493016037247805
ibd_crohn_myeloid	NLRC5	control	677	0.022869699786032448	0.022156573116691284
ibd_crohn_myeloid	OSM	case	1933	0.45767880707877795	0.1991722710812209
ibd_crohn_myeloid	OSM	control	677	0.15293385139642526	0.11078286558345643
ibd_crohn_myeloid	PFKFB3	case	1933	0.47655119505054405	0.2596999482669426
ibd_crohn_myeloid	PFKFB3	control	677	0.19735727419656604	0.16248153618906944
ibd_crohn_myeloid	PLIN2	case	1933	0.4758246788374457	0.2586652871184687
ibd_crohn_myeloid	PLIN2	control	677	0.7415805421936378	0.4091580502215657
ibd_crohn_myeloid	RFX5	case	1933	0.0519490874230488	0.0512157268494568
ibd_crohn_myeloid	RFX5	control	677	0.06716391349200224	0.0723781388478582
ibd_crohn_myeloid	SLC2A1	case	1933	0.021823645673332722	0.02224521469218831
ibd_crohn_myeloid	SLC2A1	control	677	0.015409227364979721	0.013293943870014771
ibd_crohn_myeloid	SPP1	case	1933	0.1472069808502811	0.04604242110708743
ibd_crohn_myeloid	SPP1	control	677	0.0	0.0
ibd_crohn_myeloid	STAT1	case	1933	0.8199135462384998	0.3781686497672012
ibd_crohn_myeloid	STAT1	control	677	0.27891491318378064	0.1964549483013294
ibd_crohn_myeloid	TAP1	case	1933	0.38290454910812827	0.23124676668391103
ibd_crohn_myeloid	TAP1	control	677	0.11254308551490838	0.10782865583456426
ibd_crohn_myeloid	TAP2	case	1933	0.12472172245513044	0.11019141231246767
ibd_crohn_myeloid	TAP2	control	677	0.04654072022068628	0.051698670605613
ibd_crohn_myeloid	TNF	case	1933	0.39335210778180973	0.16916709777547853
ibd_crohn_myeloid	TNF	control	677	0.153605711432576	0.0930576070901034
ibd_crohn_myeloid	TREM1	case	1933	0.5164030737004219	0.2338334195550957
ibd_crohn_myeloid	TREM1	control	677	0.025623758538200373	0.03545051698670606
ibd_crohn_myeloid	TREM2	case	1933	0.03164407678733121	0.024831867563372995
ibd_crohn_myeloid	TREM2	control	677	0.058012555150899744	0.05465288035450517
ibd_uc_myeloid	ACSL1	case	1161	0.658436521853258	0.3290267011197244
ibd_uc_myeloid	ACSL1	control	677	0.052654541919619005	0.05760709010339734
ibd_uc_myeloid	APOE	case	1161	0.09878142463340904	0.05167958656330749
ibd_uc_myeloid	APOE	control	677	0.15661660011513176	0.1137370753323486
ibd_uc_myeloid	B2M	case	1161	4.595026783732448	0.9974160206718347
ibd_uc_myeloid	B2M	control	677	4.23495689355527	0.9852289512555391
ibd_uc_myeloid	C1QA	case	1161	0.6115391656897985	0.19810508182601205
ibd_uc_myeloid	C1QA	control	677	1.5749798382665008	0.4254062038404727
ibd_uc_myeloid	C1QB	case	1161	0.5824717160730356	0.18604651162790697
ibd_uc_myeloid	C1QB	control	677	1.411686995044056	0.4150664697193501
ibd_uc_myeloid	C1QC	case	1161	0.44916363633445294	0.16709732988802756
ibd_uc_myeloid	C1QC	control	677	1.2391876300904232	0.40029542097488924
ibd_uc_myeloid	CCL2	case	1161	0.14842793864914694	0.06632213608957795
ibd_uc_myeloid	CCL2	control	677	0.18227394582919193	0.09010339734121123
ibd_uc_myeloid	CCL3	case	1161	1.185114161072076	0.34453057708871665
ibd_uc_myeloid	CCL3	control	677	0.4105107523358712	0.17872968980797638
ibd_uc_myeloid	CCL4	case	1161	1.1210547374681745	0.3178294573643411
ibd_uc_myeloid	CCL4	control	677	0.4638002749301668	0.1831610044313146
ibd_uc_myeloid	CD36	case	1161	0.2764440616297502	0.2153316106804479
ibd_uc_myeloid	CD36	control	677	0.29601349587929987	0.21565731166912852
ibd_uc_myeloid	CD44	case	1161	1.9061765614250261	0.7390180878552972
ibd_uc_myeloid	CD44	control	677	1.2782377659344888	0.5923190546528804
ibd_uc_myeloid	CD68	case	1161	1.0233819739672472	0.5581395348837209
ibd_uc_myeloid	CD68	control	677	0.9298727518031922	0.43131462333825704
ibd_uc_myeloid	CD74	case	1161	2.2756776892211055	0.6821705426356589
ibd_uc_myeloid	CD74	control	677	2.150497396753128	0.534711964549483
ibd_uc_myeloid	CIITA	case	1161	0.24632792074308263	0.21619293712316967
ibd_uc_myeloid	CIITA	control	677	0.16179652779158504	0.1536189069423929
ibd_uc_myeloid	CTSB	case	1161	1.4583165977222015	0.5986218776916451
ibd_uc_myeloid	CTSB	control	677	1.1910232981840922	0.4505169867060561
ibd_uc_myeloid	CTSD	case	1161	0.9993321692712437	0.5262704565030146
ibd_uc_myeloid	CTSD	control	677	1.5508022611364263	0.6100443131462334
ibd_uc_myeloid	CTSS	case	1161	1.9783956440797055	0.7243755383290267
ibd_uc_myeloid	CTSS	control	677	1.0813656310688806	0.4357459379615953
ibd_uc_myeloid	CXCL10	case	1161	0.2185538081245959	0.0921619293712317
ibd_uc_myeloid	CXCL10	control	677	0.055274323016876965	0.025110782865583457
