context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag	candidate_strong_support_flag
IBD_epithelial	ATOX1	ENSG00000177556	13923.0	30	30	0				-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	token_not_detected_in_selected_disease_cells			False	False
IBD_epithelial	SQLE	ENSG00000104549	2916.0	30	30	1	-0.0002716183662414	0.0054972320795059	0.2935603260993957	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.43060816290213877	-0.010014962286610701	False	False
IBD_epithelial	TPM4	ENSG00000167460	11886.0	30	30	5	0.0005527138710021	0.0247323401272296	0.562570333480835	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.1801288633006919	0.009220145761113	True	True
IBD_epithelial	LDLRAD3	ENSG00000179241	14189.0	30	30	0				-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	token_not_detected_in_selected_disease_cells			False	False
IBD_epithelial	C1QTNF1	ENSG00000173918	13328.0	30	30	0				-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	token_not_detected_in_selected_disease_cells			False	False
IBD_epithelial	HIF1A	ENSG00000100644	2347.0	30	30	2	-0.0003602206707	0.0153090273961424	0.2888732850551605	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.6037361881697063	-0.00020316696997420107	False	False
IBD_epithelial	CBX3	ENSG00000122565	5228.0	30	30	2	0.0004303455352783	0.0237570144236087	0.315837025642395	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.9410223474082159	0.0082448200574921	False	False
IBD_epithelial	CFB	ENSG00000243649	18408.0	30	30	2	-0.0002673268318176	0.0649012476205825	0.3234497606754303	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.4222225471475571	0.049389053254465895	False	False
IBD_epithelial	TIMP1	ENSG00000102265	2635.0	30	30	2	0.0006636679172515	0.0484741255640983	0.7028076648712158	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.3969319706237144	0.0329619311979817	False	False
IBD_epithelial	ACSL3	ENSG00000123983	5378.0	30	30	1	-0.0003055334091186	0.0034151901490986	0.2275153398513794	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.49687782074087006	-0.012097004217018	False	False
IBD_epithelial	C15ORF48			30	30	0				-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	not_in_geneformer_token_dictionary			False	False
IBD_epithelial	CHI3L1	ENSG00000133048	6605.0	30	30	0				-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	token_not_detected_in_selected_disease_cells			False	False
