context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation
IBD_epithelial	APOC1	ENSG00000130208	6146	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	APOE	ENSG00000130203	6144	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	LPL	ENSG00000175445	13577	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	PLIN2	ENSG00000147872	8901	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	ACSL3	ENSG00000123983	5378	30	30	3	-4.736582559417002e-05	0.025010166689753532	0.2753172814846039	0.0001358295480410258	0.0004366928323041085	0.012306806755562623	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_epithelial	LAMP3	ENSG00000078081	1404	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	CTSL	ENSG00000135047	6899	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	CTSB	ENSG00000164733	11238	30	30	2	-0.00025132298469543457	0.05006319284439087	0.27444714307785034	0.0001358295480410258	0.0004366928323041085	0.012306806755562623	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_epithelial	CD44	ENSG00000026508	457	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	CHI3L1	ENSG00000133048	6605	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	CD300E	ENSG00000186407	15493	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	CD300LF	ENSG00000186074	15420	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	LGALS8	ENSG00000116977	4608	30	30	1	4.488229751586914e-05	-0.016117634251713753	0.20592980086803436	0.0001358295480410258	0.0004366928323041085	0.012306806755562623	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_epithelial	UGCG	ENSG00000148154	8924	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	GBA2	ENSG00000070610	1117	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	GPNMB	ENSG00000136235	7137	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	FABP5	ENSG00000164687	11227	30	30	5	0.0002452373446431011	0.05148638039827347	0.5899984240531921	0.0001358295480410258	0.0004366928323041085	0.012306806755562623	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_epithelial	MSR1	ENSG00000038945	554	30	30	0				0.0001358295480410258	0.0004366928323041085	0.012306806755562623	token_not_detected_in_selected_disease_cells
IBD_epithelial	SCARB2	ENSG00000138760	7621	30	30	3	4.869699478149414e-05	0.01760311983525753	0.268057256937027	0.0001358295480410258	0.0004366928323041085	0.012306806755562623	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	APOC1	ENSG00000130208	6146	30	30	1	-0.0002999305725097656	0.07083326578140259	0.7148743271827698	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	APOE	ENSG00000130203	6144	30	30	7	-0.0009178093750961125	-0.07390987873077393	1.2537564039230347	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	LPL	ENSG00000175445	13577	30	30	0				-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	token_not_detected_in_selected_disease_cells
IBD_stromal	PLIN2	ENSG00000147872	8901	30	30	0				-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	token_not_detected_in_selected_disease_cells
IBD_stromal	ACSL3	ENSG00000123983	5378	30	30	0				-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	token_not_detected_in_selected_disease_cells
IBD_stromal	LAMP3	ENSG00000078081	1404	30	30	0				-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	token_not_detected_in_selected_disease_cells
IBD_stromal	CTSL	ENSG00000135047	6899	30	30	4	-0.00015676021575927734	-0.0020011169835925102	0.4314708113670349	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	CTSB	ENSG00000164733	11238	30	30	4	-6.529688835144043e-05	-0.005436843726783991	0.3780495822429657	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	CD44	ENSG00000026508	457	30	30	3	8.030732715269551e-05	0.010674373246729374	0.5617672204971313	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	CHI3L1	ENSG00000133048	6605	30	30	6	-0.00012228886771481484	0.08070289343595505	0.5805663466453552	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	CD300E	ENSG00000186407	15493	30	30	0				-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	token_not_detected_in_selected_disease_cells
IBD_stromal	CD300LF	ENSG00000186074	15420	30	30	0				-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	token_not_detected_in_selected_disease_cells
IBD_stromal	LGALS8	ENSG00000116977	4608	30	30	3	-0.0001587669103173539	-0.0022183663677424192	0.2954619526863098	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	UGCG	ENSG00000148154	8924	30	30	11	-9.056655107997358e-05	0.003569704480469227	0.32648494839668274	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	GBA2	ENSG00000070610	1117	30	30	1	-0.00027489662170410156	-0.006636521313339472	0.32325083017349243	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	GPNMB	ENSG00000136235	7137	30	30	0				-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	token_not_detected_in_selected_disease_cells
IBD_stromal	FABP5	ENSG00000164687	11227	30	30	10	-0.00011345148232067004	-0.08646078407764435	0.8267992734909058	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_stromal	MSR1	ENSG00000038945	554	30	30	0				-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	token_not_detected_in_selected_disease_cells
IBD_stromal	SCARB2	ENSG00000138760	7621	30	30	1	-3.075599670410156e-05	-0.0449068620800972	0.3534640371799469	-0.00010545204083124796	0.0004337186848319047	-0.011820032052734556	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_myeloid	APOC1	ENSG00000130208	6146	30	30	2	-0.0005855262279510498	0.01750185713171959	0.7900557518005371	8.717775344848632e-05	0.0006004657870704775	0.01677890300634317	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_myeloid	APOE	ENSG00000130203	6144	30	30	1	0.0005361437797546387	0.0334310457110405	0.9421608448028564	8.717775344848632e-05	0.0006004657870704775	0.01677890300634317	positive_shift_means_deleted_embedding_moved_toward_control_centroid
IBD_myeloid	LPL	ENSG00000175445	13577	30	30	0				8.717775344848632e-05	0.0006004657870704775	0.01677890300634317	token_not_detected_in_selected_disease_cells
