analysis	marker_compartment	module	n_genes_present	genes_present
gse315138_celiac_marker	b_plasma_like	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
gse315138_celiac_marker	b_plasma_like	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
gse315138_celiac_marker	b_plasma_like	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	b_plasma_like	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
gse315138_celiac_marker	b_plasma_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
gse315138_celiac_marker	b_plasma_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
gse315138_celiac_marker	b_plasma_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
gse315138_celiac_marker	b_plasma_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
gse315138_celiac_marker	b_plasma_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
gse315138_celiac_marker	epithelial_like	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
gse315138_celiac_marker	epithelial_like	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
gse315138_celiac_marker	epithelial_like	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	epithelial_like	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
gse315138_celiac_marker	epithelial_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
gse315138_celiac_marker	epithelial_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
gse315138_celiac_marker	epithelial_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
gse315138_celiac_marker	epithelial_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
gse315138_celiac_marker	epithelial_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
gse315138_celiac_marker	myeloid_apc_like	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
gse315138_celiac_marker	myeloid_apc_like	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
gse315138_celiac_marker	myeloid_apc_like	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	myeloid_apc_like	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
gse315138_celiac_marker	myeloid_apc_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
gse315138_celiac_marker	myeloid_apc_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
gse315138_celiac_marker	myeloid_apc_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
gse315138_celiac_marker	myeloid_apc_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
gse315138_celiac_marker	myeloid_apc_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
gse315138_celiac_marker	stromal_endothelial_like	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
gse315138_celiac_marker	stromal_endothelial_like	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
gse315138_celiac_marker	stromal_endothelial_like	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	stromal_endothelial_like	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
gse315138_celiac_marker	stromal_endothelial_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
gse315138_celiac_marker	stromal_endothelial_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
gse315138_celiac_marker	stromal_endothelial_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
gse315138_celiac_marker	stromal_endothelial_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
gse315138_celiac_marker	stromal_endothelial_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
gse315138_celiac_marker	t_cell_like	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
gse315138_celiac_marker	t_cell_like	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
gse315138_celiac_marker	t_cell_like	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	t_cell_like	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
gse315138_celiac_marker	t_cell_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
gse315138_celiac_marker	t_cell_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
gse315138_celiac_marker	t_cell_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
gse315138_celiac_marker	t_cell_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
gse315138_celiac_marker	t_cell_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
