context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag	candidate_strong_support_flag
IBD_epithelial	CASP4	ENSG00000196954	16363.0	30	30	2	-0.0004554986953735	-0.0213100388646125	0.3035458922386169	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.789908504611263	-0.0368222332307291	False	False
IBD_stromal	CASP4	ENSG00000196954	16363.0	30	30	0				-0.0001074199875195	0.0006450485759158	-0.0020368815748952	token_not_detected_in_selected_disease_cells			False	False
IBD_myeloid	CASP4	ENSG00000196954	16363.0	30	30	4	6.276369094848633e-05	0.0221243444830179	0.2840051352977752	1.783867677052816e-05	0.0008412958703254	0.004794660298891	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.0533997797476194	0.0173296841841269	True	False
psoriasis_keratinocyte	CASP4	ENSG00000196954	16363.0	30	30	0				-6.662756204605103e-05	0.0006952022839323	0.0055225943389814	token_not_detected_in_selected_disease_cells			False	False
psoriasis_macrophage	CASP4	ENSG00000196954	16363.0	30	30	2	0.0002297461032867	-0.0814444124698638	0.4805368781089782	-6.665239731470743e-05	0.0005145073064085	0.0020135511721794	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.5760821992410694	-0.0834579636420431	False	False
psoriasis_dendritic	CASP4	ENSG00000196954	16363.0	30	30	0				2.90075937906901e-07	0.0004877885938144	0.000814327399712	token_not_detected_in_selected_disease_cells			False	False
sjogren_acinar	CASP4	ENSG00000196954	16363.0	30	30	1	0.0012552738189697	0.038227055221796	0.2832498550415039	-9.232560793558755e-05	0.0011990367216174	0.0003677896398585	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.1239017142756804	0.0378592655819375	False	False
sjogren_duct	CASP4	ENSG00000196954	16363.0	30	30	0				-0.0001781865954399	0.0006892292881287	-0.0067122023475045	token_not_detected_in_selected_disease_cells			False	False
sjogren_APC	CASP4	ENSG00000196954	16363.0	30	30	2	0.0007994472980499	0.0367773286998271	0.4443488121032715	-0.000134523709615	0.0008610320518694	-0.0044761885267992	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.084711080890823	0.0412535172266263	False	False
t1d_acinar	CASP4	ENSG00000196954	16363.0	30	30	7	0.0002786687400657	-0.0115781789645552	0.3865777850151062	8.162260055541993e-05	0.0006158845558434	-0.0116091135598253	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.3199400563640415	3.0934595270100396e-05	True	False
t1d_ductal	CASP4	ENSG00000196954	16363.0	30	30	2	-5.456805229187012e-05	0.0124407159164547	0.3508633971214294	-7.47576355934143e-05	0.0005466271581149	-0.0028951752348802	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.0369348339207478	0.0153358911513349	False	False
t1d_stellate	CASP4	ENSG00000196954	16363.0	30	30	0				-8.74742865562439e-05	0.0006692878292547	-0.0181002003063137	token_not_detected_in_selected_disease_cells			False	False
t1d_endothelial	CASP4	ENSG00000196954	16363.0	30	30	2	0.0002745389938354	-0.0011698938906192	0.3822447061538696	-8.282562096913655e-05	0.0007962819951889	0.0008340756544688	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.4487915298395762	-0.002003969545088	False	False
