gene	primary_gene	present_analysis_count	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	raw_positive_analyses	retained_positive_test_count	retained_univariate_positive_test_count	retained_multivariable_positive_test_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_analyses	top_retained_tests
C15ORF48	True	17	3	3	0	ibd_uc_myeloid:2.42,p=0.0035;ibd_crohn_myeloid:1.44,p=0.024;t1d_endothelial_cell:0.848,p=0.046	16	14	2	3	3	1	1	0		ibd_crohn_myeloid|hla_ii_apc:1.58,p=0.0017;ibd_uc_myeloid|hla_ii_apc:1.89,p=0.0069;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.82,p=0.0084;ibd_uc_myeloid|lipid_loader_repair:1.54,p=0.0096;t1d_endothelial_cell|lysosomal_apc:0.656,p=0.01;ibd_crohn_myeloid|mif_cd74_receptor_state:1.47,p=0.019;ibd_crohn_myeloid|complement_effector:1.45,p=0.023;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.14,p=0.023;t1d_endothelial_cell|core_lysosomal_lipid:0.423,p=0.023;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.802,p=0.023
SNX10	True	17	2	2	0	ibd_crohn_myeloid:0.825,p=2.5e-05;ibd_uc_myeloid:0.651,p=0.01	12	11	1	2	2	0	0	0		ibd_crohn_myeloid|hla_ii_apc:0.801,p=0.00011;ibd_crohn_myeloid|complement_effector:0.745,p=0.00041;ibd_crohn_myeloid|lipid_loader_repair:0.723,p=0.00058;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.744,p=0.00076;ibd_crohn_myeloid|mif_cd74_receptor_state:0.676,p=0.0023;ibd_crohn_myeloid|lysosomal_apc:0.635,p=0.0025;ibd_crohn_myeloid|core_lysosomal_lipid:0.634,p=0.0027;ibd_crohn_myeloid|complement_phagocytosis:0.67,p=0.0032;ibd_crohn_myeloid|inflammatory_nfkb:0.475,p=0.012;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.493,p=0.036
LIPA	False	17	2	2	2	t1d_ductal_cell:0.316,p=0.0016;psoriasis_keratinocyte:0.304,p=0.0072	5	5	0	2	2	2	2	0		t1d_ductal_cell|lipid_loader_repair:0.275,p=0.00031;t1d_ductal_cell|c1q_phagocytic_myeloid:0.316,p=0.0015;t1d_ductal_cell|hif_nampt_metabolic:0.233,p=0.0016;t1d_ductal_cell|complement_phagocytosis:0.312,p=0.0019;psoriasis_keratinocyte|inflammatory_nfkb:0.271,p=0.023
DAP	False	17	3	3	0	psoriasis_skin_stromal:0.245,p=0.0051;ibd_uc_epithelial:0.222,p=0.0062;ibd_crohn_epithelial:0.268,p=0.042	6	6	0	2	2	1	1	0		psoriasis_skin_stromal|inflammatory_nfkb:0.246,p=0.0021;psoriasis_skin_stromal|hif_nampt_metabolic:0.239,p=0.004;ibd_uc_epithelial|complement_phagocytosis:0.218,p=0.0061;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.223,p=0.0063;ibd_uc_epithelial|lysosomal_apc:0.214,p=0.0067;psoriasis_skin_stromal|lipid_loader_repair:0.239,p=0.023
STAT1	False	17	5	3	0	ibd_crohn_myeloid:0.911,p=0.0046;ibd_crohn_epithelial:0.347,p=0.011;ibd_uc_myeloid:0.373,p=0.025;ibd_crohn_stromal:0.624,p=0.027;psoriasis_skin_stromal:0.562,p=0.046	21	20	1	4	2	1	1	0		ibd_crohn_myeloid|hla_ii_apc:0.74,p=0.00061;ibd_crohn_stromal|complement_effector:0.524,p=0.001;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.942,p=0.0025;psoriasis_skin_stromal|hif_nampt_metabolic:0.578,p=0.0041;ibd_crohn_myeloid|complement_phagocytosis:0.916,p=0.0042;ibd_crohn_stromal|inflammatory_nfkb:0.707,p=0.0043;psoriasis_skin_stromal|inflammatory_nfkb:0.553,p=0.0063;ibd_crohn_myeloid|lipid_loader_repair:0.878,p=0.0069;ibd_crohn_stromal|hif_nampt_metabolic:0.69,p=0.0075;ibd_crohn_myeloid|inflammatory_nfkb:0.87,p=0.0085
CHI3L1	False	17	2	2	0	ibd_uc_stromal:4.14,p=0.02;psoriasis_skin_stromal:0.477,p=0.047	8	8	0	2	2	1	1	0		psoriasis_skin_stromal|hif_nampt_metabolic:0.455,p=0.01;ibd_uc_stromal|complement_effector:4.19,p=0.012;ibd_uc_stromal|ifn_apc:4.02,p=0.016;ibd_uc_stromal|hla_ii_apc:4.19,p=0.018;psoriasis_skin_stromal|inflammatory_nfkb:0.481,p=0.018;psoriasis_skin_stromal|lipid_loader_repair:0.493,p=0.02;ibd_uc_stromal|lysosomal_apc:4.03,p=0.024;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.48,p=0.045
SDC4	False	17	2	2	0	t1d_endothelial_cell:0.481,p=0.0012;ibd_uc_myeloid:0.405,p=0.018	8	7	1	2	2	1	1	0		t1d_endothelial_cell|lysosomal_apc:0.441,p=0.00028;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.466,p=0.0018;t1d_endothelial_cell|hla_ii_apc:0.467,p=0.0028;t1d_endothelial_cell|ifn_apc:0.457,p=0.0034;t1d_endothelial_cell|hif_nampt_metabolic:0.385,p=0.0039;t1d_endothelial_cell|lipid_loader_repair:0.312,p=0.0088;t1d_endothelial_cell|core_lysosomal_lipid:0.283,p=0.021;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.35,p=0.042
CD300LF	False	17	1	1	0	psoriasis_skin_apc:0.514,p=0.0062	6	6	0	1	1	1	1	0		psoriasis_skin_apc|c1q_phagocytic_myeloid:0.515,p=0.0008;psoriasis_skin_apc|complement_phagocytosis:0.514,p=0.0012;psoriasis_skin_apc|hif_nampt_metabolic:0.466,p=0.011;psoriasis_skin_apc|lipid_loader_repair:0.498,p=0.022;psoriasis_skin_apc|mif_cd74_receptor_state:0.493,p=0.024;psoriasis_skin_apc|lysosomal_apc:0.362,p=0.037
CTSB	False	17	2	1	0	psoriasis_keratinocyte:1.02,p=0.0097;psoriasis_skin_stromal:0.303,p=0.015	6	6	0	2	1	2	1	0		psoriasis_skin_stromal|lipid_loader_repair:0.313,p=0.004;psoriasis_skin_stromal|inflammatory_nfkb:0.306,p=0.011;psoriasis_keratinocyte|inflammatory_nfkb:0.84,p=0.012;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.288,p=0.02;psoriasis_keratinocyte|hif_nampt_metabolic:0.914,p=0.031;psoriasis_skin_stromal|hif_nampt_metabolic:0.291,p=0.034
CTSL	False	17	1	1	0	psoriasis_keratinocyte:0.702,p=0.0043	1	1	0	1	1	1	1	0		psoriasis_keratinocyte|inflammatory_nfkb:0.638,p=0.015
