gene	routing_decision	manual_status	manual_reason	module_relevance	positive_disease_count	negative_disease_count	positive_compartment_count	negative_compartment_count	positive_diseases	negative_diseases	top_positive_compartments	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	contexts_with_token	disease_cells_with_token	support_contexts	strong_support_contexts	mean_cosine_z_vs_random	mean_projection_shift	opentargets_evidence_present	opentargets_disease_count	opentargets_channels_present	survivor_priority_score
CHI3L1	demote	prior_art_demote	crowded YKL-40 biomarker/target prior art	curated_lipid_lysosomal_neighborhood	3	0	4	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_stromal:5.94,p=0.00056;ibd_crohn_stromal:4.7,p=0.011;t1d_endothelial_cell:2.71,p=0.038;t1d_stellate_cell:1.53,p=0.043	2.006853151074319	1.3467454734949036	0.0046126032857275	0.8344760564031432	5.0	11.0	0.0	0.0	0.0981595032981655	0.0180594950914382	False			11.293490946989808
LTA4H	demote	prior_art_demote	direct EAE/MS and inflammatory-disease inhibitor prior art; prior Geneformer veto	unrestricted_cross_disease_survivor	3	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_crohn_myeloid:1.23,p=0.0072;t1d_acinar_cell:0.427,p=0.0087;ibd_uc_myeloid:1.18,p=0.02	0.8088474560590342	1.3569435291855296	0.0063566148101549	0.8344760564031432							False			9.91388705837106
APOC1	demote	model_demote	post-triage Geneformer deletion screen showed no normalization support	curated_lipid_lysosomal_neighborhood	3	1	3	1	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	t1d_acinar_cell:1.51,p=0.0077;sjogren_gland_epithelial:1.18,p=0.0097;ibd_uc_epithelial:1.28,p=0.047	0.8063088065414767	0.960873317311374	0.0333487255864159	0.8506970233122761	3.0	4.0	0.0	0.0	-1.091748006188827	-0.0170548669993877	False			8.621746634622749
CBX3	hold	generic_hold	chromatin/proliferation-associated; no clear lipid-lysosomal intervention point	unrestricted_cross_disease_survivor	4	0	10	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		ibd_crohn_epithelial:0.379,p=0.0012;ibd_uc_stromal:0.706,p=0.0014;psoriasis_skin_stromal:0.495,p=0.0031;t1d_stellate_cell:0.392,p=0.0038;t1d_acinar_cell:0.707,p=0.0083;psoriasis_keratinocyte:0.812,p=0.012;ibd_uc_myeloid:0.378,p=0.026;t1d_ductal_cell:0.376,p=0.027	0.3505111291715241	1.1456836022078896	0.0165873089490037	0.8372898579012464							False			12.69136720441578
C15ORF48	hold	model_blocked_hold	strong expression marker but absent from Geneformer token dictionary in the current route	unrestricted_cross_disease_survivor	3	0	4	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_myeloid:4.45,p=2.9e-05;ibd_crohn_myeloid:3.88,p=0.00061;t1d_endothelial_cell:3.21,p=0.0014;t1d_stellate_cell:3.09,p=0.015	1.223015588579818	1.4379284490095372	0.0037534871126623	0.8344760564031432							False			10.475856898019074
CXCL9	hold	generic_hold	IFN/CXCR3 chemokine axis; likely broad inflammatory trafficking rather than module-specific node	unrestricted_cross_disease_survivor	3	0	3	0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		t1d_stellate_cell:1.47,p=0.015;sjogren_gland_apc:2.6,p=0.025;ibd_uc_myeloid:3.28,p=0.041	2.5544176187121583	0.9836621598115608	0.0309913568123503	0.8506970233122761	2.0	3.0	0.0	0.0	0.7202243997707136	0.0361523702740669	False			9.167324319623122
PPP3CA	hold	prior_art_hold	calcineurin is drugged by cyclosporine/tacrolimus with broad toxicity and direct transplant/autoimmunity precedent	unrestricted_cross_disease_survivor	3	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_epithelial:1.13,p=0.021;ibd_crohn_epithelial:0.631,p=0.026;t1d_acinar_cell:0.448,p=0.039	0.3662550380794975	0.9635579832567176	0.0343364012152779	0.8506970233122761	4.0	8.0	0.0	0.0	-0.3499631312952315	-0.0151299240533262	False			9.127115966513436
SNX10	test_or_scout	unknown		unrestricted_cross_disease_survivor	3	0	4	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_crohn_myeloid:1.94,p=0.00012;ibd_uc_myeloid:1.31,p=0.0026;t1d_endothelial_cell:2.53,p=0.0028;t1d_stellate_cell:1.72,p=0.017	0.712408223548989	1.1823545258857546	0.0127398445881719	0.8349413280632139	7.0	25.0	4.0	1.0	-0.0319654384098506	0.0058473419963515	False			13.964709051771509
DAP	test_or_scout	unknown		unrestricted_cross_disease_survivor	3	0	4	0	Crohn disease;psoriasis;ulcerative colitis		ibd_uc_epithelial:0.851,p=0.0022;psoriasis_skin_stromal:0.636,p=0.0025;psoriasis_skin_apc:0.662,p=0.0069;ibd_crohn_epithelial:0.889,p=0.0076	0.3933456450044126	1.2478016829418357	0.0080691967127082	0.8344760564031432	10.0	55.0	3.0	1.0	-0.2188240310841635	0.0091395323863252	False			13.09560336588367
FMNL2	test_or_scout	unknown		unrestricted_cross_disease_survivor	4	0	5	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_epithelial:1.27,p=0.0029;ibd_crohn_epithelial:0.603,p=0.01;psoriasis_keratinocyte:1.46,p=0.015;t1d_endothelial_cell:1.33,p=0.019;t1d_ductal_cell:0.885,p=0.035	0.4116873433440275	1.0373027404352155	0.0323812070948891	0.8506970233122761	4.0	14.0	1.0	0.0	-0.0928349243473628	0.0017445090925321	False			13.074605480870432
