resource	label	query	status	count	top_hits	url
NCBI gds	SEL1L3_perturbation_geo	SEL1L3[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	200	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=SEL1L3%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=5
NCBI gds	SEL1L3_perturbation_immune_geo	SEL1L3[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation) AND (immune OR macrophage OR monocyte OR stromal OR epithelial OR autoimmune OR inflammation OR inflammatory)	200	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=SEL1L3%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29+AND+%28immune+OR+macrophage+OR+monocyte+OR+stromal+OR+epithelial+OR+autoimmune+OR+inflammation+OR+inflammatory%29&retmode=json&retmax=5
NCBI pubmed	SEL1L3_perturbation_pubmed	SEL1L3[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	200	3	36930113: The specific phagocytosis regulators could predict recurrence and therapeutic effect in thyroid cancer: A study based on bioinformatics analysis. (Medicine (Baltimore)) | 34993975: Identification of hub genes related to immune cell infiltration in periodontitis using integrated bioinformatic analysis. (J Periodontal Res) | 32274496: Activin A Determines Steroid Levels and Composition in the Fetal Testis. (Endocrinology)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=SEL1L3%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=5
NCBI pubmed	SEL1L3_perturbation_immune_pubmed	SEL1L3[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation) AND (immune OR macrophage OR monocyte OR stromal OR epithelial OR autoimmune OR inflammation OR inflammatory)	200	2	36930113: The specific phagocytosis regulators could predict recurrence and therapeutic effect in thyroid cancer: A study based on bioinformatics analysis. (Medicine (Baltimore)) | 34993975: Identification of hub genes related to immune cell infiltration in periodontitis using integrated bioinformatic analysis. (J Periodontal Res)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=SEL1L3%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29+AND+%28immune+OR+macrophage+OR+monocyte+OR+stromal+OR+epithelial+OR+autoimmune+OR+inflammation+OR+inflammatory%29&retmode=json&retmax=5
Europe PMC	SEL1L3_perturbation_europepmc	"""SEL1L3"" AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	200	146	40385018: Downregulated TRAF3IP2-AS1 promotes hepatocellular carcinoma progression through the miR-374a-5p/SEL1L1/RPL6 axis to enhance DNA damage repair. (2025) | 41208866: Scorpion-Centipede extracts mitigate ovariectomy-induced osteoporosis in mice through facilitating Cx3cr1 expression. (2025) | 40612944: Bridging aging, immunity, and atherosclerosis: novel insights into senescence-related genes. (2025) | 41304867: The SP1-SuperEnhancer-SPHK1 Axis Mediates Niraparib Resistance in TNBC. (2025) | 37993256: SEL1L3 as a link molecular between renal cell carcinoma and atherosclerosis based on bioinformatics analysis and experimental verification. (2023)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SEL1L3%22+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=5&resultType=lite
Europe PMC	SEL1L3_immune_perturbation_europepmc	"""SEL1L3"" AND (immune OR macrophage OR monocyte OR stromal OR epithelial OR autoimmune OR inflammation OR inflammatory) AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	200	131	40612944: Bridging aging, immunity, and atherosclerosis: novel insights into senescence-related genes. (2025) | 40385018: Downregulated TRAF3IP2-AS1 promotes hepatocellular carcinoma progression through the miR-374a-5p/SEL1L1/RPL6 axis to enhance DNA damage repair. (2025) | 41607788: Tumor heterogeneity assessment using single-cell RNA sequencing (scRNA-seq): applications in lung cancer for diagnosis and treatment. (2025) | 40141437: Tumor Microenvironment Dynamics of Triple-Negative Breast Cancer Under Radiation Therapy. (2025) | 39877037: Screening of biomarkers for diagnosing chronic kidney disease and heart failure with preserved ejection fraction through bioinformatics analysis. (2025)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SEL1L3%22+AND+%28immune+OR+macrophage+OR+monocyte+OR+stromal+OR+epithelial+OR+autoimmune+OR+inflammation+OR+inflammatory%29+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=5&resultType=lite
LINCS Data Portal entity API	SEL1L3_entity_search	SEL1L3	200	0		https://lincsportal.ccs.miami.edu/dcic/api/fetchentities?searchTerm=SEL1L3
SigCom LINCS metadata API	SEL1L3_entity_find	SEL1L3	500	0	"{""error"":{""statusCode"":500,""message"":""Internal Server Error""}}"	https://maayanlab.cloud/sigcom-lincs/metadata-api/entities/find?search=SEL1L3
ChEMBL target search	SEL1L3_target	SEL1L3	200	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SEL1L3&limit=10
NCBI gds	FXYD5_perturbation_geo	FXYD5[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	200	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=FXYD5%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=5
