gene	sources_present	manual_route	manual_blocker	closure_text	wave81_call	wave81_score	direct_perturbation	direct_perturbation_detail	foundation_model_support_w81	foundation_model_detail_w81	model_support_contexts_w57	model_strong_contexts_w57	wave57_call	best_model_context	best_model_z	best_model_projection	reachability_score	intervention_class	chembl_activity_count	chembl_target_id	manual_prior_blocked	cross_autoimmune_score_w83	genetic_breadth_disease_count	genetic_breadth_diseases	qtl_breadth_disease_count	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	ms_genetic_score	ms_expr_delta	ms_expr_p	positive_disease_count	positive_diseases	negative_disease_count	retained_residual_disease_count	strict_residual_disease_count	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	ibd_response_fdr10	efferocytosis_screen_call	efferocytosis_contrast_lfc	efferocytosis_contrast_fdr	wave91_call	wave83_call	wave62_call	has_direct_perturbation	has_foundation_support	has_nonexpression_anchor	ms_anchor	cross_disease_anchor	direction_or_response_support	reachable_modality	prior_or_safety_blocked	wrong_direction_or_undruggable	expression_only	wave103_score	wave103_gate_count	wave103_missing_gates	wave103_call	wave103_call_priority
CD9	wave81;wave37	surface tetraspanin; local CRISPR suggests knockout enhances efferocytosis	tetraspanin pleiotropy and unclear safe inhibition/agonism direction	 |  |  |  |  | tetraspanin pleiotropy and unclear safe inhibition/agonism direction	PARK_PERTURBATION_FIRST_CANDIDATE	8.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	1.1100295973517351	0.0019686305906988	0.0		0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7466880318269618	1.0				True	False	True	True	False	True	False	False	True	False	7.0	3	cross_disease_anchor;reachable_modality	NO_GO_WRONG_DIRECTION_OR_UNDRUGGABLE	3
DAB2	wave81;wave37	intracellular adaptor; DAB2 loss enhances macrophage efferocytosis in local CRISPR screen	not externally druggable; agonist/restoration route is unclear	 |  |  |  |  | not externally druggable; agonist/restoration route is unclear	PARK_PERTURBATION_FIRST_CANDIDATE	9.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	0.5378984279794476	0.0111306912319104	0.0		0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.6555390813258746	0.9965506589785832				True	False	True	True	False	True	False	False	True	False	7.0	3	cross_disease_anchor;reachable_modality	NO_GO_WRONG_DIRECTION_OR_UNDRUGGABLE	3
PARK7	wave81;wave57;wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	8.0	0.0		1.0	wave57:support=2,strong=0,token_contexts=3	2.0	0.0	NO_GO_MODEL_SCREEN	IBD_myeloid	0.4312510315284708	0.0110094174775037	0.0	intracellular_other	0.0		False	7.0	5.0	AS;Crohn;Psoriasis;RA;UC	1.0	0.0	1.0	0.0	0.1710418567143854	0.4469378955677691	3.0	Sjogren syndrome;psoriasis;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.4550834429309693	0.9965506589785832		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	True	True	False	True	True	False	False	False	False	11.7	3	ms_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
BLK	wave81;wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0	intracellular_other	0.0		False	4.8	4.0	RA;SLE	2.0	2.0	2.0	0.0	0.0	1.0	1.0	Sjogren syndrome	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3763039238517932	0.9971256078463696		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	True	False	True	False	True	True	False	False	False	False	11.4	3	ms_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
LRRC61	wave81;wave37			 |  |  |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	0.697050672079687	0.5819581822185158	4.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.6800237937757359	1.0				True	False	True	False	True	True	False	False	False	False	10.6	3	ms_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
CLEC7A	wave81;wave37;wave62			 |  |  |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	1.0	0.0	-0.3549463925802421	0.128706751389563	3.0	Crohn disease;psoriasis;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.6670469582228472	0.9971256078463696			NO_GO_WAVE62_TARGET_RESOLUTION	True	False	True	False	True	True	False	False	False	False	10.2	3	ms_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
FAM49B	wave81;wave37			 |  |  |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	0.1048061004481475	0.3462797066387407	3.0	Crohn disease;psoriasis;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7903403938506244	0.920009505703422				True	False	True	False	True	True	False	False	False	False	10.2	3	ms_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
ITPR3	wave83;wave37;wave62			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					4.0	intracellular_other	0.0	CHEMBL3904	False	6.5	5.0	T1D	2.0	1.0	2.0	0.0	0.0	0.4260857806918434	2.0	type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.328969669442807	0.9971256078463696		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	True	False	False	False	8.3	3	ms_anchor;direction_or_response_support	NO_GO_NO_MS_ANCHOR	4
NKD1	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	5.5	8.0	Crohn;UC	0.0	2.0	0.0	0.0	0.0	0.8167305448554346	2.0	Sjogren syndrome;type 1 diabetes mellitus	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.0551758703737815	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.8	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
TNFSF15	wave81;wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor |  | insufficient_independent_convergence_after_guardrails |  |  | 	NO_GO_NO_PERTURBATION_SUPPORT	4.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	6.5	10.0	Crohn;Psoriasis;UC	2.0	3.0	2.0	0.0	0.3944092138441286	0.7556576392930524	2.0	psoriasis;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.1762724265502284	0.9971256078463696		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.8	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
