gene	wave30_axis	wave30_call	wave30_centrality_score	wave30_intervention_score	wave30_gate_failures	wave30_manual_prior_risk	wave30_manual_druggability	wave30_manual_selectivity
CIITA	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
STAT1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
IFI30	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
IRF1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
CD74	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
IFNG	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
IFNGR1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
IFNGR2	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
JAK1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
JAK2	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
CD44	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.0	0.5
CXCR4	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.0	0.5
DDT	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.0	0.5
MIF	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.0	0.5
CD74	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.0	0.5
HLA-DRA	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	medium_high	1.5	1.0
LILRB3	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	medium_high	1.5	1.0
LILRB1	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	medium_high	1.5	1.0
