gene	source	value
CLEC7A	wave110	{'candidate': 'CLEC7A', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.65, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=3.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
CLEC7A	wave81	{'gene': 'CLEC7A', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 3, 'broad_positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'ibd_response_nominal': 0, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': 'NO_GO_WAVE62_TARGET_RESOLUTION', 'ms_delta_log2': -0.3549463925802421, 'ms_p': 0.128706751389563, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
CLEC7A	wave37	{'gene_symbol': 'CLEC7A', 'n_sgrna': 4, 'median_efficient_lfc': 0.5720025779254587, 'median_noneater_lfc': 0.1330911874397602, 'median_efficient_minus_noneater_lfc': 0.6670469582228472, 's1_median_efficient_lfc': 0.5472134656088881, 's3_median_efficient_lfc': 0.3501724523715195, 's1_median_noneater_lfc': -0.0134252508230547, 's3_median_noneater_lfc': 0.2690348541900502, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.375, 'noneater_p_wilcoxon': 0.875, 'contrast_p_wilcoxon': 0.625, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.9052095024317248, 'noneater_fdr': 1.0, 'contrast_fdr': 0.9971256078463696, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
CLEC7A	ms	{'gene': 'CLEC7A', 'mean_case': 11.763033861364969, 'mean_control': 12.11798025394521, 'delta_log2': -0.3549463925802421, 'hedges_g': -0.6608455518774755, 'welch_t': -1.5886891601099071, 'p': 0.128706751389563, 'fdr': 0.8989378106274888, 'gene_norm': 'CLEC7A'}
CLEC7A	broad	{'gene': 'CLEC7A', 'positive_disease_count': 3, 'positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0081802762450774, 'max_abs_delta': 3.663783669788851}
CLEC7A	ibd	{'gene': 'CLEC7A', 'ibd_best_raw_p': 0.7809113679400612, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.1517471095391492, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 0, 'ibd_response_fdr10': 0}
CLEC7A	wave62	{'gene': 'CLEC7A', 'approved_name': 'C-type lectin domain containing 7A', 'wave62_score': 2.111451269703687, 'wave62_call': 'NO_GO_WAVE62_TARGET_RESOLUTION', 'manual_blocker': nan, 'prior_context_blocker': nan, 'max_l2g_score': 0.1164880692958831, 'best_l2g_disease': 'T1D', 'strong_l2g_disease_count': 0, 'strong_l2g_diseases': nan, 'supporting_l2g_disease_count': 0, 'supporting_l2g_diseases': nan, 'ms_max_l2g_score': 0.0, 'ms_l2g_study_loci': nan, 'strong_qtl_coloc_disease_count': 1, 'strong_qtl_coloc_diseases': 'T1D', 'relevant_qtl_coloc_disease_count': 1, 'relevant_qtl_coloc_diseases': 'T1D', 'myeloid_qtl_coloc_disease_count': 0, 'max_qtl_h4': 0.9949632004078038, 'ms_max_qtl_h4': 0.0, 'ms_max_relevant_qtl_h4': 0.0, 'ms_relevant_qtl_biosamples': nan, 'direction_proxy_values': 'T1D:blood plasma:-0.0881', 'local_positive_disease_count': 3.0, 'local_negative_disease_count': 0.0, 'local_positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'ms_wm_delta_log2': -0.3549463925802421, 'ms_wm_p': 0.128706751389563, 'ms_wm_fdr': 0.8989378106274888, 'in_lipid_lysosomal_myeloid_neighborhood': False, 'residual_retained_disease_count': 0.0, 'strict_core_covariate_surviving_disease_count': 0.0, 'wave34_call': nan, 'gwas_catalog_trait_count': 0.0, 'chembl_target_id': nan, 'druggable_activity_count': 0.0, 'wave34a_call': nan, 'wave34a_direction': nan, 'wave34a_route_reason': nan, 'wave55_score': 0.0, 'wave55_genetic_diseases_ge_0_25': nan, 'wave61_best_call': nan, 'wave61_best_manual_blocker': nan, 'wave61_best_target_suppression': 0.0, 'wave61_best_selectivity': 0.0, 'gene_norm': 'CLEC7A'}
CLEC7A	wave71	{'gene': 'CLEC7A', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.2, 'raw_channel_points': 0.566739, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 3.0; Crohn disease; psoriasis; ulcerative colitis; -0.3549463925802421; 0.9971256078463696', 'blockers': 'no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'CLEC7A'}
FAM49B	wave110	{'candidate': 'FAM49B', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.65, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=3.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
FAM49B	wave81	{'gene': 'FAM49B', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 3, 'broad_positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'ibd_response_nominal': 0, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': 0.1048061004481475, 'ms_p': 0.3462797066387407, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
