gene	call	fresh_score	support_channels	ms	broad_cell_state	response	genetics	perturbation_or_model	modality	ms_delta_log2	ms_p	ms_fdr	broad_positive_disease_count	broad_positive_diseases	response_contexts	strong_l2g_disease_count	strong_qtl_coloc_disease_count	wave55_genetic_disease_count	blocker_flag	blocker_text	mechanism_class	failure_marker_only	failure_safety_or_prior	failure_no_causal_channel	failure_no_modality	failure_ms_not_fdr	failure_response_absent
NCF2	NO_GO_FRESH_SCAN	4.9	4	True	False	False	True	True	True	0.5993704440951095	0.0194216439823732	0.8372898579012464	2	Crohn disease;ulcerative colitis	0	2	1	0	True	  NO_REOPEN_BLOCKED_BRANCH NOX2 host-defense/CGD directionality risk NO_GO_WAVE62_TARGET_RESOLUTION	ros_host_defense	False	True	False	False	True	True
CXCR2	NO_GO_FRESH_SCAN	4.6	4	False	True	False	True	True	True	0.8298247585525846	0.3775250672864965	0.9141270983319502	3	Crohn disease;psoriasis;ulcerative colitis	0	0	1	0	True	  PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED chemokine/neutrophil route prior audited and infection-risk broad NO_GO_WAVE62_TARGET_RESOLUTION	chemokine_neutrophil	False	True	False	False	False	True
CBX3	NO_GO_FRESH_SCAN	4.3	2	True	True	False	False	False	False	0.3505111291715241	0.0165873089490037	0.8372898579012464	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    	intracellular_housekeeping	True	False	True	True	True	True
FMNL2	NO_GO_FRESH_SCAN	4.3	2	True	True	False	False	False	False	0.4116873433440275	0.0323812070948891	0.8506970233122761	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 	adhesion_matrix	True	False	True	True	True	True
TNFAIP8L1	NO_GO_FRESH_SCAN	4.3	2	True	True	False	False	False	False	0.4563149724166724	0.0085624242089706	0.8349413280632139	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    	other	True	False	True	True	True	True
APOC1	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.8063088065414767	0.0333487255864159	0.8506970233122761	3	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    	lipid_apoe_apoc	True	False	True	True	True	True
AQR	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.2576228255837183	0.0459326873416809	0.8734815344479258	3	Crohn disease;psoriasis;ulcerative colitis	0	0	0	0	False	    	intracellular_housekeeping	True	False	True	True	True	True
CHI3L1	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	2.006853151074319	0.0046126032857275	0.8344760564031432	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    	secreted_remodeling	True	False	True	True	True	True
CRTAP	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.3843746543733211	0.0498891394668517	0.8768579428612613	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    	ifn_antigen_processing	True	False	True	True	True	True
CXCL9	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	2.5544176187121583	0.0309913568123503	0.8506970233122761	3	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    	chemokine_neutrophil	True	False	True	True	True	True
