gene	call	pass_count	failed_gates	cross_disease_up_bridge	multi_tissue_sender	case_link_support	ms_anchor	genetic_or_target_resolution	direct_perturbation_or_model	reachable_modality	not_prior_or_safety_blocked	direction_selective	bridge_score	upregulated_bridge_link_disease_count	bridge_link_disease_count	independent_sender_tissues	case_supported_up_links	best_bridge_link	intervention_first_call	wave140_call	wave83_call	manual_blocker
HIF1A	BRIDGE_BIOLOGY_ONLY	4	ms_anchor;genetic_or_target_resolution;direct_perturbation_or_model;reachable_modality;not_prior_or_safety_blocked	True	True	True	False	False	False	False	False	True	21.0	2.0	3.0	2	3	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.923|p_all=1.86e-05|rho_case=0.771|p_case=0.0724|sender_delta=1.12|sender_p=0.000612	NO_GO_EXPRESSION_OR_CLASS_ONLY			broad hypoxia/metabolic transcription factor; systemic inhibition/activation is not selective and NAMPT/HIF branch previously prior-art blocked
CALR	BRIDGE_BIOLOGY_ONLY	4	ms_anchor;genetic_or_target_resolution;direct_perturbation_or_model;reachable_modality;not_prior_or_safety_blocked	True	True	True	False	False	False	False	False	True	21.0	2.0	3.0	2	2	ibd_uc_epithelial->ibd_uc_myeloid|inflammatory_nfkb|rho_all=0.888|p_all=0.000114|rho_case=0.314|p_case=0.544|sender_delta=0.459|sender_p=0.000691	NO_GO_EXPRESSION_OR_CLASS_ONLY			ER chaperone/DAMP biology is broad; no selective extracellular autoimmune modality and risk of immunogenic stress confounding
ITGAV	BRIDGE_BIOLOGY_ONLY	3	case_link_support;ms_anchor;genetic_or_target_resolution;direct_perturbation_or_model;reachable_modality;not_prior_or_safety_blocked	True	True	False	False	False	False	False	False	True	20.011	2.0	4.0	2	0	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.719|p_all=0.000164|rho_case=0.833|p_case=0.00527|sender_delta=-0.0532|sender_p=0.496	NO_GO_EXPRESSION_OR_CLASS_ONLY			integrin/adhesion and TGF-beta activation biology is prior-art crowded with fibrosis/wound-healing safety risk
STAT3	NO_BRIDGE_PIVOT	4	multi_tissue_sender;case_link_support;direct_perturbation_or_model;reachable_modality;not_prior_or_safety_blocked	True	False	False	True	True	False	False	False	True	20.052	2.0	3.0	1	0	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.784|p_all=1.56e-05|rho_case=0.967|p_case=2.16e-05|sender_delta=-0.113|sender_p=0.333	NO_GO_PRIOR_OR_SAFETY_BLOCKED	NO_PIVOT_TARGET		broad cytokine transcription node; JAK/STAT prior art and cell-wide pleiotropy block novelty/selectivity
CXCL1	NO_BRIDGE_PIVOT	3	cross_disease_up_bridge;multi_tissue_sender;ms_anchor;genetic_or_target_resolution;direct_perturbation_or_model;not_prior_or_safety_blocked	False	False	True	False	False	False	True	False	True	17.0	2.0	2.0	1	2	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.79|p_all=0.00222|rho_case=0.771|p_case=0.0724|sender_delta=0.637|sender_p=0.0181	NO_GO_EXPRESSION_OR_CLASS_ONLY			neutrophil chemokine redundancy and safety/prior-art block
CFB	NO_BRIDGE_PIVOT	3	cross_disease_up_bridge;case_link_support;ms_anchor;genetic_or_target_resolution;direct_perturbation_or_model;not_prior_or_safety_blocked	False	True	False	False	False	False	True	False	True	17.0	2.0	2.0	2	1	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.86|p_all=0.000332|rho_case=0.6|p_case=0.208|sender_delta=0.406|sender_p=0.00712	NO_GO_PRIOR_OR_SAFETY_BLOCKED		NO_GO_INTERVENTION_CLASS_META_RANK	alternative complement factor B route already audited as prior-art/safety blocked
TIMP1	NO_BRIDGE_PIVOT	3	cross_disease_up_bridge;case_link_support;ms_anchor;genetic_or_target_resolution;direct_perturbation_or_model;not_prior_or_safety_blocked	False	True	False	False	False	False	True	False	True	17.0	2.0	2.0	2	1	ibd_uc_epithelial->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.72|p_all=0.00824|rho_case=-0.0857|p_case=0.872|sender_delta=1.2|sender_p=0.00662	NO_GO_EXPRESSION_OR_CLASS_ONLY			matrix remodeling inhibitor is context-dependent, not selectively druggable for autoimmune tissue bridges
CCL20	NO_BRIDGE_PIVOT	3	cross_disease_up_bridge;multi_tissue_sender;case_link_support;genetic_or_target_resolution;direct_perturbation_or_model;not_prior_or_safety_blocked	False	False	False	True	False	False	True	False	True	16.0	2.0	2.0	1	0	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.867|p_all=0.00026|rho_case=0.371|p_case=0.468|sender_delta=0.429|sender_p=0.000619	NO_GO_PRIOR_OR_SAFETY_BLOCKED	NO_PIVOT_TARGET		CCR6/CCL20 chemokine route prior-art and redundancy blocked
CXCL2	NO_BRIDGE_PIVOT	3	cross_disease_up_bridge;case_link_support;ms_anchor;genetic_or_target_resolution;direct_perturbation_or_model;reachable_modality	False	True	False	False	False	False	False	True	True	13.0	2.0	2.0	2	0	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.769|p_all=0.00345|rho_case=0.257|p_case=0.623|sender_delta=0.574|sender_p=0.00899	NO_GO_EXPRESSION_OR_CLASS_ONLY			
IL1B	NO_BRIDGE_PIVOT	2	multi_tissue_sender;case_link_support;ms_anchor;genetic_or_target_resolution;direct_perturbation_or_model;reachable_modality;not_prior_or_safety_blocked	True	False	False	False	False	False	False	False	True	19.165527637502574	2.0	3.0	1	0	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.832|p_all=0.000785|rho_case=0.543|p_case=0.266|sender_delta=0.431|sender_p=0.0463	NO_GO_EXPRESSION_OR_CLASS_ONLY			existing IL-1 blockade and generic inflammasome/inflammatory prior art block target novelty
