accession	contrast	interpretation_scope	marker_compartment	module	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	complement_phagocytosis	mean_score	20	10	0.009433169741981332	-0.0005224358859604887	0.009955605627941821	0.39154316081867835	1.1250540142447085	0.27249240089102733	0.4541540014850456
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	complement_phagocytosis	high_fraction	20	10	0.06540337130432212	0.053543536313014686	0.011859834991307439	0.4829972214908626	1.421661109455178	0.16811371687578672	0.35660485397894154
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	hla_ii_cd74	mean_score	20	10	-0.12805098715907154	0.006670118804296181	-0.13472110596336773	-0.7428770595189296	-2.236989508946497	0.03442238118694827	0.14603434442947752
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	hla_ii_cd74	high_fraction	20	10	0.1833860344982558	0.256241773493475	-0.07285573899521919	-0.6901877472971648	-1.9470219063557779	0.0648279444176436	0.21355087572870834
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	ifng_hlaii_cd74	mean_score	20	10	-0.04756063075191798	0.007318258498971268	-0.05487888925088925	-0.502560274434954	-1.5306516589376604	0.13809179042649591	0.3143552952798281
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	ifng_hlaii_cd74	high_fraction	20	10	0.21170453549536292	0.258846782973266	-0.047142247477903104	-0.42805951741603343	-1.2781421968078088	0.21313452588343296	0.3898767030897523
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	lipid_loader_repair	mean_score	20	10	0.02982343428363199	0.002373574402947047	0.02744985988068494	0.6478971341259927	2.256464961503569	0.03258296693495561	0.1425504803404308
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	lipid_loader_repair	high_fraction	20	10	0.3147826049982506	0.2586745551949901	0.05610804980326051	0.8859634090722278	2.915400909242886	0.006917535402471326	0.06428461586245918
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	lysosomal_apc	mean_score	20	10	0.08715392808885669	0.009164206484923169	0.07798972160393353	1.7287313319138098	4.626996348855499	0.00019550809579394968	0.011056159226215861
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	lysosomal_apc	high_fraction	20	10	0.33213323793602795	0.2573285922428451	0.07480464569318285	1.7719731402159145	4.720049881250745	0.0001640823328735354	0.011056159226215861
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	mixscale_validated_ifng_readout	mean_score	20	10	0.06729667448485377	0.02102232717932923	0.046274347305524544	0.48140491638738137	1.2521231587994603	0.22730150782496542	0.407977065326861
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	mixscale_validated_ifng_readout	high_fraction	20	10	0.32721010393351924	0.2702734249265578	0.05693667900696142	0.63363893163349	1.6462101967478442	0.11794022034543054	0.2845709894306157
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	slc15a4_tasl_branch	mean_score	20	10	0.060290512862875435	0.014077589428328974	0.04621292343454646	0.7510845686052446	2.176952340711007	0.04005977058830263	0.1635480460062918
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	slc15a4_tasl_branch	high_fraction	20	10	0.3187161849325707	0.2638175921191656	0.05489859281340509	0.8399514262596053	2.3974627750541644	0.025440472410254298	0.12497074166440708
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	complement_phagocytosis	mean_score	20	10	0.02098531340823362	0.002037426760764309	0.01894788664746931	0.22137117418518623	0.6773416997108346	0.5041964503884429	0.6690758583353744
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	complement_phagocytosis	high_fraction	20	10	0.26217280421567235	0.2536570310687208	0.008515773146951566	0.1194452501757213	0.37478880766769	0.7107433512252067	0.8396967862576282
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	hla_ii_cd74	mean_score	20	10	-0.0459435726835985	-0.02765834352230001	-0.01828522916129849	-0.10328716945361922	-0.23925946594844108	0.8146099258386326	0.9068889874060917
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	hla_ii_cd74	high_fraction	20	10	0.21819455908767327	0.23935757046988476	-0.021163011382211494	-0.28187405559379725	-0.7090854202452086	0.48860572463148966	0.6663532692660992
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	ifng_hlaii_cd74	mean_score	20	10	-0.0006869599634015857	-0.018499831942128973	0.01781287197872739	0.1409287466848857	0.338127295048377	0.7402390662369251	0.8483893815674686
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	ifng_hlaii_cd74	high_fraction	20	10	0.23476073662475078	0.24076328824494714	-0.006002551620196361	-0.06245369356317921	-0.17594960397817858	0.8620001765931427	0.9298401537365799
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	lipid_loader_repair	mean_score	20	10	0.052297074226266796	-0.0009679804825197542	0.05326505470878655	0.7648541277082436	2.3833657992438955	0.024526293189564462	0.1226314659478223
