analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IRF5	mean_z_vs_controls	6.0	6.0	0.02329241077875654	0.008381334300487937	0.014911076478268604	0.26221912216000576	0.4920249124886768	0.6348311796012107	0.9910912249152007
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IRF5	detection_fraction	6.0	6.0	0.005957678990156551	0.0039333615618449514	0.002024317428311599	0.34664920800535237	0.6504485440578476	0.5342431915778089	0.8904053192963481
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	SLC15A4	mean_z_vs_controls	6.0	6.0	0.1532252262678854	0.012377464696174416	0.14084776157171097	1.3035787891249524	2.4460200856363272	0.051733740443724426	0.5986735394077064
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	SLC15A4	detection_fraction	6.0	6.0	0.02630419926459267	0.012784617387025007	0.013519581877567664	0.9894621244299348	1.8566152276508259	0.11752502022156062	0.5986735394077064
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TASL_CXorf21	mean_z_vs_controls	6.0	6.0	-0.019078653064694213	0.0021529447617768377	-0.02123159782647105	-0.5580320941454662	-1.0470849342568405	0.3342735632313094	0.7387473918287242
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TASL_CXorf21	detection_fraction	6.0	6.0	0.00029086678301337986	0.0007962122236652172	-0.0005053454406518374	-0.47492022896550334	-0.8911347966197041	0.39835053167669915	0.7469072468938109
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR7	mean_z_vs_controls	6.0	6.0	0.014669772234567937	0.017168556065223422	-0.0024987838306554846	-0.03717410200373123	-0.06975305284589471	0.9457873928638663	1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR7	detection_fraction	6.0	6.0	0.0010665760028715358	0.0013186166243096327	-0.000252040621438097	-0.1616344100310293	-0.3032889279605936	0.7679122489919589	1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR8	mean_z_vs_controls	6.0	6.0	0.0	0.0	0.0				1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR8	detection_fraction	6.0	6.0	0.0	0.0	0.0				1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR9	mean_z_vs_controls	6.0	6.0	0.005701936667484327	-0.003488758021481029	0.009190694688965356	0.26837703468372015	0.5035795479616179	0.628039721797946	0.9910912249152007
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR9	detection_fraction	6.0	6.0	0.0004382727809788812	0.00022774886677127945	0.00021052391420760174	0.3436739254440934	0.6448657584479588	0.5386349133829342	0.8915336497372706
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	UNC93B1	mean_z_vs_controls	6.0	6.0	0.2297968040894196	0.006992141549524779	0.22280466253989484	1.424818099311778	2.6735121178476944	0.023567786950196536	0.5986735394077064
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	UNC93B1	detection_fraction	6.0	6.0	0.08060048561495654	0.026074984612453736	0.05452550100250281	1.323448307562245	2.4833030190462546	0.04176957287820336	0.5986735394077064
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IRF5	mean_z_vs_controls	6.0	6.0	-0.047122949240203355	0.03696880581899843	-0.08409175505920179	-0.5155742153132178	-0.967417463994528	0.35785812741119855	0.7387473918287242
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IRF5	detection_fraction	6.0	6.0	0.07495639751802373	0.10313911041762984	-0.02818271289960611	-0.47891900730256093	-0.898638057805026	0.3913223968703718	0.7456652302444038
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SLC15A4	mean_z_vs_controls	6.0	6.0	0.3346030380779969	0.0020792120577654005	0.3325238260202315	1.7901634253972725	3.359041840526248	0.007254290982460852	0.5986735394077064
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SLC15A4	detection_fraction	6.0	6.0	0.0927404835238609	0.06614565675245286	0.026594826771408037	0.5463727696786332	1.025207513368481	0.3348664745574512	0.7387473918287242
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TASL_CXorf21	mean_z_vs_controls	6.0	6.0	0.15438588445760962	0.011698940991153242	0.14268694346645638	0.955395380275291	1.7926927849495087	0.12472365404327218	0.5986735394077064
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TASL_CXorf21	detection_fraction	6.0	6.0	0.09678803954375458	0.059758255423708495	0.03702978412004608	0.7066253895308579	1.325903666301061	0.23410584679798735	0.7387473918287242
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TLR7	mean_z_vs_controls	6.0	6.0	-0.15366017601863316	-0.02104765744027053	-0.13261251857836262	-0.9816038585640291	-1.8418700689334315	0.10457444705503705	0.5986735394077064
