analysis	disease_name	compartment	role	gene	aliases	present	matched_alias	matched_symbol
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TASL_CXorf21	TASL,CXorf21,CXORF21	True	CXorf21	CXorf21
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IRF5	IRF5	True	IRF5	IRF5
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TLR7	TLR7	True	TLR7	TLR7
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TLR8	TLR8	True	TLR8	TLR8
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TLR9	TLR9	True	TLR9	TLR9
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TASL_CXorf21	TASL,CXorf21,CXORF21	True	CXorf21	CXorf21
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IRF5	IRF5	True	IRF5	IRF5
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR7	TLR7	True	TLR7	TLR7
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR8	TLR8	True	TLR8	TLR8
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR9	TLR9	True	TLR9	TLR9
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	CXorf21	CXorf21
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TLR9	TLR9	True	TLR9	TLR9
