gene	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_p	MHCII_t	CD40_median_low_vs_high_log2	CD40_mean_low_vs_high_log2	CD40_positive_sgrna_fraction	CD40_p	CD40_t	PDL1_median_low_vs_high_log2	PDL1_mean_low_vs_high_log2	PDL1_positive_sgrna_fraction	PDL1_p	PDL1_t	MHCII_fdr	MHCII_rank_required_low_vs_high	CD40_fdr	CD40_rank_required_low_vs_high	PDL1_fdr	PDL1_rank_required_low_vs_high
Ifngr2	4	5.857791586191182	5.813880099743623	1.0	0.004338177017520993	7.829669756414637	3.944372570114649	3.782197492793516	1.0	0.014602744221005864	5.096837098734049	6.822139605039087	6.512395738758613	1.0	0.003557753930026664	8.384891762136773	0.8893431347865502	1.0	0.889841996245348	3.0	0.8688130809597039	2.0
H2-Ab1	4	5.079772770778056	4.815368496730607	1.0	0.08592206350166685	2.5233720866200473	-1.1337468811940377	-1.053264795927395	0.25	0.2929508983261133	-1.272226357437641	-0.33633169842353405	-0.3804161461431716	0.0	0.038772312555502425	-3.5252018529938685	0.9248624482023996	2.0	0.8998711791380146	10497.0	0.8688130809597039	7715.0
Heatr1	4	5.04796271353531	3.6971600809868277	0.75	0.15466169141111263	1.8932233139247128	1.8621466019369857	1.508075264837676	0.75	0.18434746040224334	1.7177105129354018	-0.032013264646499846	-0.17027837558986192	0.0	0.3379670876839987	-1.137473091297627	0.9248624482023996	3.0	0.889841996245348	68.0	0.8688130809597039	5597.0
Mtx2	4	4.956473586526281	3.2616673211100493	0.75	0.20623447461533287	1.6078398458866296	-2.2286308357079676	-2.0244542743206297	0.25	0.15544783070253557	-1.888087107213575	0.0	0.5635768197483109	0.25	0.461061860804797	0.8431479671257219	0.9248624482023996	4.0	0.889841996245348	11488.0	0.871225662674407	5057.0
Gnb1l	4	4.6106887724888415	3.5811895905336035	0.75	0.09134189319496651	2.4541443607367954	0.4245716177042085	-0.32919942227777416	0.75	0.7366172948077131	-0.369022448508109	-0.9414149362932205	0.0050054619494904196	0.25	0.9974569130331787	0.003459496343487639	0.9248624482023996	5.0	0.952157609107163	2716.0	0.9994174522091979	10304.0
Dr1	4	4.452647295661723	3.5617793841705305	0.75	0.06754231561857948	2.8055320623207542	-1.7382339762813586	-1.5575876838822689	0.0	0.09850435918076057	-2.3699957643208918	-2.675481040775674	-2.9231260662308944	0.0	0.0643185653289238	-2.8648937629052464	0.9248624482023996	6.0	0.889841996245348	11241.0	0.8688130809597039	11654.0
Rc3h1	4	4.356793426775664	3.7573814145351156	0.75	0.07986855434781438	2.6073323042744905	1.6012700415095835	0.7425314591740189	0.75	0.5690194944985618	0.6376794171916595	-0.3675054096334025	-0.4479870961848974	0.25	0.3873952313782367	-1.0087614608861495	0.9248624482023996	7.0	0.926847207267834	126.0	0.8688130809597039	7896.0
Ifngr1	4	4.317502778834221	4.566414120633578	1.0	0.025664470078037044	4.135265231600468	3.1582679085535483	3.1632529515522783	1.0	0.008874572095792094	6.094199466177785	4.7608298890196945	5.2556496723519786	1.0	0.012803769404609054	5.345453542296085	0.9248624482023996	8.0	0.889841996245348	8.0	0.8688130809597039	6.0
Kri1	4	4.052397964585673	3.675435976403331	1.0	0.01329894938452606	5.2726689094228885	-0.7088523694196545	-1.092130281457893	0.25	0.287590240067719	-1.2896770827667592	-1.4521806360036034	-0.9509443073911312	0.25	0.3420616498096217	-1.1261308402028756	0.9248624482023996	9.0	0.8998711791380146	9378.0	0.8688130809597039	11164.0
Rbpj	4	4.045465592366013	4.086046765699046	1.0	0.039326247752337895	3.505454774701701	-2.818442909879347	-3.164063036586228	0.0	0.051372201928809064	-3.147307577414979	-0.757206793076812	-0.7674156329217783	0.0	0.18174643907524016	-1.7317443736324152	0.9248624482023996	10.0	0.889841996245348	11607.0	0.8688130809597039	9756.0
Dmap1	4	4.001121663484158	2.7843182122181673	0.75	0.21435500966666415	1.5703714133800886	0.13250900076732255	0.24705415553971255	0.5	0.9088895621707429	0.1243675397223515	-3.3957150066490724	-3.45015205432261	0.0	0.024556152402807212	-4.2048987121854235	0.9248624482023996	11.0	0.9837700125529194	4490.0	0.8688130809597039	11691.0
Dph5	4	3.925298290049876	3.243797926088528	0.75	0.0972273357032955	2.38444189074065	-0.05426473632999722	1.1709873950033232	0.5	0.44779746468434534	0.8711118586683523	-1.4546890026342656	-2.2528600521314157	0.0	0.20902769844033858	-1.5947687665547527	0.9248624482023996	12.0	0.9068422102107031	5812.0	0.8688130809597039	11165.0
Fcgr1	4	3.896493432606418	3.87270063207767	1.0	0.00015151791088312703	24.36650504079699	-0.719523645187446	-0.6371364887572455	0.25	0.13612299032343844	-2.0240496805892763	0.6791673068471855	0.42652053981570986	0.75	0.41627209980019786	0.9406643009703511	0.6338917986535081	13.0	0.889841996245348	9413.0	0.8693634135620097	1415.0
Alg13	4	3.879772147674259	3.208585063115348	0.75	0.08863185373517149	2.488111288719309	-2.2453550328074865	-1.6948963176414145	0.25	0.2668684952876485	-1.3605043836623127	-0.6061135820913242	-0.5872820624649691	0.0	0.07782084794750256	-2.6375260094002555	0.9248624482023996	14.0	0.8956104451839753	11495.0	0.8688130809597039	9141.0
Lars	4	3.850350819470939	3.209275588065837	0.75	0.12932123875632073	2.077418383026249	-2.054759279022633	-1.6580104306708467	0.0	0.06497057162465328	-2.8525924810378456	0.0	0.5308318897072597	0.25	0.4938162436638109	0.7769676029617323	0.9248624482023996	15.0	0.889841996245348	11413.0	0.8769619256609298	5057.0
