dataset	pathway	perturbation	cell_type	target_module_effect	target_module_median_effect	target_n_genes	target_genes_present	target_negative_fraction	target_sig_negative_fdr10	generic_ifn_effect	generic_ifn_median_effect	generic_ifn_n_genes	generic_ifn_genes_present	generic_ifn_negative_fraction	generic_ifn_sig_negative_fdr10	stress_module_effect	stress_module_median_effect	stress_n_genes	stress_genes_present	stress_positive_fraction	stress_sig_positive_fdr10	target_suppression	generic_ifn_suppression	target_vs_ifn_margin	target_over_ifn_ratio	stress_induction	stress_abs_effect	selectivity_score
GSE281048_Mixscale	IFNB	ADAR	A549	-0.18917929768948838	-0.18917929768948838	2	CTSS,RFX5	1.0	1	-0.08569992741541224	-0.122386623409203	5	GBP1,IFIT1,IRF1,ISG15,STAT1	0.8	2	0.23018381148412884	0.304414335064856	7	ATF4,DDIT3,DNAJB1,FOS,HSP90AA1,JUN,KLF6	0.5714285714285714	3	0.18917929768948838	0.08569992741541224	0.10347937027407614	1.8917929768948838	0.23018381148412884	0.23018381148412884	-0.00010334489378183154
GSE281048_Mixscale	IFNB	ADAR	BXPC3	-0.359462751485467	-0.359462751485467	1	CTSS	1.0	1	-0.05508025470451379	-0.0244689737920984	5	GBP1,IFIT1,IRF1,ISG15,STAT1	0.6	3	0.5706866318504791	0.566692894115916	10	ATF4,CASP3,DDIT3,DNAJB1,FOS,GADD45A,HSP90AA1,HSPA1A,JUN,KLF6	0.8	5	0.359462751485467	0.05508025470451379	0.30438249678095325	3.59462751485467	0.5706866318504791	0.5706866318504791	0.04757351244823768
GSE281048_Mixscale	IFNB	ADAR	HAP1			0			0	-0.189199380606189	-0.430485450904864	3	IFIT1,ISG15,STAT1	0.6666666666666666	2	0.13815830574688848	-0.369445887320073	6	ATF4,DNAJB1,HSP90AA1,HSPA1A,JUN,KLF6	0.3333333333333333	2	0.0	0.189199380606189	-0.189199380606189	0.0	0.13815830574688848	0.13815830574688848	-0.2513706181922888
GSE281048_Mixscale	IFNB	ADAR	HT29			0			0	0.0007944487578580215	0.0542324041020271	5	GBP1,IFIT1,IRF1,ISG15,STAT1	0.4	0	-0.05337009291015448	-0.04719200396478605	6	ATF4,DNAJB1,FOS,HSP90AA1,JUN,KLF6	0.3333333333333333	0	0.0	0.0	0.0	0.0	0.0	0.05337009291015448	-0.005337009291015448
GSE281048_Mixscale	IFNB	ADAR	K562	0.031270840504054	0.031270840504054	1	CTSS	0.0	0	0.19540563505329417	0.2058081088254265	4	IFIT1,IRF1,ISG15,STAT1	0.0	0	0.2039386452195698	0.2525267354962182	8	ATF4,CASP3,DDIT3,DNAJB1,GADD45A,HSP90AA1,JUN,KLF6	0.625	3	0.0	0.0	0.0	0.0	0.2039386452195698	0.2039386452195698	-0.09177239034880641
GSE281048_Mixscale	IFNB	ADAR	MCF7	0.082647852701115	0.082647852701115	1	RFX5	0.0	0	0.15385956383523755	0.131900087973414	5	GBP1,IFIT1,IRF1,ISG15,STAT1	0.0	0	0.17001788467798865	0.212353340214414	9	ATF4,CASP3,DDIT3,DNAJB1,FOS,HSP90AA1,HSPA1A,JUN,KLF6	0.8888888888888888	3	0.0	0.0	0.0	0.0	0.17001788467798865	0.17001788467798865	-0.07650804810509489
GSE281048_Mixscale	IFNB	AKT1	A549	0.306161972034411	0.306161972034411	2	CTSS,RFX5	0.0	0	0.09703920689112584	0.0674185843970507	5	GBP1,IFIT1,IRF1,ISG15,STAT1	0.0	0	0.016473525356597917	-0.0151952780016927	5	DNAJB1,FOS,HSP90AA1,JUN,KLF6	0.4	1	0.0	0.0	0.0	0.0	0.016473525356597917	0.016473525356597917	-0.0074130864104690625
GSE281048_Mixscale	IFNB	AKT1	BXPC3	-0.231171237948349	-0.231171237948349	1	CTSS	1.0	1	-0.008234354890015038	-0.0240573786183578	5	GBP1,IFIT1,IRF1,ISG15,STAT1	0.6	0	0.012877987287724643	-0.0053854523558052	7	CASP3,DNAJB1,FOS,HSP90AA1,HSPA1A,JUN,KLF6	0.42857142857142855	0	0.231171237948349	0.008234354890015038	0.22293688305833398	2.31171237948349	0.012877987287724643	0.012877987287724643	0.2171417887788579
GSE281048_Mixscale	IFNB	AKT1	HAP1	0.0944340311489547	0.0944340311489547	1	RFX5	0.0	0	0.0219436864434559	0.031019552631403	3	IFIT1,ISG15,STAT1	0.3333333333333333	0	-0.012300074161306357	-0.0469636566769602	5	CASP3,DNAJB1,HSP90AA1,HSPA1A,KLF6	0.2	0	0.0	0.0	0.0	0.0	0.0	0.012300074161306357	-0.0012300074161306358
GSE281048_Mixscale	IFNB	AKT1	HT29	0.241648161673305	0.241648161673305	1	CTSS	0.0	0	0.06565668335936933	0.0904165025461685	5	GBP1,IFIT1,IRF1,ISG15,STAT1	0.2	0	0.11317492303524328	0.119613818975575	5	DNAJB1,FOS,HSP90AA1,JUN,KLF6	1.0	0	0.0	0.0	0.0	0.0	0.11317492303524328	0.11317492303524328	-0.050928715365859474
GSE281048_Mixscale	IFNB	AKT1	K562	0.270948225794249	0.270948225794249	1	CTSS	0.0	0	0.13505317659266297	0.1319745364530468	4	IFIT1,IRF1,ISG15,STAT1	0.25	0	0.18606187142974345	0.119463770129292	5	CASP3,DNAJB1,HSP90AA1,JUN,KLF6	0.8	0	0.0	0.0	0.0	0.0	0.18606187142974345	0.18606187142974345	-0.08372784214338455
GSE281048_Mixscale	IFNB	AKT1	MCF7	0.32567595336032	0.32567595336032	1	RFX5	0.0	0	0.13818647183207775	0.187708496666351	5	GBP1,IFIT1,IRF1,ISG15,STAT1	0.2	0	0.19008718787295345	0.218477049829255	7	CASP3,DNAJB1,FOS,HSP90AA1,HSPA1A,JUN,KLF6	0.8571428571428571	0	0.0	0.0	0.0	0.0	0.19008718787295345	0.19008718787295345	-0.08553923454282905
