analysis	dataset_path	disease_name	compartment	role	unit_id	disease	group	n_observations	gene	family	is_minimum_candidate	is_state_control	mean_log_norm	mean_z_vs_controls	detection_fraction
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	AP2A1	vesicle_sorting_trafficking	False	False	0.100238738383775	0.06396766163751816	0.14814814814814814
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	AP2M1	vesicle_sorting_trafficking	True	False	0.39350058785204595	-0.2678273492796005	0.38271604938271603
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	APOE	myeloid_marker_control	False	False	0.06312174906286734	-0.1859534767795505	0.024691358024691357
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	AXL	surface_phagocytic_lipid_receptor	False	False	0.061707951366508376	-0.38087995968580857	0.04938271604938271
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	C1QA	surface_uptake_fc_complement	True	False	0.25359168918841407	-0.7016722225145229	0.1111111111111111
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	C1QB	surface_uptake_fc_complement	True	False	0.29803799781550244	-0.6387711409810303	0.13580246913580246
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	C1QC	surface_uptake_fc_complement	True	False	0.23890259405217287	-0.6320500016998584	0.13580246913580246
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CD36	surface_phagocytic_lipid_receptor	False	False	0.05897600276615754	-0.37983906987872956	0.07407407407407407
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CD63	lysosome_membrane_or_lipid	False	False	2.0733037197330444	-0.019183746471949766	0.8395061728395061
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CD68	surface_phagocytic_lipid_receptor	False	False	0.5488883322276902	-0.33142829068262103	0.4074074074074074
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CD74	state_positive_control	False	True	1.917137667525842	-0.10715671360765887	0.5432098765432098
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CIITA	state_positive_control	False	True	0.4257222781318115	0.6260619793366151	0.32098765432098764
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CLEC7A	surface_phagocytic_lipid_receptor	False	False	0.4716156286182414	0.31896743396088	0.345679012345679
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CLTC	vesicle_sorting_trafficking	False	False	0.620660812290433	0.30684298932705656	0.48148148148148145
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CST3	myeloid_marker_control	False	False	1.5246176227421369	0.03176602317142348	0.5925925925925926
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CTSB	cathepsin_protease	True	False	0.7716921802033753	-0.29287472925176555	0.4691358024691358
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CTSD	cathepsin_protease	True	False	0.7264724712541332	-0.5773494047407776	0.4691358024691358
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CTSH	cathepsin_protease	False	False	0.5563495288900447	0.26458653560542056	0.4074074074074074
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CTSK	cathepsin_protease	False	False	0.0061464658023979895	-0.04504537153640897	0.012345679012345678
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CTSL	cathepsin_protease	True	False	0.3954029941507388	-0.03267677716817871	0.19753086419753085
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CTSS	cathepsin_protease	True	False	1.3075820062798977	0.1701093298591852	0.5802469135802469
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	CTSZ	cathepsin_protease	False	False	0.6216339049334695	-0.255774966939635	0.4074074074074074
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	FCER1G	surface_uptake_fc_complement	False	False	1.9201068876517768	-0.05149645045213838	0.7407407407407407
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	FCGR2A	surface_uptake_fc_complement	True	False	0.3458510650718824	-0.033085916133225625	0.24691358024691357
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	FCGR3A	surface_uptake_fc_complement	True	False	0.13876870127111227	-0.03804839619139819	0.08641975308641975
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	GNPTAB	glycosylation_mannose6p	False	False	0.27524128914580787	0.02028156188684916	0.2345679012345679
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	GNPTG	glycosylation_mannose6p	False	False	0.11141562432123356	0.09329598893777379	0.12345679012345678
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	GPNMB	myeloid_marker_control	False	False	0.0	-0.5112780159096947	0.0
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	HLA-DMA	hla_chaperone_loading	True	False	0.882033604836088	0.02154983914344116	0.4567901234567901
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	HLA-DMB	hla_chaperone_loading	True	False	0.5417647596516306	-0.10315795657120434	0.37037037037037035
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	HLA-DOA	hla_chaperone_loading	False	False	0.13801283174107304	-0.19041896181067558	0.1728395061728395
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	HLA-DOB	hla_chaperone_loading	False	False	0.05954816892641011	0.27914492696856724	0.07407407407407407
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	HLA-DPA1	state_positive_control	False	True	1.7774701581912327	-0.02520751696869179	0.5432098765432098
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	HLA-DPB1	state_positive_control	False	True	1.6607336181658403	-0.06379014530560242	0.48148148148148145
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	HLA-DRA	state_positive_control	False	True	2.4065994448133385	0.11989153480342632	0.5308641975308642
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	HLA-DRB1	state_positive_control	False	True	1.7446668135060384	-0.021810567923886526	0.4691358024691358
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	IFI30	lysosomal_thiol_reductase	True	False	0.5429045679302755	0.6807871127084186	0.37037037037037035
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	IGF2R	glycosylation_mannose6p	False	False	0.11252100031300856	0.019644649579447542	0.12345679012345678
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	ITGAM	surface_phagocytic_lipid_receptor	False	False	0.16689571505312278	0.08212063718148246	0.18518518518518517
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	ITGAX	surface_phagocytic_lipid_receptor	False	False	0.7838084278212647	0.7454908910367715	0.48148148148148145
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	LAMP1	lysosome_membrane_or_lipid	True	False	0.19413490512489276	-0.2191364365951564	0.20987654320987653
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	LAMP2	lysosome_membrane_or_lipid	True	False	0.36492653175720874	0.05748214768010063	0.35802469135802467
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	LAMP3	lysosome_membrane_or_lipid	False	False	0.24541696617015318	1.5994984378477972	0.18518518518518517
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	LAPTM5	lysosome_membrane_or_lipid	False	False	1.3932756453808324	0.052794664725270946	0.7160493827160493
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	LGALS3	galectin_glycan_checkpoint	True	False	1.2557801682157652	-0.7221304915632255	0.6790123456790124
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	LGALS9	galectin_glycan_checkpoint	True	False	0.30631294106963136	-0.06358670573410995	0.32098765432098764
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	LIPA	lysosome_membrane_or_lipid	True	False	0.1556073441360573	-0.49082763578361566	0.18518518518518517
