analysis	modality	status	n_cells	n_units	n_candidate_genes_present	n_samples	n_genes_selected	n_spots
ibd_crohn_myeloid	single_cell_h5ad	completed	2610.0	12.0	78.0			
ibd_uc_myeloid	single_cell_h5ad	completed	1838.0	12.0	78.0			
ibd_crohn_epithelial	single_cell_h5ad	completed	11414.0	12.0	78.0			
ibd_uc_epithelial	single_cell_h5ad	completed	7646.0	12.0	78.0			
ibd_crohn_stromal	single_cell_h5ad	completed	1951.0	12.0	78.0			
ibd_uc_stromal	single_cell_h5ad	completed	2042.0	12.0	78.0			
psoriasis_skin_apc	single_cell_h5ad	completed	1086.0	6.0	68.0			
psoriasis_keratinocyte	single_cell_h5ad	completed	9583.0	6.0	68.0			
psoriasis_skin_stromal	single_cell_h5ad	completed	11297.0	6.0	68.0			
sjogren_gland_apc	single_cell_h5ad	completed	1695.0	25.0	78.0			
sjogren_gland_epithelial	single_cell_h5ad	completed	50097.0	25.0	78.0			
sjogren_gland_stromal	single_cell_h5ad	completed	17849.0	25.0	78.0			
ra_blood_myeloid	single_cell_h5ad	completed	23609.0	36.0	78.0			
t1d_beta_cell	single_cell_h5ad	completed	11298.0	23.0	78.0			
t1d_ductal_cell	single_cell_h5ad	completed	11924.0	24.0	78.0			
t1d_acinar_cell	single_cell_h5ad	completed	23216.0	24.0	78.0			
t1d_stellate_cell	single_cell_h5ad	completed	2163.0	24.0	78.0			
t1d_endothelial_cell	single_cell_h5ad	completed	2658.0	24.0	78.0			
gse111972_ms_microglia	sorted_bulk_microglia	completed			77.0	31.0		
gse315138_Healthy1	single_cell_10x_marker_compartment	completed	20401.0				134.0	
gse315138_Healthy2	single_cell_10x_marker_compartment	completed	10918.0				134.0	
gse315138_celiac1	single_cell_10x_marker_compartment	completed	16250.0				134.0	
gse315138_celiac2	single_cell_10x_marker_compartment	completed	26208.0				134.0	
gse315138_celiac_a2	single_cell_10x_marker_compartment	completed	22212.0				134.0	
gse315138_celiac304	single_cell_10x_marker_compartment	completed	17438.0				134.0	
gse248205_thyroid_spatial	spatial_visium_sample_level	completed			78.0	8.0		16985.0
