candidate	intervention_class	source_wave	interestingness_score	breadth_capped	critical_gate_count	support_gate_count	wave83_call	wave83_missing_gates	primary_blocker	post_closure_veto	generic_veto_count	hard_missing_gate	promotable_after_strict_inventory	strict_salvage_score
CD58_TARGETABILITY	Targetability shortlist node	wave79_targetability_shortlist_audit	12.7	3.0	6.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	source_audit_not_promotional;fewer_than_two_support_channels	partial support remains but one or more critical targetability gates fail	Wave143 closes CD58/CD2: full-mixture adjustment, IBD replication, direction, and alefacept prior art block promotion.	1	False	False	-6.3
MED16_MEDIATOR_MODULE	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	6.6	4.0	2.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;safety_direction_clear;fewer_than_two_support_channels	The real Med16_KO signal is strong, but the route lacks a target-specific MS anchor and a safe selective druggable handle; practical Mediator/CDK8/19 modulation risks broad transcriptional or oncology-like toxicity.		4	True	False	-8.4
LRRC61_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	5.1	4.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support		4	True	False	-8.4
RFX5_MHCII_PARTIAL_SUPPRESSION	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	3.9	1.0	0.0	2.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional	RFX5 is a direct antigen-presentation transcriptional node, but the whole HLA-II axis is already closed for host-defense and nonselective antigen-presentation suppression risk.		4	True	False	-8.6
IFI30_TARGETABILITY	Targetability shortlist node	wave79_targetability_shortlist_audit	7.7	3.0	4.0	0.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	insufficient target-level convergence after strict gates		2	True	False	-8.8
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	wave23_metabolite_barrier_circuit	6.8	2.0	2.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	cross_disease_cellstate;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	Already demoted in Wave19 for mixed/negative local signal and saturated PPAR/LXR autoimmune/metabolic prior art.		4	True	False	-9.2
TNFRSF1A_DAMPING	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	6.0	0.0	2.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	cross_disease_cellstate;ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	TNFRSF1A/TNF perturbation is genetically broad but MS direction is unsafe because TNF blockade can worsen demyelinating biology; local MS expression is negative.		3	True	False	-9.5
IL7R_TARGETED_ROUTE	Canonical immune receptor/chemokine route	wave58_cxcr2_il7r_targeted_audit	7.0	0.0	3.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	strict_ms_white_matter_anchor; real_perturbation_or_efferocytosis; module_specific_not_generic_immunology; prior_art_not_blocking		3	True	False	-10.0
DAB2_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	4.0	0.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;cross_disease_cellstate;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support		3	True	False	-10.0
CD9_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	4.0	0.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;cross_disease_cellstate;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support		3	True	False	-10.0
FPR2_ANXA1_BIASED_RESOLUTION	Biased pro-resolution GPCR / ANXA1 mimetic	wave48_resolution_reopener_audit	7.1	4.0	4.0	0.0	NO_GO_INTERVENTION_CLASS_META_RANK	ms_anchor;genetic_or_target_resolution;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	dynamic resolution biology and chemical tractability exist, but strict MS expression anchor is negative/non-significant, the GWAS hit is not target-resolved, Wave37 efferocytosis perturbation is unresolved, and prior literature already covers SPM/FPR2 activity in autoimmune/EAE/colitis contexts.		3	True	False	-10.4
GPR183_EBI2_OXYSTEROL_NICHE	Oxysterol-guided immune niche GPCR	wave74_gpr183_oxysterol_niche	8.0	0.0	4.0	2.0	PARK_INTERVENTION_CLASS_NEEDS_FORCING_TEST	ms_anchor;genetic_or_target_resolution;source_audit_not_promotional	no cross-disease coherent ligand-plus-GPR183-plus-response context; no local target-resolved genetics or direct intervention/druggability anchor; Wave66 oxysterol-like metabolites remain sparse	Waves132/137 close GPR183 ligand-axis reopening: sparse ligand context, no direct target perturbation, no durable response rescue.	3	True	False	-10.5
PSAP_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	3.5	0.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;cross_disease_cellstate;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support		3	True	False	-10.5
FAM49B_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	4.7	3.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support		5	True	False	-10.8
FMNL2_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	5.1	4.0	2.0	0.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support		4	True	False	-10.9
LYN_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	4.2	3.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support		5	True	False	-11.3
P4HB_TARGETABILITY	Targetability shortlist node	wave79_targetability_shortlist_audit	6.1	4.0	3.0	0.0	NO_GO_INTERVENTION_CLASS_META_RANK	ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	insufficient target-level convergence after strict gates		4	True	False	-11.4
GSK3B_INHIBITION	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	3.9	1.0	0.0	2.0	NO_GO_INTERVENTION_CLASS_META_RANK	reachable_modality;cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional	Gsk3b_KO has real perturbation support but GSK3B is pleiotropic, prior-art crowded in neuroimmune disease, and locally lacks FDR-supported MS/cross-disease cell-state anchoring.		6	True	False	-11.6
CTSB_LYSOSOMAL_SPHINGOLIPID	Lysosomal/sphingolipid enzyme route	wave59_lysosomal_sphingolipid_model_reopener_audit	3.5	0.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking		4	True	False	-12.0
ASAH1_LYSOSOMAL_SPHINGOLIPID	Lysosomal/sphingolipid enzyme route	wave59_lysosomal_sphingolipid_model_reopener_audit	3.5	0.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking		4	True	False	-12.0
HEXA_LYSOSOMAL_SPHINGOLIPID	Lysosomal/sphingolipid enzyme route	wave59_lysosomal_sphingolipid_model_reopener_audit	3.5	0.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking		4	True	False	-12.0
HEXB_LYSOSOMAL_SPHINGOLIPID	Lysosomal/sphingolipid enzyme route	wave59_lysosomal_sphingolipid_model_reopener_audit	3.5	0.0	1.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking		4	True	False	-12.0
LILRB2_INHIBITORY_RECEPTOR	Myeloid inhibitory receptor	wave78_lilrb_inhibitory_receptor_audit	4.8	2.0	2.0	0.0	NO_GO_INTERVENTION_CLASS_META_RANK	cross_disease_cellstate;ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient		4	True	False	-12.2
CD58_CD2_AXIS	T-cell/APC adhesion and costimulation axis	wave80_cd58_cd2_axis_deepening	10.2	3.0	4.0	1.0	NO_GO_INTERVENTION_CLASS_META_RANK	prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	MS genetics and RA CD58 signal survive T-cell adjustment, but IBD replication, direction, or prior art block promotion	Wave143 closes CD58/CD2: full-mixture adjustment, IBD replication, direction, and alefacept prior art block promotion.	3	True	False	-12.8
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	wave23_metabolite_barrier_circuit	5.5	5.0	2.0	0.0	NO_GO_INTERVENTION_CLASS_META_RANK	ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	AHR/IDO/kynurenine immunoregulation is broad, crowded, and often immunosuppressive rather than a selective barrier-repair control.		6	True	False	-13.0
