gene	target_chembl_id	pref_name	target_type	target_quality_call	activity_records_downloaded_for_target	unique_molecules_downloaded	n_nm_values	best_nm	median_nm	activity_type_counts
LRRK2	CHEMBL1075104	Leucine-rich repeat serine/threonine-protein kinase 2	SINGLE PROTEIN	CHEMBL_TARGET_QUALITY_SUPPORTED	1000	312	147	0.39	10000.0	Inhibition:847;Kd:144;Activity:6;IC50:3
LRRK2	CHEMBL5465219	Protein cereblon/Leucine-rich repeat serine/threonine-protein kinase 2	PROTEIN-PROTEIN INTERACTION	CHEMBL_TARGET_TYPE_WEAK	0	0	0			
LRRK2	CHEMBL5465239	von Hippel-Lindau disease tumor suppressor/Leucine-rich repeat serine/threonine-protein kinase 2	PROTEIN-PROTEIN INTERACTION	CHEMBL_TARGET_TYPE_WEAK	0	0	0			
PIK3CG	CHEMBL4296106	PIK3CG/PIK3R1	PROTEIN COMPLEX	CHEMBL_TARGET_EXISTS_ACTIVITY_LIMITED_OR_NOT_DOWNLOADED	0	0	0			
PIK3CG	CHEMBL3267	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	SINGLE PROTEIN	CHEMBL_TARGET_EXISTS_ACTIVITY_LIMITED_OR_NOT_DOWNLOADED	0	0	0			
PIK3CG	CHEMBL6195555	Protein cereblon/Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	PROTEIN-PROTEIN INTERACTION	CHEMBL_TARGET_TYPE_WEAK	0	0	0			
PIK3CG	CHEMBL6195503	von Hippel-Lindau disease tumor suppressor/Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	PROTEIN-PROTEIN INTERACTION	CHEMBL_TARGET_TYPE_WEAK	0	0	0			
PIK3CG	CHEMBL3430881	PI3-kinase subunit gamma/Phosphoinositide 3-kinase regulatory subunit 5	PROTEIN COMPLEX	CHEMBL_TARGET_EXISTS_ACTIVITY_LIMITED_OR_NOT_DOWNLOADED	0	0	0			
PIK3CG	CHEMBL3885617	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform/gamma isoform	PROTEIN FAMILY	CHEMBL_TARGET_TYPE_WEAK	0	0	0			
PIK3CG	CHEMBL6193791	Protein cereblon-pI3K	PROTEIN-PROTEIN INTERACTION	CHEMBL_TARGET_TYPE_WEAK	0	0	0			
PIK3CG	CHEMBL3559703	PI3-kinase class I	PROTEIN COMPLEX GROUP	CHEMBL_TARGET_EXISTS_ACTIVITY_LIMITED_OR_NOT_DOWNLOADED	0	0	0			
PTGIR	CHEMBL1995	Prostacyclin receptor	SINGLE PROTEIN	CHEMBL_TARGET_QUALITY_SUPPORTED	1000	785	712	0.0001	1000.0	Ki:309;IC50:219;EC50:195;Activity:162;Kb:40;Intrinsic activity:32;KF:22;Inhibition:13
SLC1A2	CHEMBL4973	Excitatory amino acid transporter 2	SINGLE PROTEIN	CHEMBL_TARGET_EXISTS_ACTIVITY_LIMITED_OR_NOT_DOWNLOADED	0	0	0			
