gene_or_target	target_chembl_id	molecule_chembl_id	standard_type	standard_value_nM	pchembl_value	document_chembl_id	assay_chembl_id
CDK8	CHEMBL5719	CHEMBL2001398	Ki	630.96	6.20	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1978271	Ki	251.19	6.60	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1967887	Ki	39.81	7.40	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL2007266	Ki	19.95	7.70	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL202721	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL2000568	Ki	501.19	6.30	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1994308	Ki	1258.93	5.90	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL119385	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL2007097	Ki	19952.62	4.70	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1825138	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1084546	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1973516	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1974328	Ki	3162.28	5.50	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL243298	Ki	501.19	6.30	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL509032	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1980435	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1980407	Ki	1584.89	5.80	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1998765	Ki	1995.26	5.70	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1964948	Ki	398.11	6.40	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1973013	Ki	3162.28	5.50	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1966204	Ki	1995.26	5.70	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL38380	Ki	1258.93	5.90	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1987430	Ki	3162.28		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL244378	Ki	316.23	6.50	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1993413	Ki	79.43	7.10	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1983945	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1975927	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1990583	Ki	398.11	6.40	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1986943	Ki	0.7943	9.10	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1997119	Ki	39810.72	4.40	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1977138	Ki	7.943	8.10	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL2000879	Ki	39810.72	4.40	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1978448	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1980329	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1986263	Ki	794.33	6.10	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1992042	Ki	794.33	6.10	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1986265	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1991734	Ki	1000.0	6.00	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL21156	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1994724	Ki	3162.28	5.50	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1989267	Ki	1995.26	5.70	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL124660	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1990912	Ki	1258.93	5.90	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1991782	Ki	79432.82		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL2002105	Ki	6309.57	5.20	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL223360	Ki	1.0	9.00	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1983348	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1974574	Ki	3162.28	5.50	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1970290	Ki	1000.0	6.00	CHEMBL1201862	CHEMBL1963824
CDK8	CHEMBL5719	CHEMBL1976040	Ki	3981.07		CHEMBL1201862	CHEMBL1963824
