resource	name	query	status_code	hit_count	top_results_json	n_returned	top_studies_json
Europe PMC	mediator_kinase_ifn	"""CDK8"" ""CDK19"" interferon"	200	86.0	"[{""id"": ""41899582"", ""pmid"": ""41899582"", ""pmcid"": ""PMC13025874"", ""doi"": ""10.3390/cancers18060979"", ""title"": ""The Emerging Role of Transcription-Associated Cyclin-Dependent Kinases in Gastrointestinal Tumors."", ""pubYear"": ""2026""}, {""id"": ""41123539"", ""pmid"": ""41123539"", ""pmcid"": ""PMC12918288"", ""doi"": ""10.1080/15384101.2025.2571788"", ""title"": ""Transcriptional cyclin-dependent kinases Cdk8 and Cdk19 are required for normal macrophage differentiation."", ""pubYear"": ""2025""}, {""id"": ""40601435"", ""pmid"": ""40601435"", ""pmcid"": ""PMC12281475"", ""doi"": ""10.1021/acschembio.5c00338"", ""title"": ""Mediator Kinase Inhibitor Selectivity and Activity in Colorectal Cancer."", ""pubYear"": ""2025""}, {""id"": ""40664606"", ""pmid"": ""40664606"", ""pmcid"": ""PMC13050535"", ""doi"": ""10.1158/1535-7163.mct-23-0677"", ""title"": ""Targeting Transcriptional Cyclin-Dependent Kinases in Cancer."", ""pubYear"": ""2025""}, {""id"": ""39928031"", ""pmid"": ""39928031"", ""pmcid"": ""PMC11810109"", ""doi"": ""10.7554/elife.100197"", ""title"": ""Mediator kinase inhibition suppresses hyperactive interferon signaling in Down syndrome."", ""pubYear"": ""2025""}]"		
Europe PMC	mediator_kinase_autoimmune	"(""CDK8"" OR ""CDK19"" OR ""Mediator kinase"") autoimmune"	200	362.0	"[{""id"": ""41694361"", ""pmid"": ""41694361"", ""pmcid"": ""PMC12901329"", ""doi"": ""10.3389/fimmu.2026.1702928"", ""title"": ""Role of PBAF and Mediator kinase module in the RELA-dependent activation of &lt;i&gt;CXCL1-3&lt;/i&gt; inflammation genes of the NF-kB pathway."", ""pubYear"": ""2026""}, {""id"": ""41917471"", ""pmid"": ""41917471"", ""pmcid"": null, ""doi"": ""10.1038/s41401-026-01773-1"", ""title"": ""A novel CDK8/19 inhibitor RO8323 mitigates allograft rejection through dual mechanisms of action to modulate regulatory T cell and myeloid cell."", ""pubYear"": ""2026""}, {""id"": ""41123539"", ""pmid"": ""41123539"", ""pmcid"": ""PMC12918288"", ""doi"": ""10.1080/15384101.2025.2571788"", ""title"": ""Transcriptional cyclin-dependent kinases Cdk8 and Cdk19 are required for normal macrophage differentiation."", ""pubYear"": ""2025""}, {""id"": ""40664606"", ""pmid"": ""40664606"", ""pmcid"": ""PMC13050535"", ""doi"": ""10.1158/1535-7163.mct-23-0677"", ""title"": ""Targeting Transcriptional Cyclin-Dependent Kinases in Cancer."", ""pubYear"": ""2025""}, {""id"": ""39928031"", ""pmid"": ""39928031"", ""pmcid"": ""PMC11810109"", ""doi"": ""10.7554/elife.100197"", ""title"": ""Mediator kinase inhibition suppresses hyperactive interferon signaling in Down syndrome."", ""pubYear"": ""2025""}]"		
Europe PMC	mediator_kinase_mhc2	"(""CDK8"" OR ""CDK19"" OR ""Mediator kinase"") (""MHC class II"" OR CIITA)"	200	136.0	"[{""id"": ""41255211"", ""pmid"": ""41255211"", ""pmcid"": ""PMC12866688"", ""doi"": ""10.1002/advs.202518346"", ""title"": ""NUDT21-mediated Alternative Polyadenylation of CDK19 Reprograms Cholesterol Biosynthesis to Drive Colorectal Cancer Progression."", ""pubYear"": ""2026""}, {""id"": ""39594630"", ""pmid"": ""39594630"", ""pmcid"": ""PMC11593141"", ""doi"": ""10.3390/cells13221883"", ""title"": ""Non-Immune-Mediated, p27-Associated, Growth Inhibition of Glioblastoma by Class-II-Transactivator (CIITA)."", ""pubYear"": ""2024""}, {""id"": ""39967659"", ""pmid"": ""39967659"", ""pmcid"": ""PMC11832489"", ""doi"": ""10.3389/fimmu.2025.1511671"", ""title"": ""T-regulatory cells for the treatment of autoimmune diseases."", ""pubYear"": ""2025""}, {""id"": ""40310147"", ""pmid"": ""40310147"", ""pmcid"": ""PMC12025713"", ""doi"": ""10.3390/children12040480"", ""title"": ""Congenital Malignant Ectomesenchymoma Presenting as a Neck Mass in a Newborn."", ""pubYear"": ""2025""}, {""id"": ""40093895"", ""pmid"": ""40093895"", ""pmcid"": ""PMC11905139"", ""doi"": ""10.7150/thno.104900"", ""title"": ""Antigen-presenting fibroblasts: emerging players in immune modulation and therapeutic targets."", ""pubYear"": ""2025""}]"		
Europe PMC	med16_mhc2	"""MED16"" ""MHCII"" macrophage"	200	3.0	"[{""id"": ""34747695"", ""pmid"": ""34747695"", ""pmcid"": ""PMC8598162"", ""doi"": ""10.7554/elife.65110"", ""title"": ""A genetic screen in macrophages identifies new regulators of IFNγ-inducible MHCII that contribute to T cell activation."", ""pubYear"": ""2021""}, {""id"": ""PPR200203"", ""pmid"": null, ""pmcid"": null, ""doi"": ""10.1101/2020.08.12.248252"", ""title"": ""A genome-wide screen in macrophages identifies new regulators of IFNγ-inducible MHCII that contribute to T cell activation"", ""pubYear"": ""2020""}, {""id"": ""40705824"", ""pmid"": ""40705824"", ""pmcid"": ""PMC12316392"", ""doi"": ""10.1371/journal.pbio.3003294"", ""title"": ""Mediator complex subunit MED23 dampens antiviral innate immunity by restricting RIG-I expression."", ""pubYear"": ""2025""}]"		
Europe PMC	cortistatin_autoimmune	"""cortistatin A"" autoimmune"	200	184.0	"[{""id"": ""41893727"", ""pmid"": ""41893727"", ""pmcid"": ""PMC13030095"", ""doi"": ""10.3390/proteomes14010012"", ""title"": ""Proteomic Analysis in Search of New Biomarkers of Immune Thrombocytopenia (ITP)-A Review of Current Data."", ""pubYear"": ""2026""}, {""id"": ""41450013"", ""pmid"": ""41450013"", ""pmcid"": ""PMC12854566"", ""doi"": ""10.4103/idoj.idoj_415_25"", ""title"": ""The Neuropsychological Dimensions to Pathogenesis of Chronic Spontaneous Urticaria Beyond Autoallergy - A Brief Narrative Review."", ""pubYear"": ""2026""}, {""id"": ""38255772"", ""pmid"": ""38255772"", ""pmcid"": ""PMC10815070"", ""doi"": ""10.3390/ijms25020694"", ""title"": ""Cortistatin as a Novel Multimodal Therapy for the Treatment of Parkinson's Disease."", ""pubYear"": ""2024""}, {""id"": ""41268593"", ""pmid"": ""41268593"", ""pmcid"": ""PMC12676211"", ""doi"": ""10.3892/mmr.2025.13756"", ""title"": ""Natural compounds for the treatment of rheumatoid arthritis based on the 'gut‑joint axis' (Review)."", ""pubYear"": ""2026""}, {""id"": ""39928031"", ""pmid"": ""39928031"", ""pmcid"": ""PMC11810109"", ""doi"": ""10.7554/elife.100197"", ""title"": ""Mediator kinase inhibition suppresses hyperactive interferon signaling in Down syndrome."", ""pubYear"": ""2025""}]"		
ClinicalTrials.gov		CDK8 CDK19 autoimmune	200			0.0	[]
ClinicalTrials.gov		CDK8 inhibitor autoimmune	200			0.0	[]
ClinicalTrials.gov		CDK8 inhibitor multiple sclerosis	200			0.0	[]
ClinicalTrials.gov		CDK8 inhibitor lupus	200			0.0	[]
ClinicalTrials.gov		cortistatin A autoimmune	200			2.0	"[{""nct_id"": ""NCT02830217"", ""title"": ""Evaluation of Soluble ST2 in Patients Receiving Primary PCI With ST-elevation Myocardial Infarction"", ""status"": ""COMPLETED"", ""conditions"": [""Myocardial Infarction"", ""Shock""]}, {""nct_id"": ""NCT04071691"", ""title"": ""PET Imaging of Giant Cell and Takayasu Arteritis"", ""status"": ""ACTIVE_NOT_RECRUITING"", ""conditions"": [""Giant Cell Arteritis"", ""Takayasu Arteritis""]}]"
